[36] ADD,LtO7mQU2OX,64705.92 
[93435] BUY,LtO7mQU2OX,IFU,661.21 
[93561] DISPLAY_SUMMARY,LtO7mQU2OX 
[93569] SET_SELL_TRIGGER,LtO7mQU2OX,YXK,92.17 
[93737] DISPLAY_SUMMARY,LtO7mQU2OX 
[93872] QUOTE,LtO7mQU2OX,ULL 
[93886] CANCEL_BUY,LtO7mQU2OX 
[94239] SET_SELL_TRIGGER,LtO7mQU2OX,NSN,67.26 
[94304] DISPLAY_SUMMARY,LtO7mQU2OX 
[94430] SET_BUY_AMOUNT,LtO7mQU2OX,JVT,212.62 
[94472] SET_BUY_TRIGGER,LtO7mQU2OX,MAX,160.22 
[94907] SELL,LtO7mQU2OX,FDI,145.72 
[94936] DISPLAY_SUMMARY,LtO7mQU2OX 
[95093] DISPLAY_SUMMARY,LtO7mQU2OX 
[95285] DISPLAY_SUMMARY,LtO7mQU2OX 
[95303] SET_BUY_AMOUNT,LtO7mQU2OX,ZYR,730.64 
[95307] SET_BUY_TRIGGER,LtO7mQU2OX,NHB,481.44 
[95338] ADD,LtO7mQU2OX,56055.26 
[95380] QUOTE,LtO7mQU2OX,SWD 
[95387] SET_SELL_TRIGGER,LtO7mQU2OX,XER,60.83 
[95412] CANCEL_SET_SELL,LtO7mQU2OX,WRJ 
[95486] SELL,LtO7mQU2OX,QJZ,447.12 
[95503] COMMIT_SELL,LtO7mQU2OX 
[95644] QUOTE,LtO7mQU2OX,KVJ 
[95739] BUY,LtO7mQU2OX,OZT,177.04 
[95836] COMMIT_BUY,LtO7mQU2OX 
[95963] SELL,LtO7mQU2OX,RGH,263.53 
[96133] CANCEL_SET_SELL,LtO7mQU2OX,ASJ 
[96151] DISPLAY_SUMMARY,LtO7mQU2OX 
[96328] QUOTE,LtO7mQU2OX,IAV 
[96505] SET_SELL_TRIGGER,LtO7mQU2OX,JGF,176.60 
[96544] ADD,LtO7mQU2OX,85012.50 
[96630] BUY,LtO7mQU2OX,WUL,314.23 
[97012] COMMIT_BUY,LtO7mQU2OX 
[97085] ADD,LtO7mQU2OX,80822.92 
[97356] BUY,LtO7mQU2OX,FUF,60.23 
[97510] COMMIT_BUY,LtO7mQU2OX 
[97665] QUOTE,LtO7mQU2OX,YKB 
[97829] QUOTE,LtO7mQU2OX,WDC 
[98190] SET_BUY_TRIGGER,LtO7mQU2OX,ULL,58.64 
[98196] BUY,LtO7mQU2OX,BYM,548.51 
[98226] COMMIT_BUY,LtO7mQU2OX 
[98366] SELL,LtO7mQU2OX,HFS,309.02 
[98415] SET_SELL_AMOUNT,LtO7mQU2OX,YJK,29.02 
[98427] SET_SELL_TRIGGER,LtO7mQU2OX,YJK,24.40 
[98530] DISPLAY_SUMMARY,LtO7mQU2OX 
[98535] ADD,LtO7mQU2OX,93309.67 
[98548] COMMIT_SELL,LtO7mQU2OX 
[98564] SELL,LtO7mQU2OX,QJZ,594.77 
[98628] SET_SELL_AMOUNT,LtO7mQU2OX,ZAN,44.07 
[98678] SET_SELL_TRIGGER,LtO7mQU2OX,ZAN,32.25 
[98911] ADD,LtO7mQU2OX,77389.31 
[98930] SET_SELL_TRIGGER,LtO7mQU2OX,FZB,173.73 
[99158] QUOTE,LtO7mQU2OX,VMT 
[99317] QUOTE,LtO7mQU2OX,NAW 
[99342] QUOTE,LtO7mQU2OX,QVK 
[99668] QUOTE,LtO7mQU2OX,PTC 
[99732] BUY,LtO7mQU2OX,GPC,37.42 
[99762] SET_BUY_TRIGGER,LtO7mQU2OX,JFJ,172.17 
[99882] SET_BUY_AMOUNT,LtO7mQU2OX,SQI,385.53 
[99919] SET_BUY_TRIGGER,LtO7mQU2OX,PVZ,113.96 
[99930] QUOTE,LtO7mQU2OX,DNJ 
