[5] ADD,9RCeWXbzj9,96894.37 
[94589] SET_SELL_AMOUNT,9RCeWXbzj9,JVT,454.04 
[94650] SET_SELL_TRIGGER,9RCeWXbzj9,JVT,289.10 
[94657] QUOTE,9RCeWXbzj9,ETB 
[94722] BUY,9RCeWXbzj9,FXT,189.50 
[94906] QUOTE,9RCeWXbzj9,WKD 
[95130] SET_BUY_AMOUNT,9RCeWXbzj9,VTY,330.42 
[95298] SET_BUY_TRIGGER,9RCeWXbzj9,RVU,119.53 
[95309] CANCEL_SET_SELL,9RCeWXbzj9,ZNL 
[95372] ADD,9RCeWXbzj9,89337.64 
[95642] BUY,9RCeWXbzj9,DXQ,633.01 
[95659] COMMIT_BUY,9RCeWXbzj9 
[95727] DISPLAY_SUMMARY,9RCeWXbzj9 
[95912] SET_SELL_AMOUNT,9RCeWXbzj9,JCQ,20.85 
[96046] SET_SELL_TRIGGER,9RCeWXbzj9,JCQ,9.84 
[96113] SELL,9RCeWXbzj9,KYX,305.73 
[96175] CANCEL_SELL,9RCeWXbzj9 
[96334] BUY,9RCeWXbzj9,DPG,440.32 
[96396] COMMIT_BUY,9RCeWXbzj9 
[96497] ADD,9RCeWXbzj9,79753.84 
[96529] SELL,9RCeWXbzj9,FQP,93.71 
[96582] DISPLAY_SUMMARY,9RCeWXbzj9 
[96719] SET_SELL_TRIGGER,9RCeWXbzj9,RVZ,153.91 
[96898] ADD,9RCeWXbzj9,96106.79 
[97036] QUOTE,9RCeWXbzj9,BYM 
[97090] COMMIT_SELL,9RCeWXbzj9 
[97185] ADD,9RCeWXbzj9,73126.27 
[97377] QUOTE,9RCeWXbzj9,XII 
[97432] ADD,9RCeWXbzj9,34022.96 
[97508] BUY,9RCeWXbzj9,HBF,50.49 
[97592] COMMIT_BUY,9RCeWXbzj9 
[97678] SET_SELL_AMOUNT,9RCeWXbzj9,OPN,471.83 
[97726] SET_SELL_TRIGGER,9RCeWXbzj9,OPN,227.56 
[97753] BUY,9RCeWXbzj9,YQC,584.08 
[97775] QUOTE,9RCeWXbzj9,YVS 
[97819] QUOTE,9RCeWXbzj9,TFZ 
[97929] SET_SELL_TRIGGER,9RCeWXbzj9,ZAM,102.25 
[98073] CANCEL_SET_SELL,9RCeWXbzj9,ERF 
[98099] ADD,9RCeWXbzj9,55989.26 
[98125] SET_SELL_AMOUNT,9RCeWXbzj9,QVK,466.37 
[98470] SET_SELL_TRIGGER,9RCeWXbzj9,QVK,196.34 
[98565] SELL,9RCeWXbzj9,FDI,398.77 
[98683] COMMIT_SELL,9RCeWXbzj9 
[99012] BUY,9RCeWXbzj9,HZE,23.92 
[99039] SET_SELL_AMOUNT,9RCeWXbzj9,QPR,236.07 
[99194] SET_SELL_TRIGGER,9RCeWXbzj9,QPR,198.98 
[99247] BUY,9RCeWXbzj9,WXV,612.10 
[99341] COMMIT_BUY,9RCeWXbzj9 
[99360] QUOTE,9RCeWXbzj9,CLH 
[99438] BUY,9RCeWXbzj9,IJO,38.99 
[99473] COMMIT_BUY,9RCeWXbzj9 
[99509] QUOTE,9RCeWXbzj9,IFC 
[99522] COMMIT_SELL,9RCeWXbzj9 
[99650] SET_SELL_TRIGGER,9RCeWXbzj9,SPP,35.66 
[99682] ADD,9RCeWXbzj9,77009.83 
[99865] BUY,9RCeWXbzj9,DKV,677.90 
