[40] ADD,ZVyQqBS4Yw,77042.62 
[86348] SELL,ZVyQqBS4Yw,KES,399.53 
[86363] SET_BUY_AMOUNT,ZVyQqBS4Yw,GRM,702.51 
[86426] SET_BUY_TRIGGER,ZVyQqBS4Yw,YCH,342.37 
[86948] QUOTE,ZVyQqBS4Yw,KBP 
[87002] BUY,ZVyQqBS4Yw,KYT,581.21 
[87021] SET_SELL_TRIGGER,ZVyQqBS4Yw,BYA,183.53 
[87193] ADD,ZVyQqBS4Yw,84773.40 
[87241] QUOTE,ZVyQqBS4Yw,VVW 
[87280] ADD,ZVyQqBS4Yw,67991.64 
[87316] QUOTE,ZVyQqBS4Yw,KRX 
[87356] CANCEL_BUY,ZVyQqBS4Yw 
[87603] SET_SELL_TRIGGER,ZVyQqBS4Yw,AAC,124.40 
[87670] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[87761] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[87930] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[87969] ADD,ZVyQqBS4Yw,79256.57 
[88126] BUY,ZVyQqBS4Yw,SMS,618.75 
[88192] COMMIT_BUY,ZVyQqBS4Yw 
[88198] QUOTE,ZVyQqBS4Yw,VOY 
[88321] COMMIT_SELL,ZVyQqBS4Yw 
[88656] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[88764] QUOTE,ZVyQqBS4Yw,AHO 
[88808] CANCEL_BUY,ZVyQqBS4Yw 
[88819] ADD,ZVyQqBS4Yw,67891.27 
[88881] BUY,ZVyQqBS4Yw,VBO,559.10 
[88891] COMMIT_SELL,ZVyQqBS4Yw 
[88937] CANCEL_BUY,ZVyQqBS4Yw 
[89068] SELL,ZVyQqBS4Yw,XLK,449.45 
[89101] COMMIT_SELL,ZVyQqBS4Yw 
[89194] SELL,ZVyQqBS4Yw,RUN,553.60 
[89470] COMMIT_SELL,ZVyQqBS4Yw 
[89689] SELL,ZVyQqBS4Yw,YDS,154.87 
[89882] CANCEL_SELL,ZVyQqBS4Yw 
[89992] SET_SELL_TRIGGER,ZVyQqBS4Yw,DWX,92.85 
[89993] SELL,ZVyQqBS4Yw,EBS,278.47 
[90047] SET_SELL_TRIGGER,ZVyQqBS4Yw,BFL,149.58 
[90167] CANCEL_SET_SELL,ZVyQqBS4Yw,SAR 
[90262] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[90299] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[90330] SET_BUY_TRIGGER,ZVyQqBS4Yw,CVP,62.89 
[90463] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[90652] QUOTE,ZVyQqBS4Yw,ZNL 
[90682] ADD,ZVyQqBS4Yw,80120.87 
[90917] QUOTE,ZVyQqBS4Yw,JUG 
[90921] BUY,ZVyQqBS4Yw,XTH,558.89 
[90986] COMMIT_BUY,ZVyQqBS4Yw 
[91079] SELL,ZVyQqBS4Yw,UTV,76.60 
[91192] CANCEL_BUY,ZVyQqBS4Yw 
[91222] SELL,ZVyQqBS4Yw,LZV,375.23 
[91275] CANCEL_SET_SELL,ZVyQqBS4Yw,KPP 
[91371] ADD,ZVyQqBS4Yw,49983.89 
[91372] SET_BUY_TRIGGER,ZVyQqBS4Yw,VKP,85.68 
[91406] ADD,ZVyQqBS4Yw,63643.45 
[91422] BUY,ZVyQqBS4Yw,SAR,659.88 
[91446] SELL,ZVyQqBS4Yw,SSF,8.34 
[91622] ADD,ZVyQqBS4Yw,76611.12 
[91635] QUOTE,ZVyQqBS4Yw,LBC 
[91657] QUOTE,ZVyQqBS4Yw,ZOW 
[91720] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[91788] SET_BUY_TRIGGER,ZVyQqBS4Yw,GWS,159.37 
[91939] ADD,ZVyQqBS4Yw,71419.31 
[91960] BUY,ZVyQqBS4Yw,LHC,346.20 
[92161] COMMIT_BUY,ZVyQqBS4Yw 
[92343] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[92344] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[92462] BUY,ZVyQqBS4Yw,JPD,270.14 
[92494] COMMIT_BUY,ZVyQqBS4Yw 
[92509] ADD,ZVyQqBS4Yw,59360.17 
[92591] BUY,ZVyQqBS4Yw,BDX,367.86 
[92661] CANCEL_SET_BUY,ZVyQqBS4Yw,TOZ 
[92765] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[92807] CANCEL_SELL,ZVyQqBS4Yw 
[92856] QUOTE,ZVyQqBS4Yw,PGV 
[92872] ADD,ZVyQqBS4Yw,63222.47 
[93154] QUOTE,ZVyQqBS4Yw,QAX 
[93405] BUY,ZVyQqBS4Yw,LQN,667.29 
[93420] COMMIT_BUY,ZVyQqBS4Yw 
[93497] BUY,ZVyQqBS4Yw,YAV,460.67 
[93511] COMMIT_BUY,ZVyQqBS4Yw 
[93572] ADD,ZVyQqBS4Yw,63513.47 
[93724] QUOTE,ZVyQqBS4Yw,TVI 
[93903] SELL,ZVyQqBS4Yw,OPN,579.55 
[94028] COMMIT_SELL,ZVyQqBS4Yw 
[94074] SET_SELL_AMOUNT,ZVyQqBS4Yw,IFN,567.45 
[94109] SET_SELL_TRIGGER,ZVyQqBS4Yw,IFN,262.95 
[94209] BUY,ZVyQqBS4Yw,YAV,391.22 
[94392] COMMIT_BUY,ZVyQqBS4Yw 
[94431] SET_BUY_TRIGGER,ZVyQqBS4Yw,EDW,170.97 
[94502] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[94663] SELL,ZVyQqBS4Yw,CUZ,547.86 
[94741] COMMIT_SELL,ZVyQqBS4Yw 
[94831] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[94848] SET_BUY_TRIGGER,ZVyQqBS4Yw,OTI,32.32 
[94888] SET_SELL_AMOUNT,ZVyQqBS4Yw,JVT,353.48 
[94943] CANCEL_SET_SELL,ZVyQqBS4Yw,JVT 
[94984] ADD,ZVyQqBS4Yw,53763.35 
[95193] BUY,ZVyQqBS4Yw,MRK,212.98 
[95200] CANCEL_BUY,ZVyQqBS4Yw 
[95449] SELL,ZVyQqBS4Yw,CSZ,591.78 
[95482] SET_BUY_TRIGGER,ZVyQqBS4Yw,LPS,79.63 
[95551] BUY,ZVyQqBS4Yw,JNO,174.18 
[95679] COMMIT_BUY,ZVyQqBS4Yw 
[95882] SET_BUY_TRIGGER,ZVyQqBS4Yw,HTD,17.97 
[96154] ADD,ZVyQqBS4Yw,74852.63 
[96168] QUOTE,ZVyQqBS4Yw,GZQ 
[96197] BUY,ZVyQqBS4Yw,YPW,552.42 
[96288] CANCEL_SET_BUY,ZVyQqBS4Yw,JTY 
[96462] SET_BUY_AMOUNT,ZVyQqBS4Yw,JCQ,654.81 
[96571] SET_BUY_TRIGGER,ZVyQqBS4Yw,XVK,168.80 
[96873] SET_SELL_AMOUNT,ZVyQqBS4Yw,NHG,189.12 
[96877] QUOTE,ZVyQqBS4Yw,FIC 
[96960] SET_BUY_TRIGGER,ZVyQqBS4Yw,GRM,61.84 
[96977] SET_SELL_TRIGGER,ZVyQqBS4Yw,NHG,92.68 
[97299] SELL,ZVyQqBS4Yw,CSZ,740.48 
[97330] CANCEL_SET_BUY,ZVyQqBS4Yw,EGB 
[97332] ADD,ZVyQqBS4Yw,29507.24 
[97537] QUOTE,ZVyQqBS4Yw,WAI 
[97666] QUOTE,ZVyQqBS4Yw,OFP 
[98035] QUOTE,ZVyQqBS4Yw,AVX 
[98043] ADD,ZVyQqBS4Yw,70328.41 
[98153] QUOTE,ZVyQqBS4Yw,MLT 
[98251] BUY,ZVyQqBS4Yw,DWX,540.02 
[98350] COMMIT_BUY,ZVyQqBS4Yw 
[98496] ADD,ZVyQqBS4Yw,78303.64 
[98501] QUOTE,ZVyQqBS4Yw,CMA 
[98582] CANCEL_SELL,ZVyQqBS4Yw 
[98636] SET_BUY_AMOUNT,ZVyQqBS4Yw,ZYR,296.93 
[98730] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[98860] SET_SELL_AMOUNT,ZVyQqBS4Yw,IQJ,570.99 
[98931] SET_SELL_TRIGGER,ZVyQqBS4Yw,IQJ,36.39 
[99064] SET_SELL_TRIGGER,ZVyQqBS4Yw,KHY,71.71 
[99160] BUY,ZVyQqBS4Yw,CBV,405.76 
[99189] CANCEL_BUY,ZVyQqBS4Yw 
[99283] DISPLAY_SUMMARY,ZVyQqBS4Yw 
[99380] QUOTE,ZVyQqBS4Yw,KZZ 
[99527] QUOTE,ZVyQqBS4Yw,OZT 
[99595] BUY,ZVyQqBS4Yw,PXS,746.17 
[99873] COMMIT_BUY,ZVyQqBS4Yw 
