[84] ADD,vmBnGlfW5S,37500.32 
[90985] SET_SELL_AMOUNT,vmBnGlfW5S,UIE,642.70 
[90998] SET_SELL_TRIGGER,vmBnGlfW5S,UIE,77.97 
[91009] BUY,vmBnGlfW5S,SEW,591.88 
[91139] COMMIT_BUY,vmBnGlfW5S 
[91147] QUOTE,vmBnGlfW5S,LSM 
[91270] SELL,vmBnGlfW5S,TVI,482.29 
[91364] COMMIT_SELL,vmBnGlfW5S 
[91443] SET_BUY_TRIGGER,vmBnGlfW5S,FZU,11.36 
[91521] SET_SELL_AMOUNT,vmBnGlfW5S,RUN,85.96 
[91567] BUY,vmBnGlfW5S,YVS,576.95 
[91828] SELL,vmBnGlfW5S,QGE,443.53 
[91856] COMMIT_SELL,vmBnGlfW5S 
[91901] DISPLAY_SUMMARY,vmBnGlfW5S 
[91923] DISPLAY_SUMMARY,vmBnGlfW5S 
[91981] QUOTE,vmBnGlfW5S,AHE 
[92015] ADD,vmBnGlfW5S,64507.25 
[92059] BUY,vmBnGlfW5S,GJQ,120.96 
[92071] COMMIT_BUY,vmBnGlfW5S 
[92101] QUOTE,vmBnGlfW5S,AHE 
[92173] BUY,vmBnGlfW5S,PIC,647.16 
[92220] CANCEL_SET_BUY,vmBnGlfW5S,GIK 
[92258] DISPLAY_SUMMARY,vmBnGlfW5S 
[92317] DISPLAY_SUMMARY,vmBnGlfW5S 
[92358] COMMIT_SELL,vmBnGlfW5S 
[92512] SET_SELL_TRIGGER,vmBnGlfW5S,RUN,73.46 
[92517] BUY,vmBnGlfW5S,CTS,482.46 
[92828] COMMIT_BUY,vmBnGlfW5S 
[92846] QUOTE,vmBnGlfW5S,VDP 
[92915] QUOTE,vmBnGlfW5S,PXY 
[92953] BUY,vmBnGlfW5S,QNK,302.62 
[92987] COMMIT_BUY,vmBnGlfW5S 
[93016] CANCEL_SET_SELL,vmBnGlfW5S,TSF 
[93144] QUOTE,vmBnGlfW5S,RGM 
[93146] CANCEL_BUY,vmBnGlfW5S 
[93272] SET_SELL_AMOUNT,vmBnGlfW5S,LZV,166.66 
[93313] SET_SELL_TRIGGER,vmBnGlfW5S,LZV,38.52 
[93457] SET_SELL_TRIGGER,vmBnGlfW5S,IFU,190.62 
[93518] QUOTE,vmBnGlfW5S,VVO 
[93609] QUOTE,vmBnGlfW5S,YQC 
[93781] BUY,vmBnGlfW5S,CLH,354.99 
[93789] COMMIT_BUY,vmBnGlfW5S 
[93901] BUY,vmBnGlfW5S,PXF,687.89 
[94025] ADD,vmBnGlfW5S,94675.75 
[94107] QUOTE,vmBnGlfW5S,XCL 
[94197] DISPLAY_SUMMARY,vmBnGlfW5S 
[94400] SET_BUY_AMOUNT,vmBnGlfW5S,ZYR,489.07 
[94536] SELL,vmBnGlfW5S,KES,50.18 
[94627] COMMIT_SELL,vmBnGlfW5S 
[94632] BUY,vmBnGlfW5S,XNZ,265.79 
[94975] SET_BUY_TRIGGER,vmBnGlfW5S,OEM,138.52 
[95073] SET_BUY_TRIGGER,vmBnGlfW5S,SAR,99.09 
[95080] DISPLAY_SUMMARY,vmBnGlfW5S 
[95164] SET_SELL_TRIGGER,vmBnGlfW5S,LNJ,105.10 
[95213] BUY,vmBnGlfW5S,SPL,113.67 
[95273] QUOTE,vmBnGlfW5S,YRO 
[95277] ADD,vmBnGlfW5S,70191.08 
[95389] QUOTE,vmBnGlfW5S,PXS 
[95473] SET_SELL_TRIGGER,vmBnGlfW5S,SJZ,147.08 
[95596] SET_SELL_AMOUNT,vmBnGlfW5S,EBS,314.43 
[95889] SET_SELL_TRIGGER,vmBnGlfW5S,EBS,121.77 
[96178] SELL,vmBnGlfW5S,EBS,9.58 
[96344] COMMIT_SELL,vmBnGlfW5S 
[96362] ADD,vmBnGlfW5S,94122.41 
[96609] BUY,vmBnGlfW5S,PHJ,247.25 
[96702] COMMIT_BUY,vmBnGlfW5S 
[96725] SET_SELL_TRIGGER,vmBnGlfW5S,ZMS,83.84 
[96728] SET_BUY_AMOUNT,vmBnGlfW5S,OPN,340.22 
[96928] SET_BUY_TRIGGER,vmBnGlfW5S,SAR,239.90 
[96946] DISPLAY_SUMMARY,vmBnGlfW5S 
[97117] SET_BUY_AMOUNT,vmBnGlfW5S,SZI,81.69 
[97136] QUOTE,vmBnGlfW5S,LAM 
[97140] DISPLAY_SUMMARY,vmBnGlfW5S 
[97172] DISPLAY_SUMMARY,vmBnGlfW5S 
[97195] ADD,vmBnGlfW5S,56237.32 
[97640] BUY,vmBnGlfW5S,PLB,317.90 
[97645] COMMIT_BUY,vmBnGlfW5S 
[97911] SET_BUY_TRIGGER,vmBnGlfW5S,GAN,71.89 
[98206] SET_SELL_TRIGGER,vmBnGlfW5S,YBP,193.19 
[98284] SET_BUY_AMOUNT,vmBnGlfW5S,CEC,636.04 
[98337] CANCEL_SET_BUY,vmBnGlfW5S,EMN 
[98558] DISPLAY_SUMMARY,vmBnGlfW5S 
[98571] DISPLAY_SUMMARY,vmBnGlfW5S 
[98830] DISPLAY_SUMMARY,vmBnGlfW5S 
[98878] BUY,vmBnGlfW5S,SDL,597.41 
[99020] CANCEL_SET_SELL,vmBnGlfW5S,ZRJ 
[99026] SET_BUY_TRIGGER,vmBnGlfW5S,KAR,26.73 
[99028] BUY,vmBnGlfW5S,FTB,158.16 
[99098] COMMIT_BUY,vmBnGlfW5S 
[99146] QUOTE,vmBnGlfW5S,FRB 
[99172] BUY,vmBnGlfW5S,CDF,726.29 
[99199] COMMIT_BUY,vmBnGlfW5S 
[99263] DISPLAY_SUMMARY,vmBnGlfW5S 
[99301] SET_SELL_TRIGGER,vmBnGlfW5S,IRQ,80.87 
[99754] DISPLAY_SUMMARY,vmBnGlfW5S 
[99881] ADD,vmBnGlfW5S,96139.14 
[99908] QUOTE,vmBnGlfW5S,IZJ 
[99952] SET_SELL_AMOUNT,vmBnGlfW5S,GRM,721.95 
