[54] ADD,e6JAmPjBmb,64837.51 
[94483] DISPLAY_SUMMARY,e6JAmPjBmb 
[94542] SET_BUY_TRIGGER,e6JAmPjBmb,MOM,3.85 
[94630] BUY,e6JAmPjBmb,OEY,539.15 
[94785] SET_BUY_AMOUNT,e6JAmPjBmb,ZAN,511.05 
[94844] SET_BUY_TRIGGER,e6JAmPjBmb,CAX,49.27 
[94847] DISPLAY_SUMMARY,e6JAmPjBmb 
[94925] QUOTE,e6JAmPjBmb,MPP 
[95067] SET_SELL_AMOUNT,e6JAmPjBmb,CBO,5.23 
[95136] SET_SELL_TRIGGER,e6JAmPjBmb,CBO,3.11 
[95287] BUY,e6JAmPjBmb,YVX,226.11 
[95598] CANCEL_BUY,e6JAmPjBmb 
[95652] SELL,e6JAmPjBmb,XLK,282.12 
[95734] SET_SELL_AMOUNT,e6JAmPjBmb,VTY,103.79 
[95812] QUOTE,e6JAmPjBmb,FFZ 
[95855] SELL,e6JAmPjBmb,IFN,624.24 
[96004] CANCEL_SET_SELL,e6JAmPjBmb,VTY 
[96032] SET_SELL_AMOUNT,e6JAmPjBmb,LZV,164.25 
[96403] SET_SELL_TRIGGER,e6JAmPjBmb,LZV,152.08 
[96644] BUY,e6JAmPjBmb,LAW,0.94 
[96676] SET_SELL_AMOUNT,e6JAmPjBmb,DFE,11.02 
[96876] SET_SELL_TRIGGER,e6JAmPjBmb,DFE,5.95 
[96965] DISPLAY_SUMMARY,e6JAmPjBmb 
[97048] QUOTE,e6JAmPjBmb,YMG 
[97206] SET_SELL_AMOUNT,e6JAmPjBmb,FDI,215.53 
[97265] SET_SELL_TRIGGER,e6JAmPjBmb,FDI,45.71 
[97357] SET_SELL_AMOUNT,e6JAmPjBmb,FQP,84.83 
[97491] SET_SELL_TRIGGER,e6JAmPjBmb,FQP,7.76 
[97509] SELL,e6JAmPjBmb,MFX,249.49 
[97633] SET_SELL_AMOUNT,e6JAmPjBmb,YDS,650.27 
[97663] SET_SELL_TRIGGER,e6JAmPjBmb,YDS,337.01 
[97675] BUY,e6JAmPjBmb,XNZ,102.48 
[97849] COMMIT_BUY,e6JAmPjBmb 
[97858] DISPLAY_SUMMARY,e6JAmPjBmb 
[97866] QUOTE,e6JAmPjBmb,LPW 
[97989] BUY,e6JAmPjBmb,IEQ,693.89 
[98088] COMMIT_BUY,e6JAmPjBmb 
[98223] SET_SELL_TRIGGER,e6JAmPjBmb,KBI,113.54 
[98434] CANCEL_BUY,e6JAmPjBmb 
[98819] SET_SELL_TRIGGER,e6JAmPjBmb,FQG,64.41 
[98990] QUOTE,e6JAmPjBmb,SYE 
[99179] QUOTE,e6JAmPjBmb,FPP 
[99252] BUY,e6JAmPjBmb,WNX,714.33 
[99270] CANCEL_BUY,e6JAmPjBmb 
[99280] BUY,e6JAmPjBmb,PYM,12.23 
[99337] CANCEL_BUY,e6JAmPjBmb 
[99359] SET_BUY_AMOUNT,e6JAmPjBmb,EBS,181.94 
[99371] SELL,e6JAmPjBmb,BJL,387.39 
[99569] CANCEL_BUY,e6JAmPjBmb 
[99965] QUOTE,e6JAmPjBmb,FZB 
