[163] ADD,D6zA2CRl22,84102.17 
[94105] SET_SELL_TRIGGER,D6zA2CRl22,YJK,247.05 
[94157] SET_SELL_AMOUNT,D6zA2CRl22,CEC,591.35 
[94193] BUY,D6zA2CRl22,DRP,726.08 
[94352] COMMIT_BUY,D6zA2CRl22 
[94579] DISPLAY_SUMMARY,D6zA2CRl22 
[94605] SET_BUY_TRIGGER,D6zA2CRl22,NSW,119.18 
[94686] BUY,D6zA2CRl22,QJZ,68.85 
[94740] COMMIT_BUY,D6zA2CRl22 
[94857] ADD,D6zA2CRl22,92113.11 
[94861] BUY,D6zA2CRl22,WDJ,648.34 
[94953] COMMIT_BUY,D6zA2CRl22 
[94986] QUOTE,D6zA2CRl22,ETJ 
[95043] SET_SELL_TRIGGER,D6zA2CRl22,CEC,161.48 
[95046] BUY,D6zA2CRl22,WQC,274.24 
[95162] COMMIT_BUY,D6zA2CRl22 
[95312] SET_BUY_TRIGGER,D6zA2CRl22,AMI,123.83 
[95327] DISPLAY_SUMMARY,D6zA2CRl22 
[95554] ADD,D6zA2CRl22,51384.55 
[95629] BUY,D6zA2CRl22,JKX,28.76 
[95810] COMMIT_BUY,D6zA2CRl22 
[95817] BUY,D6zA2CRl22,KGA,402.38 
[95820] CANCEL_BUY,D6zA2CRl22 
[95987] CANCEL_SELL,D6zA2CRl22 
[96018] SET_BUY_AMOUNT,D6zA2CRl22,RGH,165.52 
[96210] SET_BUY_TRIGGER,D6zA2CRl22,CEC,26.94 
[96214] COMMIT_SELL,D6zA2CRl22 
[96241] ADD,D6zA2CRl22,70258.05 
[96371] SET_SELL_TRIGGER,D6zA2CRl22,FGF,39.70 
[96409] SET_SELL_TRIGGER,D6zA2CRl22,YEH,130.09 
[96473] SET_BUY_AMOUNT,D6zA2CRl22,DFE,597.99 
[96515] SET_BUY_TRIGGER,D6zA2CRl22,CVP,164.79 
[96625] BUY,D6zA2CRl22,NGG,227.77 
[96627] COMMIT_BUY,D6zA2CRl22 
[96874] QUOTE,D6zA2CRl22,WYR 
[96920] BUY,D6zA2CRl22,ZOZ,649.16 
[97092] QUOTE,D6zA2CRl22,SFR 
[97214] BUY,D6zA2CRl22,HVE,342.81 
[97391] COMMIT_BUY,D6zA2CRl22 
[97404] SET_SELL_AMOUNT,D6zA2CRl22,SSF,720.61 
[97578] SELL,D6zA2CRl22,XLK,18.96 
[97693] CANCEL_SELL,D6zA2CRl22 
[97824] SET_SELL_TRIGGER,D6zA2CRl22,SSF,139.55 
[97910] BUY,D6zA2CRl22,AHO,426.93 
[97930] SET_BUY_TRIGGER,D6zA2CRl22,ATW,164.71 
[98046] DISPLAY_SUMMARY,D6zA2CRl22 
[98280] SET_BUY_AMOUNT,D6zA2CRl22,XLK,275.19 
[98322] SET_BUY_TRIGGER,D6zA2CRl22,WTL,248.59 
[98456] ADD,D6zA2CRl22,86884.04 
[98635] CANCEL_SELL,D6zA2CRl22 
[98696] ADD,D6zA2CRl22,58686.65 
[98751] BUY,D6zA2CRl22,KJD,689.62 
[98773] COMMIT_BUY,D6zA2CRl22 
[98876] SET_BUY_TRIGGER,D6zA2CRl22,LSW,53.65 
[98910] CANCEL_SET_BUY,D6zA2CRl22,IGT 
[98921] DISPLAY_SUMMARY,D6zA2CRl22 
[99106] DISPLAY_SUMMARY,D6zA2CRl22 
[99201] ADD,D6zA2CRl22,81823.76 
[99321] QUOTE,D6zA2CRl22,BJL 
[99364] DISPLAY_SUMMARY,D6zA2CRl22 
[99408] CANCEL_SET_SELL,D6zA2CRl22,EMN 
[99511] SET_SELL_TRIGGER,D6zA2CRl22,STT,57.96 
[99582] CANCEL_SET_SELL,D6zA2CRl22,WNX 
[99614] DISPLAY_SUMMARY,D6zA2CRl22 
[99631] QUOTE,D6zA2CRl22,ZAM 
[99795] BUY,D6zA2CRl22,ZCO,628.51 
