[100] ADD,28VL4WCD6l,58625.14 
[89245] SELL,28VL4WCD6l,QVA,306.34 
[89596] SET_SELL_AMOUNT,28VL4WCD6l,KBN,658.82 
[89617] DISPLAY_SUMMARY,28VL4WCD6l 
[89720] SET_SELL_TRIGGER,28VL4WCD6l,KBN,43.02 
[89728] CANCEL_SET_SELL,28VL4WCD6l,UGG 
[89733] SET_BUY_TRIGGER,28VL4WCD6l,PJW,26.93 
[89839] COMMIT_SELL,28VL4WCD6l 
[90189] BUY,28VL4WCD6l,XFH,690.74 
[90206] CANCEL_BUY,28VL4WCD6l 
[90214] QUOTE,28VL4WCD6l,YUR 
[90424] DISPLAY_SUMMARY,28VL4WCD6l 
[90514] SET_BUY_AMOUNT,28VL4WCD6l,IFN,594.08 
[90519] SET_BUY_TRIGGER,28VL4WCD6l,YBB,408.42 
[90591] QUOTE,28VL4WCD6l,GMS 
[90593] BUY,28VL4WCD6l,TTV,321.36 
[90609] COMMIT_BUY,28VL4WCD6l 
[90674] SELL,28VL4WCD6l,GKD,356.79 
[90786] COMMIT_SELL,28VL4WCD6l 
[90983] ADD,28VL4WCD6l,85207.86 
[91017] BUY,28VL4WCD6l,PMX,265.79 
[91053] SET_SELL_AMOUNT,28VL4WCD6l,GSW,739.64 
[91099] BUY,28VL4WCD6l,PUC,423.83 
[91178] CANCEL_BUY,28VL4WCD6l 
[91374] SELL,28VL4WCD6l,LZB,311.77 
[91421] SELL,28VL4WCD6l,KBN,222.49 
[91540] COMMIT_SELL,28VL4WCD6l 
[91656] QUOTE,28VL4WCD6l,GNY 
[91747] QUOTE,28VL4WCD6l,CDF 
[91925] ADD,28VL4WCD6l,89371.28 
[91926] BUY,28VL4WCD6l,HYX,268.12 
[91993] QUOTE,28VL4WCD6l,ZQS 
[92041] BUY,28VL4WCD6l,KRY,302.99 
[92043] COMMIT_BUY,28VL4WCD6l 
[92056] SELL,28VL4WCD6l,JVT,58.29 
[92084] SET_BUY_TRIGGER,28VL4WCD6l,PUC,186.58 
[92185] SET_BUY_TRIGGER,28VL4WCD6l,JLK,127.46 
[92191] BUY,28VL4WCD6l,XFW,722.42 
[92408] COMMIT_BUY,28VL4WCD6l 
[92415] BUY,28VL4WCD6l,NSW,681.66 
[92673] COMMIT_BUY,28VL4WCD6l 
[92803] DISPLAY_SUMMARY,28VL4WCD6l 
[92896] SET_BUY_TRIGGER,28VL4WCD6l,TVP,54.35 
[93304] CANCEL_SET_BUY,28VL4WCD6l,NDO 
[93606] QUOTE,28VL4WCD6l,QBD 
[93741] QUOTE,28VL4WCD6l,NTT 
[93767] SET_BUY_TRIGGER,28VL4WCD6l,XCL,181.90 
[93833] QUOTE,28VL4WCD6l,RGM 
[93864] BUY,28VL4WCD6l,IIX,281.21 
[94184] COMMIT_BUY,28VL4WCD6l 
[94275] CANCEL_SET_BUY,28VL4WCD6l,DES 
[94356] SET_BUY_AMOUNT,28VL4WCD6l,JVT,174.18 
[94671] QUOTE,28VL4WCD6l,VBO 
[94752] BUY,28VL4WCD6l,BTA,746.77 
[94835] BUY,28VL4WCD6l,YBP,663.86 
[94991] COMMIT_BUY,28VL4WCD6l 
[95037] ADD,28VL4WCD6l,80079.25 
[95049] CANCEL_SET_SELL,28VL4WCD6l,GSW 
[95082] SET_SELL_AMOUNT,28VL4WCD6l,JZJ,407.98 
[95192] SET_SELL_TRIGGER,28VL4WCD6l,JZJ,331.13 
[95224] CANCEL_SET_SELL,28VL4WCD6l,BMQ 
[95452] ADD,28VL4WCD6l,66313.12 
[95495] BUY,28VL4WCD6l,OSC,573.28 
[95572] COMMIT_BUY,28VL4WCD6l 
[95656] ADD,28VL4WCD6l,64187.28 
[95721] DISPLAY_SUMMARY,28VL4WCD6l 
[95790] QUOTE,28VL4WCD6l,PBV 
[95833] BUY,28VL4WCD6l,BWL,125.19 
[95918] SET_SELL_TRIGGER,28VL4WCD6l,YZC,104.82 
[95974] ADD,28VL4WCD6l,57748.49 
[95986] BUY,28VL4WCD6l,KDG,247.50 
[96221] SET_BUY_AMOUNT,28VL4WCD6l,VTY,519.01 
[96279] CANCEL_SET_BUY,28VL4WCD6l,XAB 
[96405] SELL,28VL4WCD6l,OZO,278.50 
[96423] COMMIT_SELL,28VL4WCD6l 
[96467] SET_SELL_AMOUNT,28VL4WCD6l,XXQ,681.32 
[96489] SET_SELL_TRIGGER,28VL4WCD6l,XXQ,580.52 
[96496] ADD,28VL4WCD6l,72861.82 
[96566] QUOTE,28VL4WCD6l,SMS 
[96660] SELL,28VL4WCD6l,SQI,676.57 
[96667] COMMIT_SELL,28VL4WCD6l 
[96677] QUOTE,28VL4WCD6l,PPY 
[96690] COMMIT_SELL,28VL4WCD6l 
[96718] BUY,28VL4WCD6l,FZB,103.24 
[96777] COMMIT_BUY,28VL4WCD6l 
[96872] QUOTE,28VL4WCD6l,PUN 
[96918] BUY,28VL4WCD6l,JUJ,310.73 
[96931] CANCEL_BUY,28VL4WCD6l 
[97024] QUOTE,28VL4WCD6l,GXT 
[97065] BUY,28VL4WCD6l,ZEU,467.66 
[97067] COMMIT_BUY,28VL4WCD6l 
[97132] BUY,28VL4WCD6l,YRO,403.40 
[97159] CANCEL_SELL,28VL4WCD6l 
[97261] SET_BUY_TRIGGER,28VL4WCD6l,OYX,76.32 
[97403] SET_SELL_AMOUNT,28VL4WCD6l,FDI,748.52 
[97459] SET_SELL_TRIGGER,28VL4WCD6l,FDI,516.63 
[97505] DISPLAY_SUMMARY,28VL4WCD6l 
[97785] BUY,28VL4WCD6l,BMQ,70.17 
[97924] COMMIT_BUY,28VL4WCD6l 
[97953] SELL,28VL4WCD6l,AJR,541.50 
[97969] CANCEL_SET_SELL,28VL4WCD6l,KBN 
[98072] QUOTE,28VL4WCD6l,YVS 
[98324] QUOTE,28VL4WCD6l,QNK 
[98360] SET_SELL_AMOUNT,28VL4WCD6l,GYF,536.71 
[98380] BUY,28VL4WCD6l,JCL,36.25 
[98550] COMMIT_BUY,28VL4WCD6l 
[98590] SET_BUY_AMOUNT,28VL4WCD6l,CUZ,729.79 
[98654] SET_BUY_TRIGGER,28VL4WCD6l,IJO,203.31 
[98668] COMMIT_SELL,28VL4WCD6l 
[98682] SELL,28VL4WCD6l,YJK,528.90 
[98802] COMMIT_BUY,28VL4WCD6l 
[99304] ADD,28VL4WCD6l,74379.71 
[99443] BUY,28VL4WCD6l,IHA,481.39 
[99476] COMMIT_BUY,28VL4WCD6l 
[99512] SET_SELL_TRIGGER,28VL4WCD6l,GYF,151.54 
[99591] SET_BUY_AMOUNT,28VL4WCD6l,YDS,272.31 
[99615] SET_BUY_TRIGGER,28VL4WCD6l,PUO,228.49 
[99662] DISPLAY_SUMMARY,28VL4WCD6l 
[99679] ADD,28VL4WCD6l,54617.93 
[99703] BUY,28VL4WCD6l,GXT,8.19 
[99807] COMMIT_BUY,28VL4WCD6l 
[99839] SET_SELL_TRIGGER,28VL4WCD6l,FZB,165.66 
[99966] SET_SELL_TRIGGER,28VL4WCD6l,VVO,25.13 
[99995] CANCEL_SET_SELL,28VL4WCD6l,ZWZ 
