[104] ADD,xRR8b3q6bp,39668.61 
[93275] DISPLAY_SUMMARY,xRR8b3q6bp 
[93284] BUY,xRR8b3q6bp,VZB,377.70 
[93291] SET_SELL_TRIGGER,xRR8b3q6bp,IZJ,55.53 
[93326] DISPLAY_SUMMARY,xRR8b3q6bp 
[93426] DISPLAY_SUMMARY,xRR8b3q6bp 
[93918] QUOTE,xRR8b3q6bp,LLZ 
[93962] QUOTE,xRR8b3q6bp,VKB 
[94171] BUY,xRR8b3q6bp,IZS,356.00 
[94278] ADD,xRR8b3q6bp,68976.79 
[94443] BUY,xRR8b3q6bp,CBQ,147.84 
[94464] SET_BUY_TRIGGER,xRR8b3q6bp,FMJ,74.12 
[94490] SET_BUY_TRIGGER,xRR8b3q6bp,FCH,112.19 
[94552] ADD,xRR8b3q6bp,82806.21 
[94635] BUY,xRR8b3q6bp,JGY,392.40 
[94815] CANCEL_SELL,xRR8b3q6bp 
[94856] ADD,xRR8b3q6bp,59165.06 
[94858] CANCEL_SET_BUY,xRR8b3q6bp,UDQ 
[94876] CANCEL_SET_SELL,xRR8b3q6bp,ZFK 
[95254] COMMIT_BUY,xRR8b3q6bp 
[95731] COMMIT_BUY,xRR8b3q6bp 
[95780] SET_SELL_AMOUNT,xRR8b3q6bp,SUS,542.42 
[95799] BUY,xRR8b3q6bp,YJK,612.50 
[95834] BUY,xRR8b3q6bp,MHI,470.34 
[95886] SET_BUY_TRIGGER,xRR8b3q6bp,ATW,174.60 
[95946] ADD,xRR8b3q6bp,61380.66 
[95979] BUY,xRR8b3q6bp,GMS,565.27 
[96267] QUOTE,xRR8b3q6bp,SJH 
[96275] BUY,xRR8b3q6bp,NFO,488.50 
[96333] BUY,xRR8b3q6bp,PTC,454.87 
[96372] SET_SELL_AMOUNT,xRR8b3q6bp,BCQ,590.25 
[96381] DISPLAY_SUMMARY,xRR8b3q6bp 
[96508] SET_SELL_TRIGGER,xRR8b3q6bp,BCQ,537.59 
[96597] ADD,xRR8b3q6bp,46978.17 
[96756] BUY,xRR8b3q6bp,NVX,147.95 
[96859] COMMIT_BUY,xRR8b3q6bp 
[96994] ADD,xRR8b3q6bp,51228.68 
[97276] CANCEL_SET_SELL,xRR8b3q6bp,STQ 
[97555] SET_BUY_AMOUNT,xRR8b3q6bp,IQJ,331.89 
[97766] SET_BUY_TRIGGER,xRR8b3q6bp,BDX,71.84 
[98044] ADD,xRR8b3q6bp,77477.13 
[98132] BUY,xRR8b3q6bp,AJX,10.85 
[98211] DISPLAY_SUMMARY,xRR8b3q6bp 
[98395] DISPLAY_SUMMARY,xRR8b3q6bp 
[98453] BUY,xRR8b3q6bp,SQO,197.90 
[98534] COMMIT_SELL,xRR8b3q6bp 
[98707] SET_SELL_AMOUNT,xRR8b3q6bp,KBN,190.53 
[98785] SET_SELL_TRIGGER,xRR8b3q6bp,KBN,27.23 
[98798] BUY,xRR8b3q6bp,THH,380.81 
[98800] SELL,xRR8b3q6bp,GYF,387.75 
[99054] COMMIT_SELL,xRR8b3q6bp 
[99081] QUOTE,xRR8b3q6bp,BSZ 
[99242] BUY,xRR8b3q6bp,IDN,649.00 
[99357] COMMIT_BUY,xRR8b3q6bp 
[99398] SET_BUY_AMOUNT,xRR8b3q6bp,EBS,117.31 
[99410] SET_BUY_TRIGGER,xRR8b3q6bp,CBV,57.27 
[99462] DISPLAY_SUMMARY,xRR8b3q6bp 
[99492] COMMIT_BUY,xRR8b3q6bp 
[99496] ADD,xRR8b3q6bp,62166.32 
[99943] QUOTE,xRR8b3q6bp,MHR 
[99960] BUY,xRR8b3q6bp,QAX,57.31 
[99990] CANCEL_SET_SELL,xRR8b3q6bp,QHF 
