[295] ADD,k5RWRveCOY,68893.49 
[97144] SET_BUY_TRIGGER,k5RWRveCOY,URA,86.22 
[97197] QUOTE,k5RWRveCOY,GRM 
[97390] ADD,k5RWRveCOY,47338.53 
[97425] DISPLAY_SUMMARY,k5RWRveCOY 
[97431] SET_BUY_AMOUNT,k5RWRveCOY,RNK,137.99 
[97480] DISPLAY_SUMMARY,k5RWRveCOY 
[97624] ADD,k5RWRveCOY,73785.23 
[97727] QUOTE,k5RWRveCOY,TGY 
[97818] QUOTE,k5RWRveCOY,JLO 
[98054] QUOTE,k5RWRveCOY,PIC 
[98120] QUOTE,k5RWRveCOY,SFR 
[98425] QUOTE,k5RWRveCOY,OIY 
[98610] SET_BUY_TRIGGER,k5RWRveCOY,NJI,83.83 
[98630] CANCEL_SET_SELL,k5RWRveCOY,SUS 
[98811] SET_SELL_AMOUNT,k5RWRveCOY,RUN,153.16 
[98836] SET_SELL_TRIGGER,k5RWRveCOY,RUN,16.06 
[98852] BUY,k5RWRveCOY,YIQ,420.19 
[98859] COMMIT_BUY,k5RWRveCOY 
[98863] QUOTE,k5RWRveCOY,EIH 
[99001] SET_BUY_TRIGGER,k5RWRveCOY,VOY,166.50 
[99059] SET_BUY_AMOUNT,k5RWRveCOY,IFN,651.40 
[99072] SET_BUY_TRIGGER,k5RWRveCOY,DVU,388.60 
[99138] SET_BUY_TRIGGER,k5RWRveCOY,ETB,199.10 
[99169] ADD,k5RWRveCOY,72499.16 
[99240] QUOTE,k5RWRveCOY,VMD 
[99442] BUY,k5RWRveCOY,FPI,646.76 
[99531] COMMIT_BUY,k5RWRveCOY 
[99544] ADD,k5RWRveCOY,54828.58 
[99589] COMMIT_BUY,k5RWRveCOY 
