[93] ADD,uzApK6tlMI,71463.80 
[93334] DISPLAY_SUMMARY,uzApK6tlMI 
[93404] QUOTE,uzApK6tlMI,KMZ 
[93443] DISPLAY_SUMMARY,uzApK6tlMI 
[93474] QUOTE,uzApK6tlMI,VMD 
[93574] SET_SELL_TRIGGER,uzApK6tlMI,FQR,142.74 
[93624] ADD,uzApK6tlMI,67782.33 
[93746] BUY,uzApK6tlMI,WAO,217.68 
[93850] COMMIT_BUY,uzApK6tlMI 
[93915] CANCEL_BUY,uzApK6tlMI 
[94134] ADD,uzApK6tlMI,82626.88 
[94226] QUOTE,uzApK6tlMI,SVV 
[94315] BUY,uzApK6tlMI,RRE,503.12 
[94486] CANCEL_BUY,uzApK6tlMI 
[94745] DISPLAY_SUMMARY,uzApK6tlMI 
[94763] DISPLAY_SUMMARY,uzApK6tlMI 
[94786] SET_SELL_TRIGGER,uzApK6tlMI,SPP,106.55 
[94866] QUOTE,uzApK6tlMI,OSA 
[95099] BUY,uzApK6tlMI,VAT,728.91 
[95107] SELL,uzApK6tlMI,JVT,636.79 
[95110] COMMIT_SELL,uzApK6tlMI 
[95188] ADD,uzApK6tlMI,55239.99 
[95260] BUY,uzApK6tlMI,SCK,107.44 
[95464] CANCEL_BUY,uzApK6tlMI 
[95509] ADD,uzApK6tlMI,94593.91 
[95574] BUY,uzApK6tlMI,ZFK,209.65 
[95636] COMMIT_BUY,uzApK6tlMI 
[95842] SET_BUY_TRIGGER,uzApK6tlMI,IUN,153.21 
[95885] BUY,uzApK6tlMI,XEA,265.85 
[95915] COMMIT_BUY,uzApK6tlMI 
[95980] SET_SELL_AMOUNT,uzApK6tlMI,YDS,272.96 
[96009] SET_SELL_TRIGGER,uzApK6tlMI,YDS,72.08 
[96052] SET_BUY_AMOUNT,uzApK6tlMI,MWJ,416.31 
[96104] SET_BUY_TRIGGER,uzApK6tlMI,SCK,220.07 
[96120] BUY,uzApK6tlMI,VAT,35.35 
[96122] CANCEL_BUY,uzApK6tlMI 
[96144] DISPLAY_SUMMARY,uzApK6tlMI 
[96158] SET_BUY_AMOUNT,uzApK6tlMI,VTY,592.82 
[96211] SET_BUY_TRIGGER,uzApK6tlMI,HSH,495.39 
[96431] SET_BUY_AMOUNT,uzApK6tlMI,YDS,164.98 
[96465] SET_BUY_TRIGGER,uzApK6tlMI,DBR,0.78 
[96617] ADD,uzApK6tlMI,60035.32 
[96661] SET_BUY_AMOUNT,uzApK6tlMI,BJL,9.28 
[96689] QUOTE,uzApK6tlMI,CCH 
[96691] BUY,uzApK6tlMI,FFZ,100.03 
[96812] BUY,uzApK6tlMI,CXN,352.73 
[96846] COMMIT_BUY,uzApK6tlMI 
[97002] ADD,uzApK6tlMI,67022.27 
[97093] QUOTE,uzApK6tlMI,LPW 
[97124] SET_BUY_TRIGGER,uzApK6tlMI,URI,6.26 
[97239] SET_BUY_AMOUNT,uzApK6tlMI,BCQ,214.50 
[97360] SET_BUY_TRIGGER,uzApK6tlMI,PCR,85.82 
[97379] DISPLAY_SUMMARY,uzApK6tlMI 
[97472] ADD,uzApK6tlMI,81194.11 
[97568] BUY,uzApK6tlMI,DIX,518.26 
[97712] COMMIT_BUY,uzApK6tlMI 
[97995] BUY,uzApK6tlMI,LAM,305.60 
[98029] COMMIT_BUY,uzApK6tlMI 
[98056] SELL,uzApK6tlMI,LZB,501.34 
[98112] SET_SELL_TRIGGER,uzApK6tlMI,JLK,53.96 
[98261] BUY,uzApK6tlMI,KWP,592.60 
[98440] COMMIT_BUY,uzApK6tlMI 
[98523] DISPLAY_SUMMARY,uzApK6tlMI 
[98556] SET_BUY_AMOUNT,uzApK6tlMI,QGE,642.95 
[98724] QUOTE,uzApK6tlMI,XME 
[98769] BUY,uzApK6tlMI,DBT,541.41 
[98771] QUOTE,uzApK6tlMI,FCM 
[98845] BUY,uzApK6tlMI,JSM,395.97 
[98856] CANCEL_BUY,uzApK6tlMI 
[98868] ADD,uzApK6tlMI,75974.47 
[98901] SET_SELL_AMOUNT,uzApK6tlMI,SQI,400.43 
[99087] CANCEL_SET_SELL,uzApK6tlMI,SQI 
[99196] QUOTE,uzApK6tlMI,WTL 
[99265] CANCEL_SET_SELL,uzApK6tlMI,CUQ 
[99455] QUOTE,uzApK6tlMI,VWU 
[99513] QUOTE,uzApK6tlMI,XRK 
[99520] DISPLAY_SUMMARY,uzApK6tlMI 
[99617] SET_BUY_TRIGGER,uzApK6tlMI,TOL,97.61 
[99932] SET_SELL_TRIGGER,uzApK6tlMI,BOS,5.99 
[99972] ADD,uzApK6tlMI,61466.40 
[99974] QUOTE,uzApK6tlMI,ALM 
