[134] ADD,UUcfl1X3U9,80539.46 
[93877] DISPLAY_SUMMARY,UUcfl1X3U9 
[94008] SET_BUY_AMOUNT,UUcfl1X3U9,AJR,634.74 
[94148] SET_BUY_TRIGGER,UUcfl1X3U9,NQU,560.95 
[94369] DISPLAY_SUMMARY,UUcfl1X3U9 
[94493] SET_SELL_AMOUNT,UUcfl1X3U9,QAX,233.93 
[94514] QUOTE,UUcfl1X3U9,IFU 
[94673] QUOTE,UUcfl1X3U9,SZI 
[94791] BUY,UUcfl1X3U9,MIR,544.92 
[94822] SET_SELL_AMOUNT,UUcfl1X3U9,CEC,222.46 
[94877] SET_SELL_TRIGGER,UUcfl1X3U9,CEC,46.57 
[94981] QUOTE,UUcfl1X3U9,CEC 
[95035] BUY,UUcfl1X3U9,ERF,548.47 
[95117] COMMIT_BUY,UUcfl1X3U9 
[95141] BUY,UUcfl1X3U9,UMN,407.60 
[95158] COMMIT_BUY,UUcfl1X3U9 
[95175] QUOTE,UUcfl1X3U9,UXP 
[95212] BUY,UUcfl1X3U9,UJC,524.47 
[95348] COMMIT_BUY,UUcfl1X3U9 
[95564] SET_BUY_AMOUNT,UUcfl1X3U9,IQJ,2.90 
[95630] SET_BUY_TRIGGER,UUcfl1X3U9,KHY,0.39 
[95649] BUY,UUcfl1X3U9,CBK,3.39 
[96011] CANCEL_BUY,UUcfl1X3U9 
[96054] BUY,UUcfl1X3U9,UFX,488.50 
[96097] COMMIT_BUY,UUcfl1X3U9 
[96121] SET_SELL_TRIGGER,UUcfl1X3U9,AMI,33.96 
[96141] CANCEL_SET_SELL,UUcfl1X3U9,FQU 
[96379] DISPLAY_SUMMARY,UUcfl1X3U9 
[96407] QUOTE,UUcfl1X3U9,QLM 
[96448] QUOTE,UUcfl1X3U9,YVS 
[96864] SET_BUY_AMOUNT,UUcfl1X3U9,CUZ,199.69 
[96936] SELL,UUcfl1X3U9,LZV,681.33 
[96997] ADD,UUcfl1X3U9,80369.07 
[97041] QUOTE,UUcfl1X3U9,POE 
[97044] ADD,UUcfl1X3U9,49826.32 
[97107] BUY,UUcfl1X3U9,GKD,725.74 
[97220] SET_BUY_AMOUNT,UUcfl1X3U9,SUS,400.72 
[97240] SET_BUY_TRIGGER,UUcfl1X3U9,PPW,314.62 
[97392] ADD,UUcfl1X3U9,86234.45 
[97606] BUY,UUcfl1X3U9,WZY,147.76 
[97699] SET_SELL_AMOUNT,UUcfl1X3U9,VDP,123.82 
[97870] SET_SELL_TRIGGER,UUcfl1X3U9,VDP,105.14 
[98007] SELL,UUcfl1X3U9,VDP,113.53 
[98077] BUY,UUcfl1X3U9,ETJ,501.86 
[98166] CANCEL_BUY,UUcfl1X3U9 
[98258] COMMIT_SELL,UUcfl1X3U9 
[98348] SELL,UUcfl1X3U9,TKM,710.37 
[98458] COMMIT_SELL,UUcfl1X3U9 
[98663] BUY,UUcfl1X3U9,BTD,101.01 
[98733] COMMIT_BUY,UUcfl1X3U9 
[98762] ADD,UUcfl1X3U9,57086.56 
[98866] BUY,UUcfl1X3U9,MAX,649.08 
[98881] COMMIT_BUY,UUcfl1X3U9 
[98886] CANCEL_BUY,UUcfl1X3U9 
[98891] CANCEL_SET_SELL,UUcfl1X3U9,QVK 
[99002] DISPLAY_SUMMARY,UUcfl1X3U9 
[99071] SET_SELL_AMOUNT,UUcfl1X3U9,JRJ,523.70 
[99129] SET_SELL_TRIGGER,UUcfl1X3U9,JRJ,304.66 
[99253] BUY,UUcfl1X3U9,WLT,89.17 
[99412] SET_SELL_TRIGGER,UUcfl1X3U9,FQR,152.51 
[99503] SET_BUY_TRIGGER,UUcfl1X3U9,PHU,166.53 
[99562] ADD,UUcfl1X3U9,81411.96 
[99659] COMMIT_BUY,UUcfl1X3U9 
[99763] QUOTE,UUcfl1X3U9,UDN 
[99886] BUY,UUcfl1X3U9,SWD,216.13 
