[304] ADD,hQaIWhluU7,70082.66 
[97720] DISPLAY_SUMMARY,hQaIWhluU7 
[97903] SET_BUY_AMOUNT,hQaIWhluU7,XQC,308.28 
[98179] SET_BUY_TRIGGER,hQaIWhluU7,GDF,187.81 
[98265] SET_BUY_AMOUNT,hQaIWhluU7,KES,333.62 
[98273] SET_BUY_TRIGGER,hQaIWhluU7,CBX,252.42 
[98308] SET_SELL_TRIGGER,hQaIWhluU7,XUH,182.58 
[98407] ADD,hQaIWhluU7,44167.84 
[98450] QUOTE,hQaIWhluU7,KGA 
[98807] BUY,hQaIWhluU7,HEJ,326.35 
[98865] COMMIT_BUY,hQaIWhluU7 
[98882] SET_SELL_AMOUNT,hQaIWhluU7,GSW,433.27 
[98915] SET_SELL_TRIGGER,hQaIWhluU7,GSW,262.95 
[98919] ADD,hQaIWhluU7,56768.98 
[98948] SET_SELL_AMOUNT,hQaIWhluU7,EBS,169.86 
[98970] CANCEL_SET_SELL,hQaIWhluU7,EBS 
[98988] SET_BUY_TRIGGER,hQaIWhluU7,XSS,132.46 
[99079] SET_BUY_AMOUNT,hQaIWhluU7,UBJ,202.06 
[99139] SET_BUY_TRIGGER,hQaIWhluU7,DKV,41.41 
[99157] SELL,hQaIWhluU7,OPN,480.16 
[99211] CANCEL_SET_SELL,hQaIWhluU7,OBR 
[99420] DISPLAY_SUMMARY,hQaIWhluU7 
[99777] QUOTE,hQaIWhluU7,HFI 
[99815] QUOTE,hQaIWhluU7,EOS 
