[28] ADD,0oVAF91nA3,79144.46 
[96057] SELL,0oVAF91nA3,GYF,575.95 
[96138] COMMIT_SELL,0oVAF91nA3 
[96428] SELL,0oVAF91nA3,OEY,216.38 
[96454] COMMIT_SELL,0oVAF91nA3 
[96512] COMMIT_SELL,0oVAF91nA3 
[96730] QUOTE,0oVAF91nA3,OYS 
[96895] ADD,0oVAF91nA3,87754.62 
[96904] QUOTE,0oVAF91nA3,QAX 
[96991] SET_BUY_TRIGGER,0oVAF91nA3,IZJ,166.18 
[97393] SET_BUY_AMOUNT,0oVAF91nA3,SQI,732.61 
[97493] SET_BUY_TRIGGER,0oVAF91nA3,LSW,676.45 
[97597] SET_SELL_TRIGGER,0oVAF91nA3,FRB,20.02 
[97651] SET_BUY_AMOUNT,0oVAF91nA3,UBJ,204.62 
[97660] SET_BUY_TRIGGER,0oVAF91nA3,AQO,70.82 
[97812] SET_BUY_AMOUNT,0oVAF91nA3,BJL,707.00 
[98038] SET_BUY_TRIGGER,0oVAF91nA3,ECI,118.26 
[98060] DISPLAY_SUMMARY,0oVAF91nA3 
[98301] BUY,0oVAF91nA3,GNY,669.22 
[98344] COMMIT_BUY,0oVAF91nA3 
[98786] ADD,0oVAF91nA3,59262.50 
[99029] SET_BUY_AMOUNT,0oVAF91nA3,BJL,83.91 
[99074] SET_BUY_TRIGGER,0oVAF91nA3,NRY,53.88 
[99213] QUOTE,0oVAF91nA3,FYA 
[99232] QUOTE,0oVAF91nA3,BWL 
[99372] QUOTE,0oVAF91nA3,ZZD 
[99392] BUY,0oVAF91nA3,IJO,656.63 
[99543] COMMIT_BUY,0oVAF91nA3 
[99983] DISPLAY_SUMMARY,0oVAF91nA3 
