[52] ADD,hrINHOrbWw,100431.52 
[95100] QUOTE,hrINHOrbWw,DJD 
[95160] ADD,hrINHOrbWw,51625.17 
[95670] COMMIT_BUY,hrINHOrbWw 
[95859] DISPLAY_SUMMARY,hrINHOrbWw 
[95920] ADD,hrINHOrbWw,80563.87 
[96069] BUY,hrINHOrbWw,JDO,380.58 
[96187] COMMIT_BUY,hrINHOrbWw 
[96285] ADD,hrINHOrbWw,74583.61 
[96402] QUOTE,hrINHOrbWw,YBP 
[96471] CANCEL_SET_SELL,hrINHOrbWw,TSU 
[96673] BUY,hrINHOrbWw,YGK,499.30 
[96791] SELL,hrINHOrbWw,YDS,666.75 
[96844] CANCEL_BUY,hrINHOrbWw 
[96969] ADD,hrINHOrbWw,92914.07 
[97086] QUOTE,hrINHOrbWw,EHF 
[97256] ADD,hrINHOrbWw,65778.55 
[97354] BUY,hrINHOrbWw,RUN,532.85 
[97448] SET_SELL_AMOUNT,hrINHOrbWw,GRM,269.05 
[97583] SELL,hrINHOrbWw,KBN,745.79 
[97587] QUOTE,hrINHOrbWw,NJB 
[97934] SET_BUY_AMOUNT,hrINHOrbWw,LFU,494.15 
[98036] BUY,hrINHOrbWw,CBK,85.76 
[98051] CANCEL_BUY,hrINHOrbWw 
[98068] BUY,hrINHOrbWw,TKV,250.17 
[98241] COMMIT_BUY,hrINHOrbWw 
[98300] SET_BUY_TRIGGER,hrINHOrbWw,DXQ,280.15 
[98304] DISPLAY_SUMMARY,hrINHOrbWw 
[99063] QUOTE,hrINHOrbWw,UHO 
[99334] BUY,hrINHOrbWw,ULL,429.50 
[99692] COMMIT_BUY,hrINHOrbWw 
[99826] DISPLAY_SUMMARY,hrINHOrbWw 
[99842] BUY,hrINHOrbWw,MQF,348.16 
