[10] ADD,n9qniWnHrs,38784.26 
[94661] COMMIT_BUY,n9qniWnHrs 
[94707] SET_SELL_AMOUNT,n9qniWnHrs,UTV,62.97 
[94851] SET_SELL_TRIGGER,n9qniWnHrs,UTV,40.80 
[94862] SET_BUY_TRIGGER,n9qniWnHrs,FSD,147.32 
[94930] DISPLAY_SUMMARY,n9qniWnHrs 
[94994] SET_SELL_AMOUNT,n9qniWnHrs,MXD,729.79 
[95071] SET_SELL_TRIGGER,n9qniWnHrs,MXD,72.78 
[95098] SET_SELL_AMOUNT,n9qniWnHrs,CUZ,378.01 
[95226] SET_SELL_TRIGGER,n9qniWnHrs,CUZ,145.08 
[95433] SET_SELL_AMOUNT,n9qniWnHrs,BJL,56.72 
[95562] SET_SELL_TRIGGER,n9qniWnHrs,BJL,29.58 
[95733] ADD,n9qniWnHrs,53726.82 
[95752] BUY,n9qniWnHrs,LTB,522.68 
[95779] COMMIT_BUY,n9qniWnHrs 
[95832] SET_SELL_TRIGGER,n9qniWnHrs,VTY,187.21 
[95843] QUOTE,n9qniWnHrs,KGA 
[95944] QUOTE,n9qniWnHrs,BYA 
[96257] CANCEL_BUY,n9qniWnHrs 
[96480] SET_SELL_AMOUNT,n9qniWnHrs,FQP,273.72 
[96487] SET_SELL_TRIGGER,n9qniWnHrs,FQP,255.85 
[96654] BUY,n9qniWnHrs,AJR,448.26 
[96662] COMMIT_BUY,n9qniWnHrs 
[96698] BUY,n9qniWnHrs,EIK,259.80 
[96765] QUOTE,n9qniWnHrs,BMW 
[96789] QUOTE,n9qniWnHrs,SJG 
[96862] CANCEL_SELL,n9qniWnHrs 
[97028] QUOTE,n9qniWnHrs,KRY 
[97037] SET_BUY_AMOUNT,n9qniWnHrs,KES,691.47 
[97347] SELL,n9qniWnHrs,XXQ,631.14 
[97420] COMMIT_SELL,n9qniWnHrs 
[97498] SET_BUY_TRIGGER,n9qniWnHrs,PSJ,481.79 
[97535] CANCEL_SET_SELL,n9qniWnHrs,WKT 
[97584] QUOTE,n9qniWnHrs,ZWC 
[97746] SELL,n9qniWnHrs,XXQ,261.07 
[97760] COMMIT_SELL,n9qniWnHrs 
[97779] BUY,n9qniWnHrs,FDI,423.69 
[97823] COMMIT_SELL,n9qniWnHrs 
[97835] ADD,n9qniWnHrs,84208.84 
[97844] BUY,n9qniWnHrs,JNO,522.57 
[97998] COMMIT_BUY,n9qniWnHrs 
[98128] SET_BUY_TRIGGER,n9qniWnHrs,WUL,89.02 
[98432] SELL,n9qniWnHrs,MWJ,326.78 
[98788] BUY,n9qniWnHrs,WKG,529.45 
[98815] COMMIT_BUY,n9qniWnHrs 
[98947] ADD,n9qniWnHrs,70673.52 
[99043] QUOTE,n9qniWnHrs,CMD 
[99111] SET_BUY_TRIGGER,n9qniWnHrs,PXX,81.25 
[99121] SET_SELL_AMOUNT,n9qniWnHrs,CEC,225.63 
[99205] SET_SELL_TRIGGER,n9qniWnHrs,CEC,143.47 
[99309] DISPLAY_SUMMARY,n9qniWnHrs 
[99483] DISPLAY_SUMMARY,n9qniWnHrs 
[99545] SET_BUY_TRIGGER,n9qniWnHrs,RQS,171.16 
[99613] ADD,n9qniWnHrs,60758.06 
[99642] BUY,n9qniWnHrs,FLD,711.78 
[99925] SET_SELL_AMOUNT,n9qniWnHrs,LZV,110.03 
