[132] ADD,Rq5xFLYt6l,89274.02 
[88811] BUY,Rq5xFLYt6l,NGH,740.73 
[88830] COMMIT_BUY,Rq5xFLYt6l 
[89062] SET_SELL_AMOUNT,Rq5xFLYt6l,GRM,262.04 
[89070] SET_SELL_TRIGGER,Rq5xFLYt6l,GRM,255.04 
[89483] BUY,Rq5xFLYt6l,IBT,694.20 
[89648] COMMIT_BUY,Rq5xFLYt6l 
[89690] SELL,Rq5xFLYt6l,TKM,710.26 
[89805] COMMIT_SELL,Rq5xFLYt6l 
[89988] CANCEL_SELL,Rq5xFLYt6l 
[90073] SET_SELL_TRIGGER,Rq5xFLYt6l,MMF,175.72 
[90402] SET_BUY_TRIGGER,Rq5xFLYt6l,IAV,196.54 
[90581] SELL,Rq5xFLYt6l,GSW,531.00 
[90677] COMMIT_SELL,Rq5xFLYt6l 
[90981] DISPLAY_SUMMARY,Rq5xFLYt6l 
[91006] ADD,Rq5xFLYt6l,57204.47 
[91027] BUY,Rq5xFLYt6l,XOA,140.78 
[91055] COMMIT_BUY,Rq5xFLYt6l 
[91292] QUOTE,Rq5xFLYt6l,RRE 
[91333] SET_SELL_AMOUNT,Rq5xFLYt6l,BCQ,370.53 
[91410] SET_SELL_TRIGGER,Rq5xFLYt6l,BCQ,183.96 
[91461] SET_SELL_TRIGGER,Rq5xFLYt6l,TSF,127.41 
[91782] DISPLAY_SUMMARY,Rq5xFLYt6l 
[91803] SET_SELL_AMOUNT,Rq5xFLYt6l,GSW,29.45 
[91992] DISPLAY_SUMMARY,Rq5xFLYt6l 
[92012] QUOTE,Rq5xFLYt6l,YBO 
[92091] DISPLAY_SUMMARY,Rq5xFLYt6l 
[92246] DISPLAY_SUMMARY,Rq5xFLYt6l 
[92268] QUOTE,Rq5xFLYt6l,CUQ 
[92293] COMMIT_SELL,Rq5xFLYt6l 
[92306] DISPLAY_SUMMARY,Rq5xFLYt6l 
[92430] SET_SELL_AMOUNT,Rq5xFLYt6l,UBJ,26.61 
[92540] SELL,Rq5xFLYt6l,IFN,346.93 
[92547] SET_SELL_AMOUNT,Rq5xFLYt6l,QPR,489.24 
[92635] SET_SELL_TRIGGER,Rq5xFLYt6l,QPR,63.64 
[92675] CANCEL_SET_SELL,Rq5xFLYt6l,DQW 
[92715] SET_BUY_AMOUNT,Rq5xFLYt6l,ZYR,541.62 
[92725] SET_BUY_TRIGGER,Rq5xFLYt6l,SSW,416.24 
[92729] ADD,Rq5xFLYt6l,47806.50 
[92746] BUY,Rq5xFLYt6l,NVX,508.58 
[92881] DISPLAY_SUMMARY,Rq5xFLYt6l 
[92979] SET_SELL_AMOUNT,Rq5xFLYt6l,GYF,139.88 
[93014] SET_SELL_TRIGGER,Rq5xFLYt6l,GYF,121.23 
[93036] DISPLAY_SUMMARY,Rq5xFLYt6l 
[93127] SET_SELL_AMOUNT,Rq5xFLYt6l,FQP,221.93 
[93491] SET_SELL_TRIGGER,Rq5xFLYt6l,FQP,192.23 
[93521] QUOTE,Rq5xFLYt6l,HBF 
[93557] BUY,Rq5xFLYt6l,MWJ,96.26 
[93600] COMMIT_BUY,Rq5xFLYt6l 
[93670] ADD,Rq5xFLYt6l,62699.69 
[93832] BUY,Rq5xFLYt6l,LQN,83.60 
[93840] CANCEL_BUY,Rq5xFLYt6l 
[93869] DISPLAY_SUMMARY,Rq5xFLYt6l 
[94065] SET_SELL_AMOUNT,Rq5xFLYt6l,RUN,312.06 
[94083] SET_SELL_TRIGGER,Rq5xFLYt6l,RUN,13.25 
[94136] SET_BUY_AMOUNT,Rq5xFLYt6l,VTY,193.20 
[94231] DISPLAY_SUMMARY,Rq5xFLYt6l 
[94427] QUOTE,Rq5xFLYt6l,OYW 
[94517] BUY,Rq5xFLYt6l,IOY,279.66 
[94527] COMMIT_BUY,Rq5xFLYt6l 
[94538] ADD,Rq5xFLYt6l,46068.56 
[94554] BUY,Rq5xFLYt6l,ZDB,389.11 
[94586] COMMIT_BUY,Rq5xFLYt6l 
[94713] DISPLAY_SUMMARY,Rq5xFLYt6l 
[94808] ADD,Rq5xFLYt6l,96572.43 
[94826] SET_BUY_AMOUNT,Rq5xFLYt6l,VTY,255.27 
[94970] SET_BUY_TRIGGER,Rq5xFLYt6l,GGY,0.42 
[95094] DISPLAY_SUMMARY,Rq5xFLYt6l 
[95165] BUY,Rq5xFLYt6l,EGX,569.38 
[95166] COMMIT_BUY,Rq5xFLYt6l 
[95321] CANCEL_SET_SELL,Rq5xFLYt6l,MGO 
[95369] CANCEL_SET_BUY,Rq5xFLYt6l,GNY 
[95398] ADD,Rq5xFLYt6l,50808.43 
[95416] QUOTE,Rq5xFLYt6l,XMA 
[95506] CANCEL_BUY,Rq5xFLYt6l 
[96059] ADD,Rq5xFLYt6l,44438.67 
[96222] DISPLAY_SUMMARY,Rq5xFLYt6l 
[96261] SELL,Rq5xFLYt6l,JRJ,124.30 
[96323] SELL,Rq5xFLYt6l,UIE,272.57 
[96474] COMMIT_SELL,Rq5xFLYt6l 
[96491] ADD,Rq5xFLYt6l,85698.81 
[96550] ADD,Rq5xFLYt6l,60353.29 
[96732] BUY,Rq5xFLYt6l,ULL,323.98 
[96779] COMMIT_BUY,Rq5xFLYt6l 
[96958] CANCEL_SET_BUY,Rq5xFLYt6l,WTL 
[96968] ADD,Rq5xFLYt6l,54643.70 
[97323] QUOTE,Rq5xFLYt6l,KMZ 
[97501] ADD,Rq5xFLYt6l,62417.96 
[97580] BUY,Rq5xFLYt6l,AHO,707.89 
[97672] QUOTE,Rq5xFLYt6l,LBC 
[97694] BUY,Rq5xFLYt6l,JSM,220.17 
[97893] SELL,Rq5xFLYt6l,XLK,74.63 
[98246] COMMIT_SELL,Rq5xFLYt6l 
[98298] SET_BUY_TRIGGER,Rq5xFLYt6l,UZZ,40.02 
[98477] ADD,Rq5xFLYt6l,81557.65 
[98570] QUOTE,Rq5xFLYt6l,SOT 
[98670] BUY,Rq5xFLYt6l,YAZ,307.55 
[98697] QUOTE,Rq5xFLYt6l,RQF 
[98794] QUOTE,Rq5xFLYt6l,BCQ 
[98870] COMMIT_SELL,Rq5xFLYt6l 
[98872] DISPLAY_SUMMARY,Rq5xFLYt6l 
[99094] DISPLAY_SUMMARY,Rq5xFLYt6l 
[99117] ADD,Rq5xFLYt6l,78506.56 
[99368] BUY,Rq5xFLYt6l,DJD,338.43 
[99373] CANCEL_BUY,Rq5xFLYt6l 
[99400] ADD,Rq5xFLYt6l,91213.00 
[99456] BUY,Rq5xFLYt6l,LHC,445.84 
[99577] COMMIT_BUY,Rq5xFLYt6l 
[99834] SELL,Rq5xFLYt6l,CUZ,195.38 
