[138] ADD,F0mQHf8fev,74252.25 
[90044] COMMIT_BUY,F0mQHf8fev 
[90183] BUY,F0mQHf8fev,SDW,616.32 
[90203] COMMIT_BUY,F0mQHf8fev 
[90331] CANCEL_SELL,F0mQHf8fev 
[90349] BUY,F0mQHf8fev,VTY,675.04 
[90354] SET_SELL_TRIGGER,F0mQHf8fev,BHP,187.63 
[90415] SET_SELL_TRIGGER,F0mQHf8fev,LFU,94.13 
[90434] ADD,F0mQHf8fev,44581.63 
[90465] BUY,F0mQHf8fev,FYR,463.99 
[90466] COMMIT_BUY,F0mQHf8fev 
[90529] ADD,F0mQHf8fev,70484.81 
[90546] SET_SELL_AMOUNT,F0mQHf8fev,PTP,509.80 
[90780] SET_SELL_TRIGGER,F0mQHf8fev,PTP,246.76 
[90793] QUOTE,F0mQHf8fev,ERF 
[90853] ADD,F0mQHf8fev,62522.61 
[91058] BUY,F0mQHf8fev,HEJ,20.68 
[91130] DISPLAY_SUMMARY,F0mQHf8fev 
[91229] SET_SELL_TRIGGER,F0mQHf8fev,PUC,129.75 
[91313] SET_SELL_TRIGGER,F0mQHf8fev,NKC,113.81 
[91331] SET_BUY_TRIGGER,F0mQHf8fev,GAN,70.51 
[91409] SET_SELL_TRIGGER,F0mQHf8fev,LHC,44.77 
[91629] ADD,F0mQHf8fev,64399.85 
[91660] CANCEL_SET_BUY,F0mQHf8fev,WGV 
[91768] CANCEL_BUY,F0mQHf8fev 
[91864] DISPLAY_SUMMARY,F0mQHf8fev 
[91945] SET_SELL_AMOUNT,F0mQHf8fev,PRJ,232.36 
[92018] SET_SELL_TRIGGER,F0mQHf8fev,PRJ,115.06 
[92062] ADD,F0mQHf8fev,78763.71 
[92121] QUOTE,F0mQHf8fev,HYX 
[92162] BUY,F0mQHf8fev,SWJ,521.33 
[92299] CANCEL_SET_BUY,F0mQHf8fev,URY 
[92368] SET_BUY_AMOUNT,F0mQHf8fev,RNK,131.72 
[92392] SET_BUY_TRIGGER,F0mQHf8fev,MIU,73.17 
[92404] DISPLAY_SUMMARY,F0mQHf8fev 
[92527] CANCEL_SET_BUY,F0mQHf8fev,AZN 
[92530] SELL,F0mQHf8fev,SZI,412.17 
[92584] COMMIT_SELL,F0mQHf8fev 
[92613] QUOTE,F0mQHf8fev,QNW 
[92925] ADD,F0mQHf8fev,61501.37 
[93333] BUY,F0mQHf8fev,OLH,700.12 
[93427] COMMIT_BUY,F0mQHf8fev 
[93607] ADD,F0mQHf8fev,63980.66 
[93631] CANCEL_SELL,F0mQHf8fev 
[93681] SELL,F0mQHf8fev,LZV,280.70 
[93814] COMMIT_SELL,F0mQHf8fev 
[94113] DISPLAY_SUMMARY,F0mQHf8fev 
[94140] SELL,F0mQHf8fev,GSW,192.15 
[94353] CANCEL_SELL,F0mQHf8fev 
[94367] CANCEL_SET_SELL,F0mQHf8fev,PNP 
[94418] SET_BUY_AMOUNT,F0mQHf8fev,FDI,244.12 
[94459] SET_BUY_TRIGGER,F0mQHf8fev,RRT,121.23 
[94594] DISPLAY_SUMMARY,F0mQHf8fev 
[94750] SET_BUY_AMOUNT,F0mQHf8fev,FQP,250.94 
[95072] CANCEL_SET_BUY,F0mQHf8fev,UEC 
[95197] ADD,F0mQHf8fev,55795.01 
[95206] QUOTE,F0mQHf8fev,WKE 
[95209] QUOTE,F0mQHf8fev,NUV 
[95223] DISPLAY_SUMMARY,F0mQHf8fev 
[95250] SET_SELL_AMOUNT,F0mQHf8fev,HFS,568.43 
[95288] SET_SELL_TRIGGER,F0mQHf8fev,HFS,72.14 
[95483] ADD,F0mQHf8fev,60384.90 
[95569] SET_SELL_AMOUNT,F0mQHf8fev,JCQ,115.89 
[95600] SET_SELL_TRIGGER,F0mQHf8fev,JCQ,85.55 
[95711] BUY,F0mQHf8fev,KNM,372.72 
[95932] COMMIT_BUY,F0mQHf8fev 
[96000] CANCEL_BUY,F0mQHf8fev 
[96012] ADD,F0mQHf8fev,94888.16 
[96155] QUOTE,F0mQHf8fev,NEV 
[96271] QUOTE,F0mQHf8fev,RXO 
[96297] BUY,F0mQHf8fev,ALM,307.67 
[96352] COMMIT_BUY,F0mQHf8fev 
[96361] QUOTE,F0mQHf8fev,YTT 
[96517] BUY,F0mQHf8fev,SSL,726.06 
[96635] CANCEL_SET_BUY,F0mQHf8fev,RQS 
[96766] CANCEL_SET_SELL,F0mQHf8fev,PXY 
[96902] QUOTE,F0mQHf8fev,IPH 
[97188] ADD,F0mQHf8fev,93658.19 
[97205] COMMIT_SELL,F0mQHf8fev 
[97234] SET_BUY_TRIGGER,F0mQHf8fev,KTU,82.77 
[97343] BUY,F0mQHf8fev,FCM,502.75 
[97456] CANCEL_BUY,F0mQHf8fev 
[97466] SET_SELL_AMOUNT,F0mQHf8fev,AVX,531.63 
[97536] SET_SELL_TRIGGER,F0mQHf8fev,AVX,509.90 
[97547] ADD,F0mQHf8fev,67400.46 
[97562] QUOTE,F0mQHf8fev,WCY 
[97622] SET_BUY_AMOUNT,F0mQHf8fev,UTV,572.61 
[97736] BUY,F0mQHf8fev,VFH,86.32 
[97778] DISPLAY_SUMMARY,F0mQHf8fev 
[97993] QUOTE,F0mQHf8fev,SPL 
[98113] QUOTE,F0mQHf8fev,GPL 
[98134] SET_BUY_AMOUNT,F0mQHf8fev,PTP,474.14 
[98150] DISPLAY_SUMMARY,F0mQHf8fev 
[98187] SET_BUY_TRIGGER,F0mQHf8fev,RWM,234.56 
[98215] SET_SELL_TRIGGER,F0mQHf8fev,JVE,75.03 
[98270] BUY,F0mQHf8fev,AVI,170.85 
[98493] COMMIT_BUY,F0mQHf8fev 
[98518] ADD,F0mQHf8fev,79760.78 
[98538] CANCEL_SET_SELL,F0mQHf8fev,EMN 
[98559] BUY,F0mQHf8fev,WLT,485.05 
[98587] COMMIT_BUY,F0mQHf8fev 
[98591] BUY,F0mQHf8fev,FQU,605.58 
[98638] COMMIT_BUY,F0mQHf8fev 
[98808] SET_SELL_AMOUNT,F0mQHf8fev,FDI,102.86 
[99030] SET_SELL_TRIGGER,F0mQHf8fev,FDI,40.62 
[99181] SET_BUY_AMOUNT,F0mQHf8fev,GSW,386.61 
[99195] SET_BUY_TRIGGER,F0mQHf8fev,STO,190.60 
[99223] SET_BUY_AMOUNT,F0mQHf8fev,RNK,377.69 
[99375] SET_BUY_TRIGGER,F0mQHf8fev,GIK,168.54 
[99484] ADD,F0mQHf8fev,60817.86 
[99602] BUY,F0mQHf8fev,DDA,526.81 
[99649] CANCEL_SET_BUY,F0mQHf8fev,VCN 
[99663] DISPLAY_SUMMARY,F0mQHf8fev 
[99683] DISPLAY_SUMMARY,F0mQHf8fev 
[99768] ADD,F0mQHf8fev,60000.23 
[99774] QUOTE,F0mQHf8fev,GMS 
[99854] DISPLAY_SUMMARY,F0mQHf8fev 
