[16] ADD,TViJpUe5JR,72037.44 
[94387] COMMIT_BUY,TViJpUe5JR 
[94482] SET_BUY_AMOUNT,TViJpUe5JR,QGE,614.61 
[94533] SET_BUY_TRIGGER,TViJpUe5JR,AJR,316.51 
[94574] SELL,TViJpUe5JR,PTP,651.94 
[94655] COMMIT_SELL,TViJpUe5JR 
[94665] BUY,TViJpUe5JR,OEY,21.92 
[94864] COMMIT_BUY,TViJpUe5JR 
[94889] SELL,TViJpUe5JR,HFS,706.73 
[94980] COMMIT_SELL,TViJpUe5JR 
[95122] SET_SELL_AMOUNT,TViJpUe5JR,GYF,176.82 
[95150] QUOTE,TViJpUe5JR,PHU 
[95514] BUY,TViJpUe5JR,OEM,654.35 
[95537] COMMIT_BUY,TViJpUe5JR 
[95639] QUOTE,TViJpUe5JR,DWU 
[95740] BUY,TViJpUe5JR,DDA,684.38 
[95875] CANCEL_BUY,TViJpUe5JR 
[95968] SET_SELL_AMOUNT,TViJpUe5JR,DFE,302.83 
[96036] QUOTE,TViJpUe5JR,IEQ 
[96073] SET_SELL_TRIGGER,TViJpUe5JR,DFE,212.90 
[96119] SET_BUY_AMOUNT,TViJpUe5JR,XLK,62.06 
[96186] SET_BUY_TRIGGER,TViJpUe5JR,FIY,55.00 
[96215] SET_SELL_AMOUNT,TViJpUe5JR,QVK,3.34 
[96370] SET_SELL_TRIGGER,TViJpUe5JR,QVK,0.38 
[96438] BUY,TViJpUe5JR,KTU,157.89 
[96451] CANCEL_BUY,TViJpUe5JR 
[96574] SET_BUY_AMOUNT,TViJpUe5JR,XQC,407.34 
[96769] SET_BUY_TRIGGER,TViJpUe5JR,IPJ,322.18 
[96952] QUOTE,TViJpUe5JR,DOI 
[97161] SET_BUY_AMOUNT,TViJpUe5JR,AVX,281.64 
[97190] SET_BUY_TRIGGER,TViJpUe5JR,VIG,181.37 
[97193] QUOTE,TViJpUe5JR,PJJ 
[97245] ADD,TViJpUe5JR,49258.97 
[97268] BUY,TViJpUe5JR,LSW,393.31 
[97488] QUOTE,TViJpUe5JR,MFY 
[97500] QUOTE,TViJpUe5JR,DWX 
[97546] BUY,TViJpUe5JR,MWV,20.28 
[97570] CANCEL_BUY,TViJpUe5JR 
[97636] ADD,TViJpUe5JR,59920.56 
[97799] SET_BUY_AMOUNT,TViJpUe5JR,SSF,401.49 
[97833] SET_BUY_TRIGGER,TViJpUe5JR,URA,279.08 
[97918] SELL,TViJpUe5JR,TVI,21.23 
[97964] BUY,TViJpUe5JR,TSF,81.17 
[98037] CANCEL_SET_BUY,TViJpUe5JR,ZZD 
[98114] SET_SELL_AMOUNT,TViJpUe5JR,FDI,714.80 
[98171] SET_SELL_TRIGGER,TViJpUe5JR,FDI,613.25 
[98257] ADD,TViJpUe5JR,77316.20 
[98397] COMMIT_SELL,TViJpUe5JR 
[98544] SET_BUY_TRIGGER,TViJpUe5JR,JIO,114.04 
[98567] SET_BUY_TRIGGER,TViJpUe5JR,UMN,19.76 
[98583] SET_BUY_AMOUNT,TViJpUe5JR,UBJ,548.52 
[98648] SET_BUY_TRIGGER,TViJpUe5JR,TKM,352.03 
[98777] DISPLAY_SUMMARY,TViJpUe5JR 
[98857] SET_BUY_TRIGGER,TViJpUe5JR,JTY,14.02 
[98874] ADD,TViJpUe5JR,76501.76 
[98877] QUOTE,TViJpUe5JR,CTT 
[98892] CANCEL_BUY,TViJpUe5JR 
[98974] SELL,TViJpUe5JR,RNK,91.54 
[99037] QUOTE,TViJpUe5JR,AVH 
[99116] BUY,TViJpUe5JR,VXY,538.41 
[99150] COMMIT_BUY,TViJpUe5JR 
[99217] DISPLAY_SUMMARY,TViJpUe5JR 
[99238] DISPLAY_SUMMARY,TViJpUe5JR 
[99332] QUOTE,TViJpUe5JR,SWD 
[99495] CANCEL_SET_SELL,TViJpUe5JR,NDD 
[99557] DISPLAY_SUMMARY,TViJpUe5JR 
[99587] SET_BUY_AMOUNT,TViJpUe5JR,RGH,351.70 
[99601] SET_BUY_TRIGGER,TViJpUe5JR,UZZ,4.51 
[99750] SET_SELL_TRIGGER,TViJpUe5JR,YMG,150.13 
[99766] SET_BUY_AMOUNT,TViJpUe5JR,EBS,738.79 
[99829] SET_BUY_TRIGGER,TViJpUe5JR,JUV,576.27 
[99876] QUOTE,TViJpUe5JR,BHH 
[99904] SELL,TViJpUe5JR,UTV,602.19 
