[24] ADD,eGGeSBtfEQ,53788.32 
[90243] SET_SELL_TRIGGER,eGGeSBtfEQ,TKM,3.20 
[90368] SET_SELL_TRIGGER,eGGeSBtfEQ,ZUV,30.06 
[90404] BUY,eGGeSBtfEQ,WYO,190.58 
[90588] SET_BUY_AMOUNT,eGGeSBtfEQ,YDS,635.95 
[90698] SET_BUY_TRIGGER,eGGeSBtfEQ,DWK,303.37 
[90893] SELL,eGGeSBtfEQ,TKM,167.89 
[91095] COMMIT_SELL,eGGeSBtfEQ 
[91107] ADD,eGGeSBtfEQ,64120.72 
[91155] BUY,eGGeSBtfEQ,NEV,713.77 
[91200] COMMIT_BUY,eGGeSBtfEQ 
[91288] SET_BUY_AMOUNT,eGGeSBtfEQ,EBS,653.02 
[91452] BUY,eGGeSBtfEQ,XZO,57.29 
[91479] SET_BUY_TRIGGER,eGGeSBtfEQ,GZQ,574.37 
[91619] ADD,eGGeSBtfEQ,79124.14 
[91749] QUOTE,eGGeSBtfEQ,IOM 
[91764] DISPLAY_SUMMARY,eGGeSBtfEQ 
[91906] SELL,eGGeSBtfEQ,PTP,673.93 
[91949] QUOTE,eGGeSBtfEQ,CBQ 
[92081] QUOTE,eGGeSBtfEQ,PBV 
[92110] ADD,eGGeSBtfEQ,60788.35 
[92423] QUOTE,eGGeSBtfEQ,UZZ 
[92436] ADD,eGGeSBtfEQ,63079.39 
[92581] BUY,eGGeSBtfEQ,YKB,545.12 
[92697] COMMIT_BUY,eGGeSBtfEQ 
[92764] ADD,eGGeSBtfEQ,79766.25 
[92798] BUY,eGGeSBtfEQ,AVX,182.39 
[93345] CANCEL_BUY,eGGeSBtfEQ 
[93777] BUY,eGGeSBtfEQ,ZQW,20.97 
[93824] SET_BUY_TRIGGER,eGGeSBtfEQ,ZGC,120.82 
[93842] ADD,eGGeSBtfEQ,65161.06 
[94179] QUOTE,eGGeSBtfEQ,BBD 
[94183] ADD,eGGeSBtfEQ,85600.88 
[94325] DISPLAY_SUMMARY,eGGeSBtfEQ 
[94368] DISPLAY_SUMMARY,eGGeSBtfEQ 
[94384] QUOTE,eGGeSBtfEQ,JUG 
[94438] SELL,eGGeSBtfEQ,QGE,41.04 
[94559] SELL,eGGeSBtfEQ,OEY,93.20 
[94567] COMMIT_SELL,eGGeSBtfEQ 
[94626] ADD,eGGeSBtfEQ,61174.23 
[94824] SET_BUY_TRIGGER,eGGeSBtfEQ,YOG,138.24 
[94827] QUOTE,eGGeSBtfEQ,PIE 
[94867] BUY,eGGeSBtfEQ,RFC,69.19 
[94918] COMMIT_BUY,eGGeSBtfEQ 
[94968] QUOTE,eGGeSBtfEQ,RVZ 
[94998] SET_BUY_AMOUNT,eGGeSBtfEQ,SUS,234.81 
[95186] SET_BUY_TRIGGER,eGGeSBtfEQ,JHY,51.18 
[95196] DISPLAY_SUMMARY,eGGeSBtfEQ 
[95214] COMMIT_BUY,eGGeSBtfEQ 
[95332] QUOTE,eGGeSBtfEQ,KGA 
[95388] BUY,eGGeSBtfEQ,GCL,644.90 
[95392] ADD,eGGeSBtfEQ,73146.86 
[95466] BUY,eGGeSBtfEQ,SYU,668.63 
[95524] COMMIT_BUY,eGGeSBtfEQ 
[95675] ADD,eGGeSBtfEQ,62598.34 
[95750] CANCEL_SET_SELL,eGGeSBtfEQ,IFC 
[95756] SELL,eGGeSBtfEQ,QJZ,488.19 
[95783] CANCEL_SELL,eGGeSBtfEQ 
[96030] SET_SELL_AMOUNT,eGGeSBtfEQ,EBS,609.95 
[96064] SET_SELL_TRIGGER,eGGeSBtfEQ,EBS,576.52 
[96369] SET_SELL_TRIGGER,eGGeSBtfEQ,GRM,177.17 
[96389] SET_BUY_TRIGGER,eGGeSBtfEQ,CXC,181.83 
[96493] SET_BUY_AMOUNT,eGGeSBtfEQ,SUS,743.88 
[96519] SET_BUY_TRIGGER,eGGeSBtfEQ,FIY,607.66 
[96611] ADD,eGGeSBtfEQ,68614.94 
[96668] BUY,eGGeSBtfEQ,BXH,511.65 
[96761] COMMIT_BUY,eGGeSBtfEQ 
[96857] ADD,eGGeSBtfEQ,68970.36 
[97071] BUY,eGGeSBtfEQ,MRK,186.11 
[97130] SELL,eGGeSBtfEQ,QPR,27.81 
[97380] SET_BUY_AMOUNT,eGGeSBtfEQ,RUN,398.89 
[97489] SET_BUY_TRIGGER,eGGeSBtfEQ,HVE,320.00 
[97595] ADD,eGGeSBtfEQ,76800.70 
[97875] QUOTE,eGGeSBtfEQ,SYN 
[97968] BUY,eGGeSBtfEQ,VVV,567.94 
[98398] CANCEL_BUY,eGGeSBtfEQ 
[98445] QUOTE,eGGeSBtfEQ,AUX 
[98495] QUOTE,eGGeSBtfEQ,GCW 
[98521] ADD,eGGeSBtfEQ,77070.23 
[98537] BUY,eGGeSBtfEQ,BDX,417.89 
[98595] COMMIT_BUY,eGGeSBtfEQ 
[98923] SET_SELL_AMOUNT,eGGeSBtfEQ,TKM,396.67 
[98999] CANCEL_SET_SELL,eGGeSBtfEQ,TKM 
[99409] SET_BUY_TRIGGER,eGGeSBtfEQ,BCQ,163.09 
[99454] BUY,eGGeSBtfEQ,NGH,444.09 
[99482] COMMIT_BUY,eGGeSBtfEQ 
[99690] BUY,eGGeSBtfEQ,TSU,338.64 
[99833] CANCEL_BUY,eGGeSBtfEQ 
