[125] ADD,8xgyjkdphP,60498.96 
[98123] SET_SELL_TRIGGER,8xgyjkdphP,HVE,91.11 
[98177] ADD,8xgyjkdphP,55315.87 
[98201] SET_BUY_AMOUNT,8xgyjkdphP,OEY,113.99 
[98410] CANCEL_SET_BUY,8xgyjkdphP,LUD 
[98438] ADD,8xgyjkdphP,86525.20 
[98510] QUOTE,8xgyjkdphP,KDA 
[98609] BUY,8xgyjkdphP,KGV,487.71 
[98832] SET_SELL_TRIGGER,8xgyjkdphP,TSU,3.01 
[98895] BUY,8xgyjkdphP,XME,484.05 
[98926] CANCEL_BUY,8xgyjkdphP 
[98940] QUOTE,8xgyjkdphP,KPE 
[98941] BUY,8xgyjkdphP,NHG,318.24 
[99338] CANCEL_BUY,8xgyjkdphP 
[99486] ADD,8xgyjkdphP,81783.60 
[99622] BUY,8xgyjkdphP,QXW,351.50 
[99816] COMMIT_BUY,8xgyjkdphP 
[99817] ADD,8xgyjkdphP,73962.66 
[99998] SET_BUY_TRIGGER,8xgyjkdphP,CBV,16.45 
