[227] ADD,xgci4T0tkO,58853.42 
[95945] DISPLAY_SUMMARY,xgci4T0tkO 
[95952] SET_SELL_TRIGGER,xgci4T0tkO,XXP,66.47 
[96076] ADD,xgci4T0tkO,72179.78 
[96087] QUOTE,xgci4T0tkO,EUC 
[96100] BUY,xgci4T0tkO,NFQ,9.47 
[96204] CANCEL_BUY,xgci4T0tkO 
[96412] SELL,xgci4T0tkO,CEC,616.26 
[96417] SET_SELL_AMOUNT,xgci4T0tkO,SUS,653.49 
[96452] SET_SELL_TRIGGER,xgci4T0tkO,SUS,448.63 
[96552] SET_BUY_AMOUNT,xgci4T0tkO,JCQ,121.96 
[96682] DISPLAY_SUMMARY,xgci4T0tkO 
[96796] CANCEL_SET_SELL,xgci4T0tkO,ONI 
[97313] CANCEL_BUY,xgci4T0tkO 
[97320] CANCEL_BUY,xgci4T0tkO 
[97327] CANCEL_BUY,xgci4T0tkO 
[97361] SET_BUY_AMOUNT,xgci4T0tkO,RNK,735.13 
[97436] SET_BUY_TRIGGER,xgci4T0tkO,WSR,17.32 
[97445] SET_SELL_AMOUNT,xgci4T0tkO,KDA,457.19 
[97552] DISPLAY_SUMMARY,xgci4T0tkO 
[97907] ADD,xgci4T0tkO,77921.96 
[98169] QUOTE,xgci4T0tkO,IJO 
[98316] QUOTE,xgci4T0tkO,CEC 
[98364] SET_BUY_TRIGGER,xgci4T0tkO,KAS,168.74 
[98561] BUY,xgci4T0tkO,AEM,94.30 
[98596] COMMIT_BUY,xgci4T0tkO 
[98624] DISPLAY_SUMMARY,xgci4T0tkO 
[98756] ADD,xgci4T0tkO,46978.88 
[98916] BUY,xgci4T0tkO,ESN,628.47 
[98954] CANCEL_BUY,xgci4T0tkO 
[98967] ADD,xgci4T0tkO,77533.25 
[99065] ADD,xgci4T0tkO,52406.20 
[99141] SET_SELL_AMOUNT,xgci4T0tkO,UBJ,207.07 
[99183] BUY,xgci4T0tkO,TFZ,714.31 
[99525] COMMIT_BUY,xgci4T0tkO 
[99579] ADD,xgci4T0tkO,103083.66 
[99812] COMMIT_SELL,xgci4T0tkO 
[99950] SET_SELL_TRIGGER,xgci4T0tkO,UBJ,178.91 
[99996] ADD,xgci4T0tkO,50036.20 
