[22] ADD,wYQUhjq8PE,76865.00 
[88642] ADD,wYQUhjq8PE,55223.61 
[88669] BUY,wYQUhjq8PE,PST,683.54 
[88685] COMMIT_BUY,wYQUhjq8PE 
[88688] ADD,wYQUhjq8PE,50926.26 
[88704] QUOTE,wYQUhjq8PE,JUG 
[88711] ADD,wYQUhjq8PE,102626.28 
[88735] QUOTE,wYQUhjq8PE,ZAV 
[88736] QUOTE,wYQUhjq8PE,YDD 
[88912] QUOTE,wYQUhjq8PE,JEO 
[88977] BUY,wYQUhjq8PE,LJZ,324.74 
[89009] COMMIT_BUY,wYQUhjq8PE 
[89095] QUOTE,wYQUhjq8PE,RVU 
[89372] BUY,wYQUhjq8PE,OYX,473.44 
[89380] COMMIT_BUY,wYQUhjq8PE 
[89394] SET_BUY_TRIGGER,wYQUhjq8PE,AIN,29.56 
[89434] COMMIT_SELL,wYQUhjq8PE 
[89523] ADD,wYQUhjq8PE,63977.85 
[89661] QUOTE,wYQUhjq8PE,OOI 
[89741] QUOTE,wYQUhjq8PE,IOM 
[89838] BUY,wYQUhjq8PE,WUL,43.02 
[89846] COMMIT_BUY,wYQUhjq8PE 
[89869] QUOTE,wYQUhjq8PE,YWC 
[90179] BUY,wYQUhjq8PE,SQO,488.72 
[90270] COMMIT_BUY,wYQUhjq8PE 
[90592] SET_BUY_AMOUNT,wYQUhjq8PE,XXQ,120.72 
[90781] SET_BUY_TRIGGER,wYQUhjq8PE,ZFJ,15.31 
[90912] DISPLAY_SUMMARY,wYQUhjq8PE 
[90997] DISPLAY_SUMMARY,wYQUhjq8PE 
[91059] ADD,wYQUhjq8PE,71360.84 
[91190] CANCEL_SET_BUY,wYQUhjq8PE,AIN 
[91235] SET_SELL_AMOUNT,wYQUhjq8PE,KDA,467.94 
[91417] CANCEL_SET_SELL,wYQUhjq8PE,KDA 
[91439] SET_SELL_AMOUNT,wYQUhjq8PE,XLK,697.26 
[91645] SET_SELL_TRIGGER,wYQUhjq8PE,XLK,620.73 
[91721] SELL,wYQUhjq8PE,UTV,603.79 
[91726] COMMIT_SELL,wYQUhjq8PE 
[91858] SET_SELL_TRIGGER,wYQUhjq8PE,PYM,52.58 
[91914] SELL,wYQUhjq8PE,YJK,351.03 
[92542] COMMIT_SELL,wYQUhjq8PE 
[92728] ADD,wYQUhjq8PE,79874.73 
[92739] QUOTE,wYQUhjq8PE,LAW 
[92837] QUOTE,wYQUhjq8PE,PGV 
[92899] BUY,wYQUhjq8PE,EIK,88.53 
[93057] COMMIT_BUY,wYQUhjq8PE 
[93067] SET_SELL_TRIGGER,wYQUhjq8PE,VEE,113.25 
[93225] ADD,wYQUhjq8PE,52716.87 
[93396] BUY,wYQUhjq8PE,LTB,494.62 
[93477] COMMIT_BUY,wYQUhjq8PE 
[93502] SELL,wYQUhjq8PE,RGH,690.98 
[93550] COMMIT_SELL,wYQUhjq8PE 
[93794] BUY,wYQUhjq8PE,SKC,253.13 
[93801] COMMIT_BUY,wYQUhjq8PE 
[93808] SELL,wYQUhjq8PE,IFN,271.73 
[93821] SET_SELL_TRIGGER,wYQUhjq8PE,LMB,7.34 
[93829] SELL,wYQUhjq8PE,QGE,363.48 
[93938] COMMIT_SELL,wYQUhjq8PE 
[93945] SET_BUY_AMOUNT,wYQUhjq8PE,CSZ,637.93 
[93970] CANCEL_SET_BUY,wYQUhjq8PE,OXK 
[94119] QUOTE,wYQUhjq8PE,JPD 
[94139] QUOTE,wYQUhjq8PE,JUG 
[94194] SET_BUY_AMOUNT,wYQUhjq8PE,CEC,303.73 
[94227] DISPLAY_SUMMARY,wYQUhjq8PE 
[94255] SELL,wYQUhjq8PE,KES,237.92 
[94291] COMMIT_SELL,wYQUhjq8PE 
[94303] BUY,wYQUhjq8PE,LNJ,720.56 
[94402] QUOTE,wYQUhjq8PE,XUY 
[94455] SET_BUY_AMOUNT,wYQUhjq8PE,ZTI,156.62 
[94503] SET_BUY_TRIGGER,wYQUhjq8PE,PFK,122.69 
[94593] SELL,wYQUhjq8PE,KDA,647.48 
[94834] SET_BUY_AMOUNT,wYQUhjq8PE,UBJ,81.31 
[95516] SET_BUY_TRIGGER,wYQUhjq8PE,SYM,30.36 
[95517] SET_SELL_AMOUNT,wYQUhjq8PE,ZTI,733.58 
[95640] SELL,wYQUhjq8PE,LZV,197.69 
[95807] COMMIT_SELL,wYQUhjq8PE 
[95822] ADD,wYQUhjq8PE,62137.40 
[95844] QUOTE,wYQUhjq8PE,IQZ 
[95873] ADD,wYQUhjq8PE,68905.13 
[95972] BUY,wYQUhjq8PE,WUF,100.60 
[96084] CANCEL_SET_BUY,wYQUhjq8PE,SAJ 
[96165] DISPLAY_SUMMARY,wYQUhjq8PE 
[96174] BUY,wYQUhjq8PE,QQW,748.90 
[96226] CANCEL_BUY,wYQUhjq8PE 
[96378] DISPLAY_SUMMARY,wYQUhjq8PE 
[96429] ADD,wYQUhjq8PE,76015.61 
[96523] QUOTE,wYQUhjq8PE,LUT 
[96548] SET_BUY_TRIGGER,wYQUhjq8PE,EHF,109.59 
[96705] ADD,wYQUhjq8PE,74312.22 
[96776] BUY,wYQUhjq8PE,FIC,535.35 
[96866] COMMIT_BUY,wYQUhjq8PE 
[96989] SET_BUY_TRIGGER,wYQUhjq8PE,ZGN,165.10 
[97001] ADD,wYQUhjq8PE,55348.53 
[97178] QUOTE,wYQUhjq8PE,NKC 
[97194] SET_SELL_AMOUNT,wYQUhjq8PE,RUN,216.37 
[97236] SET_SELL_TRIGGER,wYQUhjq8PE,RUN,26.20 
[97667] SELL,wYQUhjq8PE,ZTI,189.48 
[97988] COMMIT_SELL,wYQUhjq8PE 
[98145] ADD,wYQUhjq8PE,51872.79 
[98249] BUY,wYQUhjq8PE,XLI,727.39 
[98447] COMMIT_BUY,wYQUhjq8PE 
[98464] SET_SELL_TRIGGER,wYQUhjq8PE,WYD,179.04 
[98761] SET_SELL_AMOUNT,wYQUhjq8PE,CEC,170.01 
[98844] DISPLAY_SUMMARY,wYQUhjq8PE 
[98914] ADD,wYQUhjq8PE,44030.40 
[98983] BUY,wYQUhjq8PE,CVV,492.37 
[99004] BUY,wYQUhjq8PE,WRN,198.97 
[99093] BUY,wYQUhjq8PE,RXO,434.52 
[99187] COMMIT_BUY,wYQUhjq8PE 
[99219] SELL,wYQUhjq8PE,RGH,263.07 
[99564] CANCEL_BUY,wYQUhjq8PE 
[99616] BUY,wYQUhjq8PE,BHQ,241.88 
[99671] CANCEL_SET_SELL,wYQUhjq8PE,CEC 
[99907] QUOTE,wYQUhjq8PE,IEQ 
[99961] SET_BUY_TRIGGER,wYQUhjq8PE,ERF,76.77 
[99988] ADD,wYQUhjq8PE,60114.35 
