[48] ADD,FOsYiQU5Qk,72884.59 
[92054] QUOTE,FOsYiQU5Qk,ZTR 
[92070] SELL,FOsYiQU5Qk,TVI,441.44 
[92325] COMMIT_SELL,FOsYiQU5Qk 
[92469] SET_SELL_AMOUNT,FOsYiQU5Qk,CSZ,20.29 
[92492] SET_SELL_TRIGGER,FOsYiQU5Qk,CSZ,2.98 
[92496] ADD,FOsYiQU5Qk,63021.97 
[92650] QUOTE,FOsYiQU5Qk,MUN 
[92806] BUY,FOsYiQU5Qk,WTD,649.94 
[92895] CANCEL_BUY,FOsYiQU5Qk 
[92909] COMMIT_BUY,FOsYiQU5Qk 
[93033] SELL,FOsYiQU5Qk,JVT,606.43 
[93091] CANCEL_BUY,FOsYiQU5Qk 
[93152] ADD,FOsYiQU5Qk,67499.56 
[93287] QUOTE,FOsYiQU5Qk,DED 
[93302] BUY,FOsYiQU5Qk,PBX,92.48 
[93383] CANCEL_SET_SELL,FOsYiQU5Qk,IGI 
[93456] SET_SELL_AMOUNT,FOsYiQU5Qk,LZV,170.47 
[93583] SET_SELL_TRIGGER,FOsYiQU5Qk,LZV,20.79 
[93610] SET_SELL_AMOUNT,FOsYiQU5Qk,DJD,110.03 
[93709] SET_SELL_TRIGGER,FOsYiQU5Qk,DJD,13.72 
[93730] BUY,FOsYiQU5Qk,PUC,284.23 
[93750] CANCEL_SET_BUY,FOsYiQU5Qk,HEJ 
[94044] CANCEL_BUY,FOsYiQU5Qk 
[94212] ADD,FOsYiQU5Qk,61118.24 
[94340] BUY,FOsYiQU5Qk,MVY,97.25 
[94347] SELL,FOsYiQU5Qk,OEY,231.09 
[94484] SET_BUY_AMOUNT,FOsYiQU5Qk,DFE,270.37 
[94492] SET_BUY_TRIGGER,FOsYiQU5Qk,XER,167.96 
[94519] DISPLAY_SUMMARY,FOsYiQU5Qk 
[94532] DISPLAY_SUMMARY,FOsYiQU5Qk 
[94642] SET_BUY_TRIGGER,FOsYiQU5Qk,AJL,159.61 
[94648] SET_SELL_AMOUNT,FOsYiQU5Qk,RNK,179.63 
[94792] SET_SELL_TRIGGER,FOsYiQU5Qk,RNK,141.91 
[94829] DISPLAY_SUMMARY,FOsYiQU5Qk 
[94871] SELL,FOsYiQU5Qk,AJR,283.26 
[94952] SET_SELL_TRIGGER,FOsYiQU5Qk,XVK,26.68 
[95199] QUOTE,FOsYiQU5Qk,PXS 
[95221] ADD,FOsYiQU5Qk,65343.50 
[95241] BUY,FOsYiQU5Qk,YQC,310.82 
[95341] CANCEL_BUY,FOsYiQU5Qk 
[95395] BUY,FOsYiQU5Qk,JHY,336.94 
[95460] CANCEL_BUY,FOsYiQU5Qk 
[95581] SET_SELL_AMOUNT,FOsYiQU5Qk,VDP,65.54 
[95655] SET_SELL_TRIGGER,FOsYiQU5Qk,VDP,13.80 
[95708] CANCEL_SELL,FOsYiQU5Qk 
[95725] DISPLAY_SUMMARY,FOsYiQU5Qk 
[95736] QUOTE,FOsYiQU5Qk,SCW 
[95867] DISPLAY_SUMMARY,FOsYiQU5Qk 
[96116] SET_BUY_AMOUNT,FOsYiQU5Qk,JVT,667.32 
[96181] SET_BUY_TRIGGER,FOsYiQU5Qk,KJD,180.35 
[96192] SET_SELL_TRIGGER,FOsYiQU5Qk,STQ,132.62 
[96246] SET_BUY_AMOUNT,FOsYiQU5Qk,BCQ,573.38 
[96260] SET_BUY_TRIGGER,FOsYiQU5Qk,PFN,456.42 
[96481] DISPLAY_SUMMARY,FOsYiQU5Qk 
[96656] DISPLAY_SUMMARY,FOsYiQU5Qk 
[96685] ADD,FOsYiQU5Qk,91389.47 
[96770] BUY,FOsYiQU5Qk,VKP,725.41 
[96975] COMMIT_BUY,FOsYiQU5Qk 
[97032] CANCEL_BUY,FOsYiQU5Qk 
[97089] SET_BUY_AMOUNT,FOsYiQU5Qk,TVI,240.52 
[97173] CANCEL_SET_BUY,FOsYiQU5Qk,EJW 
[97213] SELL,FOsYiQU5Qk,MXD,82.73 
[97249] COMMIT_SELL,FOsYiQU5Qk 
[97292] SET_SELL_TRIGGER,FOsYiQU5Qk,PUO,180.94 
[97468] DISPLAY_SUMMARY,FOsYiQU5Qk 
[97554] SET_BUY_TRIGGER,FOsYiQU5Qk,XUH,80.71 
[97933] ADD,FOsYiQU5Qk,79793.79 
[97959] BUY,FOsYiQU5Qk,FLD,558.44 
[98136] CANCEL_BUY,FOsYiQU5Qk 
[98210] ADD,FOsYiQU5Qk,52680.86 
[98213] BUY,FOsYiQU5Qk,JDO,629.92 
[98340] QUOTE,FOsYiQU5Qk,KWP 
[98349] QUOTE,FOsYiQU5Qk,EAK 
[98371] BUY,FOsYiQU5Qk,TTV,615.43 
[98512] SET_SELL_AMOUNT,FOsYiQU5Qk,RUN,193.17 
[98594] SET_SELL_TRIGGER,FOsYiQU5Qk,RUN,83.00 
[98666] SET_BUY_AMOUNT,FOsYiQU5Qk,GRM,503.22 
[98750] SET_BUY_TRIGGER,FOsYiQU5Qk,CXC,52.98 
[98770] ADD,FOsYiQU5Qk,50438.44 
[99297] QUOTE,FOsYiQU5Qk,JDW 
[99570] BUY,FOsYiQU5Qk,CBV,329.74 
[99731] COMMIT_BUY,FOsYiQU5Qk 
[99862] DISPLAY_SUMMARY,FOsYiQU5Qk 
[99864] ADD,FOsYiQU5Qk,83317.39 
[99885] ADD,FOsYiQU5Qk,78774.85 
[99894] SET_SELL_AMOUNT,FOsYiQU5Qk,SQI,315.38 
[99896] SET_SELL_TRIGGER,FOsYiQU5Qk,SQI,0.69 
