[31] ADD,TRCadzjH8F,81383.21 
[95956] CANCEL_BUY,TRCadzjH8F 
[96014] BUY,TRCadzjH8F,SAN,491.59 
[96051] COMMIT_BUY,TRCadzjH8F 
[96201] CANCEL_SET_SELL,TRCadzjH8F,DDH 
[96458] SET_BUY_AMOUNT,TRCadzjH8F,YDS,464.20 
[96518] SET_BUY_TRIGGER,TRCadzjH8F,OLI,24.59 
[96745] SET_BUY_AMOUNT,TRCadzjH8F,UIE,689.64 
[97006] SET_BUY_TRIGGER,TRCadzjH8F,IHW,273.53 
[97221] DISPLAY_SUMMARY,TRCadzjH8F 
[97321] DISPLAY_SUMMARY,TRCadzjH8F 
[97626] SET_BUY_AMOUNT,TRCadzjH8F,BJL,574.68 
[97683] CANCEL_SET_BUY,TRCadzjH8F,IGI 
[97734] DISPLAY_SUMMARY,TRCadzjH8F 
[97806] DISPLAY_SUMMARY,TRCadzjH8F 
[97808] CANCEL_SET_SELL,TRCadzjH8F,DWU 
[97955] ADD,TRCadzjH8F,84212.21 
[98069] BUY,TRCadzjH8F,ERF,87.56 
[98352] CANCEL_SET_SELL,TRCadzjH8F,FQP 
[98365] ADD,TRCadzjH8F,48356.63 
[98431] BUY,TRCadzjH8F,OYS,724.74 
[98597] CANCEL_BUY,TRCadzjH8F 
[98664] ADD,TRCadzjH8F,49299.59 
[98739] BUY,TRCadzjH8F,SCW,442.19 
[98776] COMMIT_BUY,TRCadzjH8F 
[98903] ADD,TRCadzjH8F,72332.26 
[98972] BUY,TRCadzjH8F,YJK,191.28 
[99066] COMMIT_BUY,TRCadzjH8F 
[99159] SET_SELL_AMOUNT,TRCadzjH8F,MWJ,46.21 
[99190] SET_SELL_TRIGGER,TRCadzjH8F,MWJ,34.23 
[99539] CANCEL_BUY,TRCadzjH8F 
[99588] ADD,TRCadzjH8F,77771.51 
[99605] BUY,TRCadzjH8F,RXO,724.52 
[99794] COMMIT_BUY,TRCadzjH8F 
[99818] SET_SELL_TRIGGER,TRCadzjH8F,JIC,8.56 
