[174] ADD,FjKEXA3hdZ,66541.76 
[82269] ADD,FjKEXA3hdZ,69656.20 
[82272] QUOTE,FjKEXA3hdZ,LLD 
[82285] QUOTE,FjKEXA3hdZ,TQE 
[82352] SET_SELL_AMOUNT,FjKEXA3hdZ,UIE,278.62 
[82354] SET_SELL_TRIGGER,FjKEXA3hdZ,UIE,21.94 
[82576] SELL,FjKEXA3hdZ,FDI,489.85 
[82646] CANCEL_SELL,FjKEXA3hdZ 
[82680] SET_SELL_TRIGGER,FjKEXA3hdZ,WDJ,58.83 
[82770] SET_SELL_TRIGGER,FjKEXA3hdZ,OZT,0.33 
[82793] ADD,FjKEXA3hdZ,65022.50 
[82796] QUOTE,FjKEXA3hdZ,SAR 
[82820] ADD,FjKEXA3hdZ,78699.22 
[82936] BUY,FjKEXA3hdZ,UTV,447.50 
[82969] COMMIT_BUY,FjKEXA3hdZ 
[83037] SET_SELL_TRIGGER,FjKEXA3hdZ,HMR,49.55 
[83072] QUOTE,FjKEXA3hdZ,QXE 
[83073] QUOTE,FjKEXA3hdZ,CAX 
[83255] BUY,FjKEXA3hdZ,GAN,51.41 
[83293] SET_SELL_AMOUNT,FjKEXA3hdZ,ZYR,40.06 
[83500] QUOTE,FjKEXA3hdZ,MXN 
[83514] BUY,FjKEXA3hdZ,QJC,147.42 
[83692] COMMIT_BUY,FjKEXA3hdZ 
[83847] ADD,FjKEXA3hdZ,51119.97 
[83997] QUOTE,FjKEXA3hdZ,UTL 
[84196] BUY,FjKEXA3hdZ,AIN,405.59 
[84203] COMMIT_BUY,FjKEXA3hdZ 
[84380] SET_SELL_AMOUNT,FjKEXA3hdZ,AJR,216.97 
[84562] CANCEL_SET_SELL,FjKEXA3hdZ,AJR 
[84571] SET_BUY_AMOUNT,FjKEXA3hdZ,TVI,26.67 
[84631] SET_BUY_TRIGGER,FjKEXA3hdZ,MER,21.54 
[84734] DISPLAY_SUMMARY,FjKEXA3hdZ 
[84766] SELL,FjKEXA3hdZ,XLK,338.73 
[84910] COMMIT_SELL,FjKEXA3hdZ 
[84975] DISPLAY_SUMMARY,FjKEXA3hdZ 
[84996] ADD,FjKEXA3hdZ,67701.41 
[85005] BUY,FjKEXA3hdZ,HYX,672.65 
[85219] COMMIT_BUY,FjKEXA3hdZ 
[85296] SET_BUY_TRIGGER,FjKEXA3hdZ,DRP,173.83 
[85403] DISPLAY_SUMMARY,FjKEXA3hdZ 
[85425] SET_SELL_TRIGGER,FjKEXA3hdZ,EED,133.21 
[85736] SET_BUY_AMOUNT,FjKEXA3hdZ,GSW,423.66 
[85803] SET_BUY_TRIGGER,FjKEXA3hdZ,SMS,325.27 
[85816] ADD,FjKEXA3hdZ,63883.96 
[85823] QUOTE,FjKEXA3hdZ,OXV 
[85857] BUY,FjKEXA3hdZ,CUZ,704.99 
[85864] COMMIT_BUY,FjKEXA3hdZ 
[85931] DISPLAY_SUMMARY,FjKEXA3hdZ 
[85995] SELL,FjKEXA3hdZ,GRM,517.70 
[86066] CANCEL_BUY,FjKEXA3hdZ 
[86275] SELL,FjKEXA3hdZ,TKM,37.58 
[86341] CANCEL_SET_BUY,FjKEXA3hdZ,ZWC 
[86374] SET_SELL_TRIGGER,FjKEXA3hdZ,SKC,111.89 
[86379] QUOTE,FjKEXA3hdZ,HEK 
[86800] QUOTE,FjKEXA3hdZ,SQI 
[86921] QUOTE,FjKEXA3hdZ,LLE 
[86971] SELL,FjKEXA3hdZ,ZTI,77.52 
[87239] ADD,FjKEXA3hdZ,87993.64 
[87331] BUY,FjKEXA3hdZ,WJP,571.38 
[87374] CANCEL_SELL,FjKEXA3hdZ 
[87625] ADD,FjKEXA3hdZ,100758.16 
[87757] QUOTE,FjKEXA3hdZ,NBX 
[87796] BUY,FjKEXA3hdZ,IOM,310.58 
[87804] SET_SELL_TRIGGER,FjKEXA3hdZ,WDJ,192.20 
[87834] BUY,FjKEXA3hdZ,ZZN,245.53 
[87951] COMMIT_BUY,FjKEXA3hdZ 
[87996] SET_SELL_AMOUNT,FjKEXA3hdZ,QGE,333.41 
[88253] SET_SELL_TRIGGER,FjKEXA3hdZ,QGE,210.12 
[88305] BUY,FjKEXA3hdZ,QEO,504.15 
[88365] COMMIT_SELL,FjKEXA3hdZ 
[88378] SET_SELL_TRIGGER,FjKEXA3hdZ,PYM,139.99 
[88434] SELL,FjKEXA3hdZ,LZV,205.32 
[88545] COMMIT_SELL,FjKEXA3hdZ 
[88570] SET_BUY_TRIGGER,FjKEXA3hdZ,WJS,168.45 
[88776] SET_SELL_AMOUNT,FjKEXA3hdZ,XXQ,686.72 
[89090] SET_SELL_TRIGGER,FjKEXA3hdZ,XXQ,234.56 
[89234] BUY,FjKEXA3hdZ,LTB,150.63 
[89247] COMMIT_BUY,FjKEXA3hdZ 
[89269] COMMIT_BUY,FjKEXA3hdZ 
[89450] ADD,FjKEXA3hdZ,66322.12 
[89731] BUY,FjKEXA3hdZ,LLF,98.06 
[89964] COMMIT_BUY,FjKEXA3hdZ 
[90301] SET_SELL_AMOUNT,FjKEXA3hdZ,YJK,407.16 
[90348] SET_SELL_TRIGGER,FjKEXA3hdZ,YJK,188.57 
[90367] SELL,FjKEXA3hdZ,BJL,381.85 
[90428] COMMIT_SELL,FjKEXA3hdZ 
[90910] DISPLAY_SUMMARY,FjKEXA3hdZ 
[90952] DISPLAY_SUMMARY,FjKEXA3hdZ 
[90955] CANCEL_SELL,FjKEXA3hdZ 
[91039] BUY,FjKEXA3hdZ,XAN,222.80 
[91040] COMMIT_BUY,FjKEXA3hdZ 
[91087] DISPLAY_SUMMARY,FjKEXA3hdZ 
[91164] SET_SELL_TRIGGER,FjKEXA3hdZ,MVY,153.57 
[91449] QUOTE,FjKEXA3hdZ,MQP 
[91649] BUY,FjKEXA3hdZ,WYA,533.19 
[91698] COMMIT_BUY,FjKEXA3hdZ 
[91701] SET_SELL_AMOUNT,FjKEXA3hdZ,HFS,588.94 
[91842] SELL,FjKEXA3hdZ,RNK,598.25 
[91980] COMMIT_SELL,FjKEXA3hdZ 
[92025] CANCEL_SELL,FjKEXA3hdZ 
[92049] DISPLAY_SUMMARY,FjKEXA3hdZ 
[92238] SET_BUY_AMOUNT,FjKEXA3hdZ,BJL,522.01 
[92262] QUOTE,FjKEXA3hdZ,TYV 
[92502] BUY,FjKEXA3hdZ,FOW,350.59 
[92538] COMMIT_SELL,FjKEXA3hdZ 
[92544] COMMIT_BUY,FjKEXA3hdZ 
[92676] ADD,FjKEXA3hdZ,62857.63 
[92681] QUOTE,FjKEXA3hdZ,ONI 
[92826] DISPLAY_SUMMARY,FjKEXA3hdZ 
[93010] ADD,FjKEXA3hdZ,90847.14 
[93317] QUOTE,FjKEXA3hdZ,MOM 
[93462] SET_BUY_TRIGGER,FjKEXA3hdZ,BWL,413.83 
[93560] SET_BUY_AMOUNT,FjKEXA3hdZ,HTD,441.58 
[93563] SET_BUY_TRIGGER,FjKEXA3hdZ,GGI,348.41 
[94166] DISPLAY_SUMMARY,FjKEXA3hdZ 
[94241] ADD,FjKEXA3hdZ,76031.30 
[94274] QUOTE,FjKEXA3hdZ,UIE 
[94297] BUY,FjKEXA3hdZ,FLD,202.48 
[94299] COMMIT_BUY,FjKEXA3hdZ 
[94314] BUY,FjKEXA3hdZ,XUY,624.56 
[94378] CANCEL_BUY,FjKEXA3hdZ 
[94521] SET_BUY_AMOUNT,FjKEXA3hdZ,GSW,436.57 
[94639] SET_BUY_TRIGGER,FjKEXA3hdZ,ZFJ,68.97 
[94654] DISPLAY_SUMMARY,FjKEXA3hdZ 
[94807] SET_BUY_TRIGGER,FjKEXA3hdZ,YVX,26.39 
[95404] ADD,FjKEXA3hdZ,67701.74 
[95411] QUOTE,FjKEXA3hdZ,NHG 
[95852] BUY,FjKEXA3hdZ,XFW,448.52 
[95872] SET_BUY_AMOUNT,FjKEXA3hdZ,AJR,420.28 
[95951] SET_BUY_TRIGGER,FjKEXA3hdZ,KGV,299.85 
[96039] DISPLAY_SUMMARY,FjKEXA3hdZ 
[96106] SELL,FjKEXA3hdZ,JRJ,141.63 
[96124] COMMIT_SELL,FjKEXA3hdZ 
[96145] QUOTE,FjKEXA3hdZ,ZLY 
[96244] BUY,FjKEXA3hdZ,GZU,665.02 
[96317] BUY,FjKEXA3hdZ,DQW,702.34 
[96338] CANCEL_SET_BUY,FjKEXA3hdZ,WNU 
[96373] QUOTE,FjKEXA3hdZ,SYM 
[96424] QUOTE,FjKEXA3hdZ,QXW 
[96546] BUY,FjKEXA3hdZ,PUO,126.52 
[96964] BUY,FjKEXA3hdZ,BHQ,173.85 
[96978] COMMIT_BUY,FjKEXA3hdZ 
[97079] DISPLAY_SUMMARY,FjKEXA3hdZ 
[97196] DISPLAY_SUMMARY,FjKEXA3hdZ 
[97288] DISPLAY_SUMMARY,FjKEXA3hdZ 
[97363] QUOTE,FjKEXA3hdZ,FWW 
[97513] SET_SELL_AMOUNT,FjKEXA3hdZ,BCQ,574.96 
[97522] SET_SELL_TRIGGER,FjKEXA3hdZ,BCQ,361.07 
[97801] SELL,FjKEXA3hdZ,JCQ,405.45 
[97845] COMMIT_SELL,FjKEXA3hdZ 
[97876] SET_BUY_TRIGGER,FjKEXA3hdZ,MQX,78.47 
[97966] SET_SELL_TRIGGER,FjKEXA3hdZ,KDG,25.36 
[98061] BUY,FjKEXA3hdZ,ZGN,557.45 
[98173] CANCEL_BUY,FjKEXA3hdZ 
[98268] DISPLAY_SUMMARY,FjKEXA3hdZ 
[98338] SET_SELL_AMOUNT,FjKEXA3hdZ,QJZ,269.80 
[98341] SET_SELL_TRIGGER,FjKEXA3hdZ,QJZ,173.87 
[98486] ADD,FjKEXA3hdZ,56604.55 
[98932] BUY,FjKEXA3hdZ,WCY,416.73 
[99075] QUOTE,FjKEXA3hdZ,VVV 
[99136] BUY,FjKEXA3hdZ,DVA,658.07 
[99237] SET_BUY_AMOUNT,FjKEXA3hdZ,KYX,361.64 
[99393] SELL,FjKEXA3hdZ,GGI,103.08 
[99472] COMMIT_SELL,FjKEXA3hdZ 
[99549] BUY,FjKEXA3hdZ,FFN,130.16 
[99653] SELL,FjKEXA3hdZ,TKM,690.50 
[99714] COMMIT_SELL,FjKEXA3hdZ 
[99767] ADD,FjKEXA3hdZ,82975.07 
[99783] QUOTE,FjKEXA3hdZ,WQC 
[99787] SET_BUY_TRIGGER,FjKEXA3hdZ,NEV,219.61 
[99836] BUY,FjKEXA3hdZ,TOL,143.49 
[99850] COMMIT_BUY,FjKEXA3hdZ 
[99852] COMMIT_BUY,FjKEXA3hdZ 
[99853] SET_BUY_TRIGGER,FjKEXA3hdZ,MQF,105.22 
[99909] DISPLAY_SUMMARY,FjKEXA3hdZ 
