[137] ADD,hPnf9OsmbW,69908.07 
[92312] COMMIT_BUY,hPnf9OsmbW 
[92452] DISPLAY_SUMMARY,hPnf9OsmbW 
[92763] BUY,hPnf9OsmbW,PWK,700.77 
[92816] COMMIT_BUY,hPnf9OsmbW 
[92851] ADD,hPnf9OsmbW,80754.47 
[92966] QUOTE,hPnf9OsmbW,WKL 
[92967] SET_BUY_TRIGGER,hPnf9OsmbW,VXY,45.04 
[92993] DISPLAY_SUMMARY,hPnf9OsmbW 
[93017] SET_SELL_TRIGGER,hPnf9OsmbW,JLK,8.86 
[93089] SET_BUY_TRIGGER,hPnf9OsmbW,TOZ,143.17 
[93206] CANCEL_SET_SELL,hPnf9OsmbW,XBE 
[93214] ADD,hPnf9OsmbW,53310.17 
[93467] QUOTE,hPnf9OsmbW,BWR 
[93691] SET_SELL_TRIGGER,hPnf9OsmbW,HZA,91.08 
[93732] SET_BUY_AMOUNT,hPnf9OsmbW,CUZ,581.41 
[93748] CANCEL_SET_BUY,hPnf9OsmbW,IAV 
[93759] QUOTE,hPnf9OsmbW,FQP 
[93771] QUOTE,hPnf9OsmbW,ZTR 
[93880] ADD,hPnf9OsmbW,91652.99 
[93939] COMMIT_BUY,hPnf9OsmbW 
[94218] QUOTE,hPnf9OsmbW,SZI 
[94364] BUY,hPnf9OsmbW,YNY,319.49 
[94399] SET_SELL_AMOUNT,hPnf9OsmbW,JZJ,562.20 
[94432] SET_SELL_TRIGGER,hPnf9OsmbW,JZJ,90.60 
[94456] CANCEL_SET_BUY,hPnf9OsmbW,VQA 
[94775] SET_BUY_TRIGGER,hPnf9OsmbW,CAX,90.60 
[94899] ADD,hPnf9OsmbW,50605.28 
[95191] BUY,hPnf9OsmbW,YTY,292.97 
[95349] COMMIT_BUY,hPnf9OsmbW 
[95360] DISPLAY_SUMMARY,hPnf9OsmbW 
[95519] QUOTE,hPnf9OsmbW,COE 
[95525] BUY,hPnf9OsmbW,PLB,391.35 
[95771] ADD,hPnf9OsmbW,57503.49 
[95796] QUOTE,hPnf9OsmbW,TQE 
[95840] QUOTE,hPnf9OsmbW,URD 
[96005] BUY,hPnf9OsmbW,UGG,96.71 
[96044] COMMIT_BUY,hPnf9OsmbW 
[96470] DISPLAY_SUMMARY,hPnf9OsmbW 
[96570] COMMIT_SELL,hPnf9OsmbW 
[96701] DISPLAY_SUMMARY,hPnf9OsmbW 
[96727] SELL,hPnf9OsmbW,PRJ,85.33 
[96840] CANCEL_SELL,hPnf9OsmbW 
[96948] QUOTE,hPnf9OsmbW,PBV 
[96967] BUY,hPnf9OsmbW,LCP,573.26 
[97207] COMMIT_BUY,hPnf9OsmbW 
[97209] SET_BUY_TRIGGER,hPnf9OsmbW,PIC,94.04 
[97247] DISPLAY_SUMMARY,hPnf9OsmbW 
[97286] ADD,hPnf9OsmbW,76171.43 
[97345] QUOTE,hPnf9OsmbW,CMA 
[97426] BUY,hPnf9OsmbW,CEC,258.09 
[97529] COMMIT_BUY,hPnf9OsmbW 
[97698] SELL,hPnf9OsmbW,HFS,674.94 
[97732] COMMIT_SELL,hPnf9OsmbW 
[97853] CANCEL_BUY,hPnf9OsmbW 
[97917] SET_BUY_AMOUNT,hPnf9OsmbW,XLK,78.13 
[98026] CANCEL_SET_BUY,hPnf9OsmbW,SCW 
[98105] SET_BUY_AMOUNT,hPnf9OsmbW,JRJ,466.50 
[98255] SET_BUY_TRIGGER,hPnf9OsmbW,IDX,341.81 
[98347] DISPLAY_SUMMARY,hPnf9OsmbW 
[98418] SET_BUY_AMOUNT,hPnf9OsmbW,CSZ,694.61 
[98420] SET_BUY_TRIGGER,hPnf9OsmbW,ZCQ,429.42 
[98581] SET_BUY_AMOUNT,hPnf9OsmbW,CEC,2.19 
[98719] SET_BUY_TRIGGER,hPnf9OsmbW,ZLY,1.73 
[98810] SET_BUY_TRIGGER,hPnf9OsmbW,LPS,71.42 
[98984] ADD,hPnf9OsmbW,64666.52 
[99222] BUY,hPnf9OsmbW,FZU,454.36 
[99347] COMMIT_BUY,hPnf9OsmbW 
[99351] ADD,hPnf9OsmbW,79882.87 
[99428] QUOTE,hPnf9OsmbW,SXB 
[99666] QUOTE,hPnf9OsmbW,ATW 
[99726] QUOTE,hPnf9OsmbW,KCS 
[99770] QUOTE,hPnf9OsmbW,WBL 
