[51] ADD,t56BLlGu3K,46692.99 
[93980] QUOTE,t56BLlGu3K,ELQ 
[94137] BUY,t56BLlGu3K,UDM,329.72 
[94351] SELL,t56BLlGu3K,VDP,672.38 
[94461] CANCEL_SET_BUY,t56BLlGu3K,QQI 
[94511] DISPLAY_SUMMARY,t56BLlGu3K 
[94584] SET_BUY_TRIGGER,t56BLlGu3K,WRJ,180.47 
[94653] DISPLAY_SUMMARY,t56BLlGu3K 
[94675] QUOTE,t56BLlGu3K,SFR 
[94755] SET_BUY_TRIGGER,t56BLlGu3K,MMY,152.29 
[94759] ADD,t56BLlGu3K,46482.07 
[94780] BUY,t56BLlGu3K,CNN,155.07 
[94840] COMMIT_BUY,t56BLlGu3K 
[94905] SET_BUY_TRIGGER,t56BLlGu3K,SPL,87.51 
[94987] ADD,t56BLlGu3K,71526.96 
[95022] QUOTE,t56BLlGu3K,LHC 
[95172] BUY,t56BLlGu3K,HMR,454.04 
[95268] QUOTE,t56BLlGu3K,ZNW 
[95567] QUOTE,t56BLlGu3K,SFO 
[95660] SET_BUY_TRIGGER,t56BLlGu3K,KCT,45.83 
[95747] DISPLAY_SUMMARY,t56BLlGu3K 
[95770] ADD,t56BLlGu3K,61033.27 
[95786] COMMIT_SELL,t56BLlGu3K 
[96028] DISPLAY_SUMMARY,t56BLlGu3K 
[96093] DISPLAY_SUMMARY,t56BLlGu3K 
[96140] BUY,t56BLlGu3K,ZNZ,234.23 
[96146] SELL,t56BLlGu3K,TKM,30.38 
[96237] COMMIT_SELL,t56BLlGu3K 
[96263] SELL,t56BLlGu3K,OZO,274.28 
[96326] COMMIT_SELL,t56BLlGu3K 
[96486] ADD,t56BLlGu3K,55455.49 
[96585] BUY,t56BLlGu3K,OAS,248.08 
[96593] ADD,t56BLlGu3K,53958.32 
[96847] QUOTE,t56BLlGu3K,ETJ 
[96863] QUOTE,t56BLlGu3K,TOL 
[96892] CANCEL_SET_BUY,t56BLlGu3K,CMD 
[97175] SET_SELL_AMOUNT,t56BLlGu3K,OEY,598.49 
[97281] SELL,t56BLlGu3K,HFS,602.84 
[97346] SET_BUY_TRIGGER,t56BLlGu3K,ZAM,56.86 
[97399] SELL,t56BLlGu3K,AVX,578.90 
[97450] SET_BUY_TRIGGER,t56BLlGu3K,CLH,169.87 
[97465] ADD,t56BLlGu3K,77411.14 
[97473] QUOTE,t56BLlGu3K,OHG 
[97485] QUOTE,t56BLlGu3K,GUW 
[97541] CANCEL_SET_SELL,t56BLlGu3K,OEY 
[97690] SET_SELL_AMOUNT,t56BLlGu3K,GSW,738.87 
[97729] SET_SELL_TRIGGER,t56BLlGu3K,GSW,687.37 
[97814] CANCEL_SELL,t56BLlGu3K 
[97831] ADD,t56BLlGu3K,70300.35 
[97970] CANCEL_SELL,t56BLlGu3K 
[98083] SET_SELL_TRIGGER,t56BLlGu3K,YAV,176.28 
[98138] SELL,t56BLlGu3K,HTD,639.84 
[98217] BUY,t56BLlGu3K,PUC,587.67 
[98419] COMMIT_SELL,t56BLlGu3K 
[98557] SELL,t56BLlGu3K,KDA,420.47 
[98632] COMMIT_SELL,t56BLlGu3K 
[99171] ADD,t56BLlGu3K,59358.52 
[99291] QUOTE,t56BLlGu3K,NAR 
[99361] QUOTE,t56BLlGu3K,SMS 
[99538] DISPLAY_SUMMARY,t56BLlGu3K 
[99590] BUY,t56BLlGu3K,WTL,332.92 
[99699] COMMIT_BUY,t56BLlGu3K 
[99707] SELL,t56BLlGu3K,IQJ,640.44 
[99798] ADD,t56BLlGu3K,75833.23 
[99802] QUOTE,t56BLlGu3K,FTB 
[99857] ADD,t56BLlGu3K,82832.15 
[99877] QUOTE,t56BLlGu3K,XFW 
[99893] QUOTE,t56BLlGu3K,GAN 
[99920] BUY,t56BLlGu3K,FGI,197.20 
[99937] COMMIT_BUY,t56BLlGu3K 
