[122] ADD,8pCSyzEP5L,80601.28 
[93481] SET_BUY_AMOUNT,8pCSyzEP5L,CEC,540.07 
[93603] SET_BUY_TRIGGER,8pCSyzEP5L,HYX,486.94 
[93692] SET_BUY_AMOUNT,8pCSyzEP5L,UTV,564.24 
[93859] DISPLAY_SUMMARY,8pCSyzEP5L 
[94330] ADD,8pCSyzEP5L,85705.98 
[94480] SELL,8pCSyzEP5L,KDA,544.81 
[94489] BUY,8pCSyzEP5L,QBD,132.59 
[94609] DISPLAY_SUMMARY,8pCSyzEP5L 
[94672] BUY,8pCSyzEP5L,KPE,99.07 
[94836] COMMIT_BUY,8pCSyzEP5L 
[94940] ADD,8pCSyzEP5L,84875.82 
[95021] QUOTE,8pCSyzEP5L,ERF 
[95363] ADD,8pCSyzEP5L,82768.59 
[95399] BUY,8pCSyzEP5L,PBV,521.34 
[95418] COMMIT_BUY,8pCSyzEP5L 
[95491] BUY,8pCSyzEP5L,WUF,244.07 
[95765] CANCEL_BUY,8pCSyzEP5L 
[96136] ADD,8pCSyzEP5L,67175.80 
[96343] CANCEL_SET_SELL,8pCSyzEP5L,TVI 
[96382] DISPLAY_SUMMARY,8pCSyzEP5L 
[96436] SELL,8pCSyzEP5L,PTP,243.55 
[96500] COMMIT_SELL,8pCSyzEP5L 
[96549] SELL,8pCSyzEP5L,IFN,64.97 
[96573] COMMIT_SELL,8pCSyzEP5L 
[96633] DISPLAY_SUMMARY,8pCSyzEP5L 
[96724] ADD,8pCSyzEP5L,75398.42 
[97063] QUOTE,8pCSyzEP5L,QJZ 
[97127] CANCEL_SET_BUY,8pCSyzEP5L,HDR 
[97349] BUY,8pCSyzEP5L,HBF,200.27 
[97442] QUOTE,8pCSyzEP5L,PRJ 
[97454] CANCEL_SET_SELL,8pCSyzEP5L,VNO 
[97566] SET_SELL_AMOUNT,8pCSyzEP5L,ZYR,446.02 
[97705] SET_SELL_TRIGGER,8pCSyzEP5L,ZYR,134.89 
[97787] DISPLAY_SUMMARY,8pCSyzEP5L 
[97854] BUY,8pCSyzEP5L,OZT,652.31 
[97873] COMMIT_BUY,8pCSyzEP5L 
[97902] SELL,8pCSyzEP5L,UBJ,446.25 
[97909] COMMIT_SELL,8pCSyzEP5L 
[98017] DISPLAY_SUMMARY,8pCSyzEP5L 
[98484] ADD,8pCSyzEP5L,31818.85 
[98500] BUY,8pCSyzEP5L,VEE,661.25 
[98584] COMMIT_BUY,8pCSyzEP5L 
[98952] DISPLAY_SUMMARY,8pCSyzEP5L 
[98966] SET_BUY_TRIGGER,8pCSyzEP5L,ZGR,23.40 
[99073] ADD,8pCSyzEP5L,92992.59 
[99162] QUOTE,8pCSyzEP5L,EOY 
[99245] CANCEL_SELL,8pCSyzEP5L 
[99276] SET_BUY_TRIGGER,8pCSyzEP5L,PXX,74.87 
[99282] QUOTE,8pCSyzEP5L,YCH 
[99355] SET_BUY_TRIGGER,8pCSyzEP5L,ZFV,183.85 
[99536] QUOTE,8pCSyzEP5L,KKI 
[99560] QUOTE,8pCSyzEP5L,GJQ 
[99600] BUY,8pCSyzEP5L,NLP,569.22 
[99612] COMMIT_BUY,8pCSyzEP5L 
[99652] DISPLAY_SUMMARY,8pCSyzEP5L 
[99773] ADD,8pCSyzEP5L,81907.15 
[99860] QUOTE,8pCSyzEP5L,EGX 
[99946] CANCEL_SET_BUY,8pCSyzEP5L,RWM 
