[20] ADD,HPxIuj9S6A,62213.48 
[94264] SET_SELL_TRIGGER,HPxIuj9S6A,FUR,156.13 
[94581] ADD,HPxIuj9S6A,61696.24 
[94684] SET_BUY_TRIGGER,HPxIuj9S6A,BTA,46.85 
[94954] ADD,HPxIuj9S6A,74003.44 
[95151] DISPLAY_SUMMARY,HPxIuj9S6A 
[95459] SELL,HPxIuj9S6A,CBO,485.32 
[95717] COMMIT_BUY,HPxIuj9S6A 
[95753] ADD,HPxIuj9S6A,55327.77 
[95784] QUOTE,HPxIuj9S6A,UMV 
[95849] BUY,HPxIuj9S6A,CUQ,514.92 
[96013] COMMIT_BUY,HPxIuj9S6A 
[96034] COMMIT_BUY,HPxIuj9S6A 
[96053] SET_BUY_TRIGGER,HPxIuj9S6A,MMY,25.63 
[96118] CANCEL_BUY,HPxIuj9S6A 
[96126] ADD,HPxIuj9S6A,52671.93 
[96200] QUOTE,HPxIuj9S6A,RXO 
[96225] QUOTE,HPxIuj9S6A,CVP 
[96245] ADD,HPxIuj9S6A,90113.02 
[96416] QUOTE,HPxIuj9S6A,YBB 
[96591] QUOTE,HPxIuj9S6A,KHD 
[96716] QUOTE,HPxIuj9S6A,PMX 
[96903] BUY,HPxIuj9S6A,VMK,551.86 
[96999] SELL,HPxIuj9S6A,KDA,535.05 
[97031] COMMIT_BUY,HPxIuj9S6A 
[97250] DISPLAY_SUMMARY,HPxIuj9S6A 
[97487] SET_SELL_TRIGGER,HPxIuj9S6A,SCW,118.20 
[97697] DISPLAY_SUMMARY,HPxIuj9S6A 
[97826] SELL,HPxIuj9S6A,IFN,95.54 
[97847] COMMIT_SELL,HPxIuj9S6A 
[97949] BUY,HPxIuj9S6A,DGA,141.28 
[98271] CANCEL_BUY,HPxIuj9S6A 
[98383] DISPLAY_SUMMARY,HPxIuj9S6A 
[98478] QUOTE,HPxIuj9S6A,HWO 
[98552] BUY,HPxIuj9S6A,PVH,468.07 
[98662] CANCEL_BUY,HPxIuj9S6A 
[98708] DISPLAY_SUMMARY,HPxIuj9S6A 
[98774] ADD,HPxIuj9S6A,97745.82 
[98934] QUOTE,HPxIuj9S6A,XLK 
[98950] CANCEL_SET_SELL,HPxIuj9S6A,MJU 
[98957] SET_SELL_TRIGGER,HPxIuj9S6A,JGO,100.68 
[99003] DISPLAY_SUMMARY,HPxIuj9S6A 
[99007] BUY,HPxIuj9S6A,QXE,295.95 
[99296] COMMIT_BUY,HPxIuj9S6A 
[99402] ADD,HPxIuj9S6A,62917.09 
[99470] BUY,HPxIuj9S6A,UDN,403.65 
[99581] ADD,HPxIuj9S6A,58328.63 
[99781] SET_BUY_TRIGGER,HPxIuj9S6A,ZAN,180.15 
[99929] BUY,HPxIuj9S6A,SBT,630.24 
[99954] BUY,HPxIuj9S6A,MRK,225.97 
