[162] ADD,gou39c5KlQ,59853.64 
[94102] DISPLAY_SUMMARY,gou39c5KlQ 
[94178] CANCEL_BUY,gou39c5KlQ 
[94214] CANCEL_SET_BUY,gou39c5KlQ,QLM 
[94248] CANCEL_SET_BUY,gou39c5KlQ,XXQ 
[94375] SET_BUY_TRIGGER,gou39c5KlQ,DVA,32.00 
[94525] ADD,gou39c5KlQ,59466.72 
[94561] DISPLAY_SUMMARY,gou39c5KlQ 
[94617] QUOTE,gou39c5KlQ,QAX 
[94794] BUY,gou39c5KlQ,VUS,209.61 
[94927] COMMIT_BUY,gou39c5KlQ 
[94945] SET_BUY_AMOUNT,gou39c5KlQ,UBJ,400.92 
[95014] SET_BUY_TRIGGER,gou39c5KlQ,TTV,129.23 
[95017] BUY,gou39c5KlQ,JIC,37.36 
[95203] COMMIT_BUY,gou39c5KlQ 
[95208] ADD,gou39c5KlQ,77875.39 
[95230] CANCEL_SELL,gou39c5KlQ 
[95297] SET_BUY_AMOUNT,gou39c5KlQ,BYA,736.32 
[95301] SET_BUY_TRIGGER,gou39c5KlQ,WGP,296.97 
[95382] BUY,gou39c5KlQ,HSJ,42.31 
[95484] CANCEL_BUY,gou39c5KlQ 
[95641] DISPLAY_SUMMARY,gou39c5KlQ 
[95709] SELL,gou39c5KlQ,KYX,415.42 
[95729] BUY,gou39c5KlQ,NGG,665.19 
[95904] CANCEL_BUY,gou39c5KlQ 
[95993] CANCEL_SELL,gou39c5KlQ 
[96185] BUY,gou39c5KlQ,RXO,621.71 
[96321] SET_SELL_TRIGGER,gou39c5KlQ,QID,157.47 
[96658] ADD,gou39c5KlQ,67082.54 
[96778] QUOTE,gou39c5KlQ,BRZ 
[96797] BUY,gou39c5KlQ,BBD,27.90 
[96901] CANCEL_SET_BUY,gou39c5KlQ,CZQ 
[96979] ADD,gou39c5KlQ,74711.36 
[97057] COMMIT_BUY,gou39c5KlQ 
[97081] SET_BUY_AMOUNT,gou39c5KlQ,QVK,634.17 
[97087] SET_BUY_TRIGGER,gou39c5KlQ,IHA,533.14 
[97098] ADD,gou39c5KlQ,80446.85 
[97104] BUY,gou39c5KlQ,WJB,454.67 
[97111] COMMIT_BUY,gou39c5KlQ 
[97186] ADD,gou39c5KlQ,83772.83 
[97287] QUOTE,gou39c5KlQ,BLC 
[97416] QUOTE,gou39c5KlQ,TTY 
[97476] ADD,gou39c5KlQ,76001.04 
[97506] QUOTE,gou39c5KlQ,MVD 
[97594] BUY,gou39c5KlQ,OXK,352.53 
[97846] SET_SELL_AMOUNT,gou39c5KlQ,OZO,397.74 
[97885] SET_SELL_TRIGGER,gou39c5KlQ,OZO,59.76 
[98103] DISPLAY_SUMMARY,gou39c5KlQ 
[98183] QUOTE,gou39c5KlQ,YTY 
[98227] BUY,gou39c5KlQ,YBP,503.97 
[98290] SET_SELL_AMOUNT,gou39c5KlQ,IQJ,439.97 
[98414] BUY,gou39c5KlQ,WZM,210.79 
[98627] SET_BUY_TRIGGER,gou39c5KlQ,NJI,179.04 
[98652] QUOTE,gou39c5KlQ,OAV 
[98778] COMMIT_BUY,gou39c5KlQ 
[98848] ADD,gou39c5KlQ,76019.29 
[98964] QUOTE,gou39c5KlQ,OLI 
[98971] CANCEL_SET_SELL,gou39c5KlQ,IQJ 
[98993] DISPLAY_SUMMARY,gou39c5KlQ 
[99022] SELL,gou39c5KlQ,GYF,719.53 
[99110] DISPLAY_SUMMARY,gou39c5KlQ 
[99133] SET_SELL_TRIGGER,gou39c5KlQ,CLQ,132.78 
[99302] ADD,gou39c5KlQ,66981.40 
[99421] QUOTE,gou39c5KlQ,FLD 
[99437] SET_BUY_AMOUNT,gou39c5KlQ,GKD,436.12 
[99510] SET_BUY_TRIGGER,gou39c5KlQ,WNH,354.74 
[99727] ADD,gou39c5KlQ,68894.45 
[99847] BUY,gou39c5KlQ,JDW,734.09 
[99851] COMMIT_BUY,gou39c5KlQ 
[99861] DISPLAY_SUMMARY,gou39c5KlQ 
[99938] QUOTE,gou39c5KlQ,CBV 
[99997] ADD,gou39c5KlQ,93339.97 
