[14] ADD,kESyNMCJeA,44598.11 
[96332] SET_BUY_TRIGGER,kESyNMCJeA,FLD,155.52 
[96439] SET_BUY_TRIGGER,kESyNMCJeA,KQZ,126.25 
[96773] SELL,kESyNMCJeA,RUN,85.97 
[96855] COMMIT_SELL,kESyNMCJeA 
[96923] QUOTE,kESyNMCJeA,LZB 
[97133] SET_BUY_TRIGGER,kESyNMCJeA,CCH,42.30 
[97184] SET_BUY_AMOUNT,kESyNMCJeA,MXD,183.81 
[97254] SET_BUY_TRIGGER,kESyNMCJeA,SEW,10.38 
[97383] QUOTE,kESyNMCJeA,ALG 
[97581] BUY,kESyNMCJeA,ZHB,467.72 
[97685] COMMIT_BUY,kESyNMCJeA 
[97718] DISPLAY_SUMMARY,kESyNMCJeA 
[97761] SELL,kESyNMCJeA,VTY,241.43 
[97798] COMMIT_SELL,kESyNMCJeA 
[97897] ADD,kESyNMCJeA,81239.35 
[97946] QUOTE,kESyNMCJeA,BMQ 
[97976] QUOTE,kESyNMCJeA,BSZ 
[98059] SET_BUY_TRIGGER,kESyNMCJeA,ZHB,77.87 
[98063] ADD,kESyNMCJeA,69206.10 
[98087] SET_BUY_TRIGGER,kESyNMCJeA,MLU,165.65 
[98115] SET_SELL_TRIGGER,kESyNMCJeA,TGY,181.11 
[98329] ADD,kESyNMCJeA,57516.40 
[98409] QUOTE,kESyNMCJeA,DGA 
[98480] ADD,kESyNMCJeA,58427.65 
[98924] BUY,kESyNMCJeA,LSM,169.98 
[98965] CANCEL_SET_SELL,kESyNMCJeA,XBL 
[99051] SELL,kESyNMCJeA,SZI,236.43 
[99214] COMMIT_BUY,kESyNMCJeA 
[99225] SELL,kESyNMCJeA,LZV,611.87 
[99308] COMMIT_SELL,kESyNMCJeA 
[99344] ADD,kESyNMCJeA,91695.78 
[99619] BUY,kESyNMCJeA,EIH,680.37 
[99680] COMMIT_BUY,kESyNMCJeA 
[99717] ADD,kESyNMCJeA,79012.13 
[99752] BUY,kESyNMCJeA,JEO,552.08 
[99776] COMMIT_BUY,kESyNMCJeA 
[99828] ADD,kESyNMCJeA,79155.37 
[99888] QUOTE,kESyNMCJeA,SMS 
