[188] ADD,uWX4TGhR6O,77184.30 
[93478] ADD,uWX4TGhR6O,79411.85 
[94072] BUY,uWX4TGhR6O,DES,149.29 
[94096] SET_BUY_AMOUNT,uWX4TGhR6O,SUS,286.20 
[94111] SET_BUY_TRIGGER,uWX4TGhR6O,FVS,11.47 
[94398] ADD,uWX4TGhR6O,70637.09 
[94798] BUY,uWX4TGhR6O,TWJ,0.82 
[94956] SET_BUY_TRIGGER,uWX4TGhR6O,XER,103.35 
[95000] ADD,uWX4TGhR6O,92353.59 
[95113] BUY,uWX4TGhR6O,SKC,658.45 
[95588] ADD,uWX4TGhR6O,50665.35 
[95594] QUOTE,uWX4TGhR6O,RVU 
[95631] BUY,uWX4TGhR6O,NQU,529.42 
[95694] ADD,uWX4TGhR6O,58865.81 
[95712] BUY,uWX4TGhR6O,RRT,161.12 
[95723] DISPLAY_SUMMARY,uWX4TGhR6O 
[95827] ADD,uWX4TGhR6O,62249.24 
[95894] BUY,uWX4TGhR6O,OPN,238.13 
[95930] COMMIT_BUY,uWX4TGhR6O 
[95990] CANCEL_SET_BUY,uWX4TGhR6O,MFY 
[96023] SET_BUY_TRIGGER,uWX4TGhR6O,HFS,130.93 
[96182] SET_BUY_AMOUNT,uWX4TGhR6O,CBO,177.93 
[96305] SET_BUY_TRIGGER,uWX4TGhR6O,BEC,65.44 
[96316] QUOTE,uWX4TGhR6O,JPP 
[96350] BUY,uWX4TGhR6O,SSW,621.39 
[96358] CANCEL_SET_SELL,uWX4TGhR6O,GNY 
[96442] SET_SELL_TRIGGER,uWX4TGhR6O,ZQC,153.00 
[96495] SET_BUY_TRIGGER,uWX4TGhR6O,PSJ,151.04 
[96533] ADD,uWX4TGhR6O,52803.82 
[96692] QUOTE,uWX4TGhR6O,BPK 
[96881] QUOTE,uWX4TGhR6O,LKK 
[96970] ADD,uWX4TGhR6O,62092.60 
[96990] QUOTE,uWX4TGhR6O,NHG 
[97149] BUY,uWX4TGhR6O,HFI,79.58 
[97171] COMMIT_BUY,uWX4TGhR6O 
[97216] QUOTE,uWX4TGhR6O,WGV 
[97394] BUY,uWX4TGhR6O,MDZ,107.71 
[97433] COMMIT_BUY,uWX4TGhR6O 
[97528] DISPLAY_SUMMARY,uWX4TGhR6O 
[97585] SET_SELL_AMOUNT,uWX4TGhR6O,CBO,324.98 
[97629] CANCEL_SET_SELL,uWX4TGhR6O,CBO 
[97769] SET_SELL_TRIGGER,uWX4TGhR6O,ZZN,34.16 
[97815] CANCEL_BUY,uWX4TGhR6O 
[97916] SET_BUY_TRIGGER,uWX4TGhR6O,AVX,166.71 
[97956] BUY,uWX4TGhR6O,ZCG,410.67 
[97982] SET_SELL_TRIGGER,uWX4TGhR6O,DRO,69.84 
[98016] QUOTE,uWX4TGhR6O,FIW 
[98057] QUOTE,uWX4TGhR6O,STQ 
[98199] BUY,uWX4TGhR6O,MWV,582.23 
[98288] COMMIT_BUY,uWX4TGhR6O 
[98592] QUOTE,uWX4TGhR6O,CJV 
[98619] CANCEL_SET_SELL,uWX4TGhR6O,PGV 
[98732] BUY,uWX4TGhR6O,OYS,712.65 
[98768] CANCEL_BUY,uWX4TGhR6O 
[99070] SELL,uWX4TGhR6O,EBS,269.63 
[99490] COMMIT_SELL,uWX4TGhR6O 
[99592] QUOTE,uWX4TGhR6O,VXY 
[99797] DISPLAY_SUMMARY,uWX4TGhR6O 
[99866] BUY,uWX4TGhR6O,KCT,181.26 
