[71] ADD,XeYo2ezKey,68257.18 
[95743] CANCEL_SET_BUY,XeYo2ezKey,MQP 
[95801] QUOTE,XeYo2ezKey,BHQ 
[95985] SET_BUY_AMOUNT,XeYo2ezKey,GGI,113.61 
[95998] SET_BUY_TRIGGER,XeYo2ezKey,INB,107.21 
[96307] DISPLAY_SUMMARY,XeYo2ezKey 
[96430] SELL,XeYo2ezKey,CZQ,445.35 
[96466] QUOTE,XeYo2ezKey,CBK 
[96469] BUY,XeYo2ezKey,QNK,128.76 
[96524] CANCEL_SET_SELL,XeYo2ezKey,TOZ 
[96816] SELL,XeYo2ezKey,ZYR,712.12 
[97211] QUOTE,XeYo2ezKey,DGA 
[97282] BUY,XeYo2ezKey,GKD,352.38 
[97316] COMMIT_BUY,XeYo2ezKey 
[97415] SELL,XeYo2ezKey,GKD,650.70 
[97438] CANCEL_SELL,XeYo2ezKey 
[97561] DISPLAY_SUMMARY,XeYo2ezKey 
[97588] QUOTE,XeYo2ezKey,VMD 
[97637] BUY,XeYo2ezKey,UZZ,64.36 
[97661] SELL,XeYo2ezKey,GYF,299.22 
[97682] COMMIT_SELL,XeYo2ezKey 
[97765] ADD,XeYo2ezKey,60785.18 
[97914] BUY,XeYo2ezKey,MVI,121.38 
[98023] COMMIT_BUY,XeYo2ezKey 
[98275] ADD,XeYo2ezKey,85894.76 
[98490] QUOTE,XeYo2ezKey,RFC 
[98506] QUOTE,XeYo2ezKey,AHE 
[98554] BUY,XeYo2ezKey,FQG,319.63 
[98599] COMMIT_BUY,XeYo2ezKey 
[98612] ADD,XeYo2ezKey,81757.10 
[98614] BUY,XeYo2ezKey,KDA,530.26 
[98716] CANCEL_SET_BUY,XeYo2ezKey,ZCQ 
[98760] QUOTE,XeYo2ezKey,CBX 
[98792] SET_BUY_AMOUNT,XeYo2ezKey,XQC,614.85 
[98996] SET_BUY_TRIGGER,XeYo2ezKey,LNJ,308.47 
[99266] SELL,XeYo2ezKey,MXD,168.38 
[99466] CANCEL_SELL,XeYo2ezKey 
[99491] ADD,XeYo2ezKey,62238.23 
[99639] BUY,XeYo2ezKey,FUR,480.59 
[99891] DISPLAY_SUMMARY,XeYo2ezKey 
