[39] ADD,JZJCffUI5S,78018.97 
[94548] DISPLAY_SUMMARY,JZJCffUI5S 
[94651] SET_BUY_TRIGGER,JZJCffUI5S,IZU,68.27 
[94739] SET_SELL_AMOUNT,JZJCffUI5S,UBJ,438.04 
[94760] SET_SELL_TRIGGER,JZJCffUI5S,UBJ,365.02 
[95041] QUOTE,JZJCffUI5S,XXQ 
[95118] QUOTE,JZJCffUI5S,NAW 
[95246] ADD,JZJCffUI5S,57579.42 
[95262] BUY,JZJCffUI5S,PGV,429.32 
[95300] COMMIT_BUY,JZJCffUI5S 
[95609] SET_BUY_AMOUNT,JZJCffUI5S,QJZ,62.66 
[95613] CANCEL_SET_BUY,JZJCffUI5S,BUL 
[95710] SET_SELL_AMOUNT,JZJCffUI5S,ZYR,41.32 
[96203] SET_SELL_TRIGGER,JZJCffUI5S,ZYR,12.97 
[96227] SET_SELL_AMOUNT,JZJCffUI5S,ZYR,674.02 
[96248] SET_SELL_TRIGGER,JZJCffUI5S,ZYR,401.94 
[96586] BUY,JZJCffUI5S,DRP,393.09 
[96592] ADD,JZJCffUI5S,83460.81 
[96600] BUY,JZJCffUI5S,UUJ,485.87 
[96717] CANCEL_BUY,JZJCffUI5S 
[96784] ADD,JZJCffUI5S,70005.16 
[96827] BUY,JZJCffUI5S,SSL,88.43 
[96835] COMMIT_BUY,JZJCffUI5S 
[96850] SET_SELL_TRIGGER,JZJCffUI5S,QPR,160.96 
[96912] DISPLAY_SUMMARY,JZJCffUI5S 
[96942] ADD,JZJCffUI5S,72114.51 
[97150] BUY,JZJCffUI5S,XEA,84.36 
[97167] COMMIT_BUY,JZJCffUI5S 
[97358] SET_SELL_TRIGGER,JZJCffUI5S,ZYF,183.73 
[97674] DISPLAY_SUMMARY,JZJCffUI5S 
[97686] SELL,JZJCffUI5S,MWJ,176.98 
[97691] COMMIT_SELL,JZJCffUI5S 
[97724] QUOTE,JZJCffUI5S,EDW 
[97730] ADD,JZJCffUI5S,45157.12 
[97767] BUY,JZJCffUI5S,KAO,504.41 
[97919] COMMIT_BUY,JZJCffUI5S 
[98018] SET_BUY_TRIGGER,JZJCffUI5S,HZP,192.87 
[98149] ADD,JZJCffUI5S,54183.46 
[98219] BUY,JZJCffUI5S,SPP,152.71 
[98451] SET_SELL_TRIGGER,JZJCffUI5S,FLY,66.10 
[98622] DISPLAY_SUMMARY,JZJCffUI5S 
[98842] ADD,JZJCffUI5S,53638.96 
[98907] BUY,JZJCffUI5S,LSK,391.59 
[99048] COMMIT_BUY,JZJCffUI5S 
[99388] SET_BUY_TRIGGER,JZJCffUI5S,LSW,67.24 
[99729] QUOTE,JZJCffUI5S,SBT 
[99841] DISPLAY_SUMMARY,JZJCffUI5S 
[99867] BUY,JZJCffUI5S,WQC,439.83 
