[47] ADD,unNg5XYq8A,55953.24 
[89574] CANCEL_SET_SELL,unNg5XYq8A,MRK 
[89879] BUY,unNg5XYq8A,KJH,147.69 
[89881] CANCEL_SET_BUY,unNg5XYq8A,TWJ 
[89917] DISPLAY_SUMMARY,unNg5XYq8A 
[89943] SET_BUY_TRIGGER,unNg5XYq8A,FVS,196.00 
[90020] DISPLAY_SUMMARY,unNg5XYq8A 
[90128] SET_SELL_TRIGGER,unNg5XYq8A,ZAV,188.37 
[90640] ADD,unNg5XYq8A,79090.77 
[90769] QUOTE,unNg5XYq8A,BEC 
[90856] BUY,unNg5XYq8A,MXN,110.43 
[90868] QUOTE,unNg5XYq8A,NXF 
[91471] QUOTE,unNg5XYq8A,JPD 
[91964] BUY,unNg5XYq8A,JQG,732.88 
[92103] COMMIT_BUY,unNg5XYq8A 
[92275] DISPLAY_SUMMARY,unNg5XYq8A 
[92550] SELL,unNg5XYq8A,SSF,207.76 
[92652] COMMIT_SELL,unNg5XYq8A 
[92799] SET_BUY_TRIGGER,unNg5XYq8A,QJZ,194.61 
[93082] DISPLAY_SUMMARY,unNg5XYq8A 
[93236] SET_BUY_TRIGGER,unNg5XYq8A,VVO,24.14 
[93262] ADD,unNg5XYq8A,46106.63 
[93328] BUY,unNg5XYq8A,AXK,86.26 
[93335] QUOTE,unNg5XYq8A,ZWC 
[93352] BUY,unNg5XYq8A,DOI,141.84 
[93453] CANCEL_SELL,unNg5XYq8A 
[93721] SELL,unNg5XYq8A,PRJ,403.63 
[93797] COMMIT_SELL,unNg5XYq8A 
[93830] QUOTE,unNg5XYq8A,PDX 
[94058] BUY,unNg5XYq8A,SBT,274.31 
[94094] CANCEL_SELL,unNg5XYq8A 
[94129] DISPLAY_SUMMARY,unNg5XYq8A 
[94142] DISPLAY_SUMMARY,unNg5XYq8A 
[94147] SET_SELL_TRIGGER,unNg5XYq8A,XTH,4.04 
[94476] DISPLAY_SUMMARY,unNg5XYq8A 
[94573] SET_BUY_TRIGGER,unNg5XYq8A,SVV,113.06 
[94600] SET_SELL_AMOUNT,unNg5XYq8A,TVI,381.33 
[94743] SET_SELL_TRIGGER,unNg5XYq8A,TVI,231.49 
[95088] DISPLAY_SUMMARY,unNg5XYq8A 
[95103] ADD,unNg5XYq8A,71277.67 
[95357] BUY,unNg5XYq8A,VKB,252.95 
[95435] SELL,unNg5XYq8A,BYA,485.15 
[95500] COMMIT_SELL,unNg5XYq8A 
[95653] SELL,unNg5XYq8A,UIE,241.16 
[95688] SET_BUY_TRIGGER,unNg5XYq8A,KGA,102.78 
[95735] ADD,unNg5XYq8A,81482.19 
[95828] QUOTE,unNg5XYq8A,YZC 
[95955] QUOTE,unNg5XYq8A,FQP 
[96042] QUOTE,unNg5XYq8A,QSS 
[96447] BUY,unNg5XYq8A,JKX,574.58 
[96558] COMMIT_BUY,unNg5XYq8A 
[96567] SET_BUY_AMOUNT,unNg5XYq8A,YJK,538.82 
[96757] CANCEL_SET_BUY,unNg5XYq8A,FQU 
[96985] CANCEL_SET_BUY,unNg5XYq8A,TKV 
[97112] SET_BUY_TRIGGER,unNg5XYq8A,HYX,99.39 
[97309] ADD,unNg5XYq8A,83853.75 
[97350] QUOTE,unNg5XYq8A,DIX 
[97444] BUY,unNg5XYq8A,WTL,633.08 
[97486] COMMIT_BUY,unNg5XYq8A 
[97737] SELL,unNg5XYq8A,MXD,294.62 
[97879] COMMIT_SELL,unNg5XYq8A 
[97935] SET_SELL_AMOUNT,unNg5XYq8A,CUZ,612.38 
[98070] SET_SELL_TRIGGER,unNg5XYq8A,CUZ,590.63 
[98081] SELL,unNg5XYq8A,CUZ,181.44 
[98374] COMMIT_SELL,unNg5XYq8A 
[98482] SET_SELL_TRIGGER,unNg5XYq8A,GTX,188.42 
[98623] SET_SELL_AMOUNT,unNg5XYq8A,LFU,677.37 
[98667] SET_SELL_TRIGGER,unNg5XYq8A,LFU,215.19 
[98740] ADD,unNg5XYq8A,62824.85 
[98909] BUY,unNg5XYq8A,GPC,275.10 
[98946] SET_SELL_AMOUNT,unNg5XYq8A,QGE,349.74 
[98949] CANCEL_SET_SELL,unNg5XYq8A,QGE 
[99011] DISPLAY_SUMMARY,unNg5XYq8A 
[99086] SET_BUY_AMOUNT,unNg5XYq8A,OZO,444.53 
[99112] SET_BUY_TRIGGER,unNg5XYq8A,WUF,199.54 
[99155] SET_SELL_AMOUNT,unNg5XYq8A,OEY,162.37 
[99231] SET_SELL_TRIGGER,unNg5XYq8A,OEY,54.07 
[99239] BUY,unNg5XYq8A,KCA,475.46 
[99457] CANCEL_BUY,unNg5XYq8A 
[99676] SELL,unNg5XYq8A,YJK,377.75 
[99747] COMMIT_BUY,unNg5XYq8A 
[99855] QUOTE,unNg5XYq8A,OGR 
[99902] QUOTE,unNg5XYq8A,KMZ 
