[11] ADD,hBEPbg75Qp,80180.01 
[94324] CANCEL_SELL,hBEPbg75Qp 
[94327] SET_BUY_TRIGGER,hBEPbg75Qp,ZQS,164.95 
[94500] CANCEL_SET_BUY,hBEPbg75Qp,WDC 
[94623] SET_SELL_AMOUNT,hBEPbg75Qp,AJR,221.04 
[94764] SET_SELL_TRIGGER,hBEPbg75Qp,AJR,111.44 
[94865] ADD,hBEPbg75Qp,53469.19 
[94917] BUY,hBEPbg75Qp,QOD,559.93 
[95048] CANCEL_BUY,hBEPbg75Qp 
[95056] SET_BUY_AMOUNT,hBEPbg75Qp,SQI,292.33 
[95078] SET_BUY_TRIGGER,hBEPbg75Qp,YCH,74.51 
[95140] DISPLAY_SUMMARY,hBEPbg75Qp 
[95571] CANCEL_SELL,hBEPbg75Qp 
[95625] QUOTE,hBEPbg75Qp,IWL 
[95666] ADD,hBEPbg75Qp,66022.62 
[95793] BUY,hBEPbg75Qp,CBK,2.22 
[95905] ADD,hBEPbg75Qp,64681.14 
[96173] QUOTE,hBEPbg75Qp,SAR 
[96219] CANCEL_SET_SELL,hBEPbg75Qp,MMF 
[96223] DISPLAY_SUMMARY,hBEPbg75Qp 
[96262] QUOTE,hBEPbg75Qp,LBC 
[96347] BUY,hBEPbg75Qp,NJB,645.12 
[96663] CANCEL_BUY,hBEPbg75Qp 
[96726] ADD,hBEPbg75Qp,83929.24 
[96809] SET_SELL_TRIGGER,hBEPbg75Qp,JSM,25.35 
[96838] COMMIT_BUY,hBEPbg75Qp 
[96867] ADD,hBEPbg75Qp,50141.89 
[96995] QUOTE,hBEPbg75Qp,XFW 
[97020] SET_BUY_TRIGGER,hBEPbg75Qp,MLU,89.02 
[97027] CANCEL_SET_BUY,hBEPbg75Qp,AUT 
[97047] DISPLAY_SUMMARY,hBEPbg75Qp 
[97083] DISPLAY_SUMMARY,hBEPbg75Qp 
[97141] SET_BUY_AMOUNT,hBEPbg75Qp,UIE,505.50 
[97163] SET_BUY_TRIGGER,hBEPbg75Qp,UGT,179.08 
[97217] QUOTE,hBEPbg75Qp,WNU 
[97232] ADD,hBEPbg75Qp,85467.59 
[97315] QUOTE,hBEPbg75Qp,MLI 
[97411] SET_BUY_TRIGGER,hBEPbg75Qp,SYT,151.04 
[97502] SELL,hBEPbg75Qp,KYX,608.31 
[97842] COMMIT_SELL,hBEPbg75Qp 
[97915] QUOTE,hBEPbg75Qp,KRY 
[97945] DISPLAY_SUMMARY,hBEPbg75Qp 
[97948] SET_SELL_TRIGGER,hBEPbg75Qp,BPP,86.35 
[98146] QUOTE,hBEPbg75Qp,NSN 
[98323] QUOTE,hBEPbg75Qp,RUN 
[98326] SET_SELL_TRIGGER,hBEPbg75Qp,ZJB,193.40 
[98611] SET_BUY_AMOUNT,hBEPbg75Qp,NHG,708.17 
[98763] SELL,hBEPbg75Qp,MXD,111.92 
[98817] COMMIT_SELL,hBEPbg75Qp 
[98994] DISPLAY_SUMMARY,hBEPbg75Qp 
[99084] SELL,hBEPbg75Qp,VDP,717.73 
[99177] CANCEL_SET_BUY,hBEPbg75Qp,KLE 
[99249] SELL,hBEPbg75Qp,JVT,122.98 
[99403] CANCEL_SELL,hBEPbg75Qp 
[99439] BUY,hBEPbg75Qp,CLH,305.04 
[99667] CANCEL_SELL,hBEPbg75Qp 
[99710] DISPLAY_SUMMARY,hBEPbg75Qp 
[99757] SELL,hBEPbg75Qp,KDA,340.93 
[99769] SET_SELL_TRIGGER,hBEPbg75Qp,QGE,194.30 
