[90] ADD,kcrL7pVjFP,67187.33 
[94017] SELL,kcrL7pVjFP,KYX,350.30 
[94088] SET_SELL_TRIGGER,kcrL7pVjFP,JCQ,5.69 
[94145] SET_SELL_TRIGGER,kcrL7pVjFP,GWF,173.92 
[94234] DISPLAY_SUMMARY,kcrL7pVjFP 
[94373] DISPLAY_SUMMARY,kcrL7pVjFP 
[94416] BUY,kcrL7pVjFP,QAA,51.77 
[94595] SELL,kcrL7pVjFP,YDS,669.42 
[94904] BUY,kcrL7pVjFP,SAN,501.16 
[94913] COMMIT_BUY,kcrL7pVjFP 
[95044] SET_BUY_AMOUNT,kcrL7pVjFP,XLK,37.50 
[95060] SET_BUY_TRIGGER,kcrL7pVjFP,VYQ,12.90 
[95101] SET_SELL_TRIGGER,kcrL7pVjFP,ZRJ,95.22 
[95240] DISPLAY_SUMMARY,kcrL7pVjFP 
[95420] BUY,kcrL7pVjFP,JIO,389.50 
[95454] CANCEL_SET_BUY,kcrL7pVjFP,FZB 
[95470] SELL,kcrL7pVjFP,CEC,693.21 
[95528] CANCEL_SELL,kcrL7pVjFP 
[95814] ADD,kcrL7pVjFP,33850.02 
[95831] BUY,kcrL7pVjFP,MWV,593.92 
[96055] COMMIT_BUY,kcrL7pVjFP 
[96065] QUOTE,kcrL7pVjFP,DJD 
[96067] QUOTE,kcrL7pVjFP,MMF 
[96072] SELL,kcrL7pVjFP,UBJ,89.02 
[96190] COMMIT_BUY,kcrL7pVjFP 
[96258] QUOTE,kcrL7pVjFP,YOQ 
[96282] QUOTE,kcrL7pVjFP,XOA 
[96315] SET_BUY_AMOUNT,kcrL7pVjFP,SUS,14.21 
[96387] SET_BUY_TRIGGER,kcrL7pVjFP,WDC,6.06 
[96461] DISPLAY_SUMMARY,kcrL7pVjFP 
[96499] ADD,kcrL7pVjFP,65734.93 
[96577] QUOTE,kcrL7pVjFP,YAV 
[96636] CANCEL_SELL,kcrL7pVjFP 
[96651] SET_SELL_TRIGGER,kcrL7pVjFP,MLU,52.83 
[96830] QUOTE,kcrL7pVjFP,LSM 
[96856] BUY,kcrL7pVjFP,OYS,101.99 
[96949] QUOTE,kcrL7pVjFP,OOT 
[97084] BUY,kcrL7pVjFP,GAL,733.84 
[97368] COMMIT_BUY,kcrL7pVjFP 
[97373] SET_SELL_AMOUNT,kcrL7pVjFP,OPN,635.94 
[97437] SET_SELL_TRIGGER,kcrL7pVjFP,OPN,503.27 
[97440] DISPLAY_SUMMARY,kcrL7pVjFP 
[97613] DISPLAY_SUMMARY,kcrL7pVjFP 
[97617] SET_SELL_TRIGGER,kcrL7pVjFP,OKK,47.85 
[97625] BUY,kcrL7pVjFP,JGF,279.90 
[97655] COMMIT_BUY,kcrL7pVjFP 
[97754] SELL,kcrL7pVjFP,FQP,491.26 
[97892] COMMIT_SELL,kcrL7pVjFP 
[97960] SELL,kcrL7pVjFP,KBN,378.32 
[97997] SET_SELL_TRIGGER,kcrL7pVjFP,ECI,91.56 
[98012] SET_BUY_AMOUNT,kcrL7pVjFP,XXQ,497.00 
[98013] QUOTE,kcrL7pVjFP,TVP 
[98291] BUY,kcrL7pVjFP,SSL,155.35 
[98412] QUOTE,kcrL7pVjFP,BHP 
[98526] BUY,kcrL7pVjFP,ZFJ,636.30 
[98660] SET_BUY_TRIGGER,kcrL7pVjFP,ATE,481.28 
[98713] DISPLAY_SUMMARY,kcrL7pVjFP 
[98796] SET_SELL_TRIGGER,kcrL7pVjFP,XOA,133.50 
[98826] ADD,kcrL7pVjFP,58807.38 
[98885] QUOTE,kcrL7pVjFP,ZCG 
[98889] ADD,kcrL7pVjFP,82798.55 
[98938] QUOTE,kcrL7pVjFP,SCK 
[99202] ADD,kcrL7pVjFP,62024.27 
[99426] QUOTE,kcrL7pVjFP,JVE 
[99697] SET_BUY_TRIGGER,kcrL7pVjFP,BYA,82.72 
[99951] DISPLAY_SUMMARY,kcrL7pVjFP 
[99992] DISPLAY_SUMMARY,kcrL7pVjFP 
