[2] ADD,7UUhSRHInh,94529.05 
[91472] BUY,7UUhSRHInh,RXO,741.18 
[91618] COMMIT_BUY,7UUhSRHInh 
[91732] QUOTE,7UUhSRHInh,TGY 
[91805] DISPLAY_SUMMARY,7UUhSRHInh 
[91857] ADD,7UUhSRHInh,70656.06 
[91876] BUY,7UUhSRHInh,IFU,126.78 
[91884] QUOTE,7UUhSRHInh,IZU 
[91910] BUY,7UUhSRHInh,SQO,670.75 
[91984] COMMIT_BUY,7UUhSRHInh 
[92004] QUOTE,7UUhSRHInh,JXW 
[92112] QUOTE,7UUhSRHInh,HBF 
[92145] CANCEL_BUY,7UUhSRHInh 
[92188] QUOTE,7UUhSRHInh,SYM 
[92232] QUOTE,7UUhSRHInh,SCW 
[92472] SET_BUY_TRIGGER,7UUhSRHInh,SCW,117.49 
[92619] CANCEL_SET_SELL,7UUhSRHInh,URY 
[92670] QUOTE,7UUhSRHInh,EIH 
[92733] QUOTE,7UUhSRHInh,RQS 
[92852] QUOTE,7UUhSRHInh,ZRH 
[92928] CANCEL_BUY,7UUhSRHInh 
[92933] ADD,7UUhSRHInh,61969.05 
[93111] BUY,7UUhSRHInh,OEX,464.10 
[93346] COMMIT_BUY,7UUhSRHInh 
[93398] DISPLAY_SUMMARY,7UUhSRHInh 
[93597] ADD,7UUhSRHInh,62917.83 
[93673] SELL,7UUhSRHInh,RGH,100.20 
[93831] QUOTE,7UUhSRHInh,TZJ 
[93950] CANCEL_BUY,7UUhSRHInh 
[93967] DISPLAY_SUMMARY,7UUhSRHInh 
[94024] SELL,7UUhSRHInh,OEY,496.25 
[94091] SET_SELL_TRIGGER,7UUhSRHInh,NDO,111.98 
[94122] CANCEL_SET_SELL,7UUhSRHInh,MZT 
[94127] SET_BUY_AMOUNT,7UUhSRHInh,KES,139.87 
[94311] SET_BUY_TRIGGER,7UUhSRHInh,XME,83.29 
[94354] DISPLAY_SUMMARY,7UUhSRHInh 
[94391] BUY,7UUhSRHInh,CUZ,41.06 
[94433] COMMIT_BUY,7UUhSRHInh 
[94535] SET_SELL_TRIGGER,7UUhSRHInh,JIO,23.49 
[94621] SET_BUY_TRIGGER,7UUhSRHInh,SAJ,48.36 
[94687] ADD,7UUhSRHInh,85697.52 
[94719] QUOTE,7UUhSRHInh,BYM 
[94820] ADD,7UUhSRHInh,86671.19 
[95229] SET_SELL_AMOUNT,7UUhSRHInh,CSZ,395.23 
[95282] SET_SELL_TRIGGER,7UUhSRHInh,CSZ,35.75 
[95293] SET_SELL_TRIGGER,7UUhSRHInh,MVI,169.42 
[95362] DISPLAY_SUMMARY,7UUhSRHInh 
[95536] SET_BUY_TRIGGER,7UUhSRHInh,OEY,9.85 
[95591] SET_SELL_TRIGGER,7UUhSRHInh,FTB,113.64 
[95637] CANCEL_SELL,7UUhSRHInh 
[95669] SET_SELL_AMOUNT,7UUhSRHInh,MFX,399.75 
[95698] SET_SELL_TRIGGER,7UUhSRHInh,MFX,62.09 
[95869] DISPLAY_SUMMARY,7UUhSRHInh 
[95960] QUOTE,7UUhSRHInh,XEA 
[96010] QUOTE,7UUhSRHInh,SAJ 
[96022] QUOTE,7UUhSRHInh,GTX 
[96098] QUOTE,7UUhSRHInh,ZTR 
[96198] CANCEL_SET_BUY,7UUhSRHInh,LPS 
[96482] DISPLAY_SUMMARY,7UUhSRHInh 
[96504] ADD,7UUhSRHInh,72440.27 
[96659] BUY,7UUhSRHInh,EMN,689.84 
[96712] CANCEL_BUY,7UUhSRHInh 
[96774] ADD,7UUhSRHInh,53692.54 
[96853] QUOTE,7UUhSRHInh,MMF 
[96893] CANCEL_SET_SELL,7UUhSRHInh,SSL 
[96894] SET_SELL_AMOUNT,7UUhSRHInh,FQP,493.61 
[96993] QUOTE,7UUhSRHInh,WKT 
[97039] BUY,7UUhSRHInh,PVH,461.72 
[97060] COMMIT_BUY,7UUhSRHInh 
[97120] ADD,7UUhSRHInh,53170.12 
[97367] QUOTE,7UUhSRHInh,RXO 
[97772] ADD,7UUhSRHInh,58161.55 
[97786] QUOTE,7UUhSRHInh,ESN 
[97839] CANCEL_SET_SELL,7UUhSRHInh,FQP 
[98014] DISPLAY_SUMMARY,7UUhSRHInh 
[98015] ADD,7UUhSRHInh,82936.92 
[98117] SELL,7UUhSRHInh,GSW,673.01 
[98161] CANCEL_SET_SELL,7UUhSRHInh,OSA 
[98175] ADD,7UUhSRHInh,63237.12 
[98232] BUY,7UUhSRHInh,AAC,338.05 
[98266] QUOTE,7UUhSRHInh,OYS 
[98333] SELL,7UUhSRHInh,HTD,192.35 
[98384] COMMIT_SELL,7UUhSRHInh 
[98385] ADD,7UUhSRHInh,73912.30 
[98722] BUY,7UUhSRHInh,MVI,730.02 
[98809] COMMIT_BUY,7UUhSRHInh 
[99025] CANCEL_BUY,7UUhSRHInh 
[99126] ADD,7UUhSRHInh,69106.47 
[99156] QUOTE,7UUhSRHInh,YAZ 
[99203] ADD,7UUhSRHInh,78618.51 
[99716] SET_SELL_AMOUNT,7UUhSRHInh,PTP,66.30 
[99803] SET_SELL_TRIGGER,7UUhSRHInh,PTP,54.95 
[99837] SET_SELL_AMOUNT,7UUhSRHInh,MFX,370.67 
[99934] CANCEL_SET_SELL,7UUhSRHInh,MFX 
