[147] ADD,pIkIgs3Y8E,65033.99 
[94117] ADD,pIkIgs3Y8E,95225.60 
[94189] SET_BUY_TRIGGER,pIkIgs3Y8E,XAB,60.91 
[94213] QUOTE,pIkIgs3Y8E,UDQ 
[94247] QUOTE,pIkIgs3Y8E,GPM 
[94572] SET_BUY_TRIGGER,pIkIgs3Y8E,OKK,80.51 
[94614] DISPLAY_SUMMARY,pIkIgs3Y8E 
[94774] SELL,pIkIgs3Y8E,QGE,695.35 
[94903] ADD,pIkIgs3Y8E,72434.27 
[94934] BUY,pIkIgs3Y8E,KJD,318.20 
[95194] SET_BUY_AMOUNT,pIkIgs3Y8E,QGE,627.63 
[95202] SET_BUY_TRIGGER,pIkIgs3Y8E,ZRJ,398.20 
[95345] CANCEL_SET_SELL,pIkIgs3Y8E,KBN 
[95439] DISPLAY_SUMMARY,pIkIgs3Y8E 
[95545] BUY,pIkIgs3Y8E,GMF,299.88 
[95593] DISPLAY_SUMMARY,pIkIgs3Y8E 
[95707] SET_BUY_TRIGGER,pIkIgs3Y8E,DPG,9.91 
[95759] SET_BUY_TRIGGER,pIkIgs3Y8E,OBO,57.19 
[95769] SELL,pIkIgs3Y8E,GSW,131.16 
[95917] BUY,pIkIgs3Y8E,CBO,567.70 
[96089] CANCEL_BUY,pIkIgs3Y8E 
[96161] DISPLAY_SUMMARY,pIkIgs3Y8E 
[96296] SET_SELL_AMOUNT,pIkIgs3Y8E,TKM,329.56 
[96302] SET_SELL_TRIGGER,pIkIgs3Y8E,TKM,42.39 
[96463] ADD,pIkIgs3Y8E,39464.27 
[96526] BUY,pIkIgs3Y8E,BJL,739.77 
[96655] CANCEL_BUY,pIkIgs3Y8E 
[96905] ADD,pIkIgs3Y8E,98712.74 
[96934] BUY,pIkIgs3Y8E,WDC,466.47 
[96956] COMMIT_BUY,pIkIgs3Y8E 
[97055] BUY,pIkIgs3Y8E,FGI,309.64 
[97218] COMMIT_BUY,pIkIgs3Y8E 
[97302] SET_BUY_TRIGGER,pIkIgs3Y8E,WXV,152.33 
[97481] DISPLAY_SUMMARY,pIkIgs3Y8E 
[97514] SET_SELL_TRIGGER,pIkIgs3Y8E,SWJ,136.17 
[97545] SET_SELL_TRIGGER,pIkIgs3Y8E,CWA,60.53 
[97671] ADD,pIkIgs3Y8E,62881.73 
[97770] BUY,pIkIgs3Y8E,DDH,198.53 
[97889] COMMIT_BUY,pIkIgs3Y8E 
[97958] DISPLAY_SUMMARY,pIkIgs3Y8E 
[98075] QUOTE,pIkIgs3Y8E,DWX 
[98267] CANCEL_BUY,pIkIgs3Y8E 
[98307] ADD,pIkIgs3Y8E,87907.28 
[98472] DISPLAY_SUMMARY,pIkIgs3Y8E 
[98508] QUOTE,pIkIgs3Y8E,WYD 
[98515] QUOTE,pIkIgs3Y8E,OWH 
[98647] BUY,pIkIgs3Y8E,BSG,487.34 
[98679] COMMIT_SELL,pIkIgs3Y8E 
[98702] SET_SELL_TRIGGER,pIkIgs3Y8E,FLD,68.31 
[98853] DISPLAY_SUMMARY,pIkIgs3Y8E 
[98951] QUOTE,pIkIgs3Y8E,EEG 
[98969] ADD,pIkIgs3Y8E,60712.98 
[98992] BUY,pIkIgs3Y8E,AOC,293.91 
[99060] COMMIT_BUY,pIkIgs3Y8E 
[99149] ADD,pIkIgs3Y8E,57721.53 
[99255] BUY,pIkIgs3Y8E,XBL,654.63 
[99389] COMMIT_BUY,pIkIgs3Y8E 
[99396] SET_SELL_AMOUNT,pIkIgs3Y8E,RNK,13.41 
[99565] CANCEL_SET_SELL,pIkIgs3Y8E,RNK 
[99634] QUOTE,pIkIgs3Y8E,CMA 
[99760] SET_BUY_TRIGGER,pIkIgs3Y8E,TCP,48.42 
[99827] ADD,pIkIgs3Y8E,69744.95 
