[101] ADD,2xvOQRaMMK,33291.44 
[95211] SET_SELL_TRIGGER,2xvOQRaMMK,HTD,181.77 
[95235] BUY,2xvOQRaMMK,ALM,745.27 
[95278] COMMIT_BUY,2xvOQRaMMK 
[95364] DISPLAY_SUMMARY,2xvOQRaMMK 
[95397] SET_BUY_AMOUNT,2xvOQRaMMK,VTY,158.07 
[95693] SET_BUY_TRIGGER,2xvOQRaMMK,NDJ,67.41 
[95713] ADD,2xvOQRaMMK,69608.92 
[95813] BUY,2xvOQRaMMK,MAX,403.88 
[95892] COMMIT_BUY,2xvOQRaMMK 
[95898] SET_SELL_TRIGGER,2xvOQRaMMK,IFI,138.31 
[95908] CANCEL_SET_BUY,2xvOQRaMMK,NDJ 
[95976] ADD,2xvOQRaMMK,60904.43 
[96027] ADD,2xvOQRaMMK,48984.49 
[96037] SET_BUY_AMOUNT,2xvOQRaMMK,BYA,341.96 
[96152] SET_BUY_TRIGGER,2xvOQRaMMK,SPP,212.98 
[96163] SELL,2xvOQRaMMK,UTV,636.50 
[96240] COMMIT_SELL,2xvOQRaMMK 
[96445] SET_BUY_AMOUNT,2xvOQRaMMK,MFX,542.36 
[96509] SET_BUY_TRIGGER,2xvOQRaMMK,JRY,240.62 
[96587] DISPLAY_SUMMARY,2xvOQRaMMK 
[96763] CANCEL_SET_BUY,2xvOQRaMMK,EOS 
[96764] SET_SELL_AMOUNT,2xvOQRaMMK,AVX,315.08 
[96780] SET_SELL_TRIGGER,2xvOQRaMMK,AVX,72.82 
[96788] ADD,2xvOQRaMMK,50820.56 
[96879] CANCEL_SET_SELL,2xvOQRaMMK,EBS 
[96913] QUOTE,2xvOQRaMMK,XII 
[97148] BUY,2xvOQRaMMK,UMV,437.68 
[97266] COMMIT_BUY,2xvOQRaMMK 
[97590] SET_SELL_TRIGGER,2xvOQRaMMK,VDP,43.06 
[97616] CANCEL_SET_SELL,2xvOQRaMMK,EMN 
[97738] BUY,2xvOQRaMMK,ZOT,11.52 
[97810] SELL,2xvOQRaMMK,TVI,145.24 
[97928] COMMIT_SELL,2xvOQRaMMK 
[97991] SET_BUY_AMOUNT,2xvOQRaMMK,CZQ,21.76 
[98085] DISPLAY_SUMMARY,2xvOQRaMMK 
[98102] BUY,2xvOQRaMMK,GRD,1.79 
[98378] COMMIT_BUY,2xvOQRaMMK 
[98392] SELL,2xvOQRaMMK,ZYR,336.85 
[98399] SET_BUY_TRIGGER,2xvOQRaMMK,MAX,13.14 
[98566] DISPLAY_SUMMARY,2xvOQRaMMK 
[98607] SET_SELL_TRIGGER,2xvOQRaMMK,KCT,192.82 
[98936] ADD,2xvOQRaMMK,42852.68 
[99096] CANCEL_SET_BUY,2xvOQRaMMK,KMV 
[99184] CANCEL_SET_SELL,2xvOQRaMMK,YWK 
[99281] DISPLAY_SUMMARY,2xvOQRaMMK 
[99475] CANCEL_BUY,2xvOQRaMMK 
[99711] SET_SELL_AMOUNT,2xvOQRaMMK,RGH,417.39 
[99906] SET_SELL_TRIGGER,2xvOQRaMMK,RGH,16.01 
[99913] ADD,2xvOQRaMMK,59772.91 
[99967] QUOTE,2xvOQRaMMK,RNE 
