[158] ADD,mR1GL8In4q,76336.49 
[98864] SET_SELL_TRIGGER,mR1GL8In4q,UFX,113.70 
[98879] ADD,mR1GL8In4q,48046.77 
[99036] QUOTE,mR1GL8In4q,IAV 
[99127] ADD,mR1GL8In4q,65225.93 
[99264] BUY,mR1GL8In4q,JUN,722.53 
[99378] DISPLAY_SUMMARY,mR1GL8In4q 
[99468] DISPLAY_SUMMARY,mR1GL8In4q 
[99551] ADD,mR1GL8In4q,86239.76 
[99624] BUY,mR1GL8In4q,YIQ,700.17 
[99673] ADD,mR1GL8In4q,86343.35 
[99694] QUOTE,mR1GL8In4q,BPK 
[99784] BUY,mR1GL8In4q,SIK,130.41 
[99892] COMMIT_BUY,mR1GL8In4q 
[99970] QUOTE,mR1GL8In4q,VSE 
[99987] COMMIT_SELL,mR1GL8In4q 
