[186] ADD,OO6PWyjuYk,66650.27 
[93084] SET_BUY_TRIGGER,OO6PWyjuYk,TOZ,158.52 
[93104] QUOTE,OO6PWyjuYk,XVK 
[93139] BUY,OO6PWyjuYk,XXN,195.65 
[93172] CANCEL_SET_BUY,OO6PWyjuYk,XPX 
[93270] SET_BUY_TRIGGER,OO6PWyjuYk,YBP,167.75 
[93303] SET_SELL_AMOUNT,OO6PWyjuYk,FDI,481.84 
[93339] CANCEL_SET_SELL,OO6PWyjuYk,FDI 
[93436] ADD,OO6PWyjuYk,66516.65 
[93535] QUOTE,OO6PWyjuYk,YBO 
[93632] SET_SELL_AMOUNT,OO6PWyjuYk,KDA,513.02 
[93820] SET_SELL_TRIGGER,OO6PWyjuYk,KDA,278.45 
[94062] ADD,OO6PWyjuYk,66420.64 
[94174] QUOTE,OO6PWyjuYk,RDN 
[94596] BUY,OO6PWyjuYk,SVV,175.02 
[94788] SET_SELL_AMOUNT,OO6PWyjuYk,JVT,25.86 
[94989] SET_SELL_TRIGGER,OO6PWyjuYk,JVT,18.85 
[95068] BUY,OO6PWyjuYk,ZWB,643.14 
[95152] COMMIT_BUY,OO6PWyjuYk 
[95189] ADD,OO6PWyjuYk,58283.16 
[95245] QUOTE,OO6PWyjuYk,BOS 
[95317] ADD,OO6PWyjuYk,74495.34 
[95423] QUOTE,OO6PWyjuYk,UGG 
[95485] QUOTE,OO6PWyjuYk,DKV 
[95682] SET_BUY_AMOUNT,OO6PWyjuYk,UBJ,583.49 
[95856] SET_BUY_TRIGGER,OO6PWyjuYk,CVP,426.71 
[95878] SET_SELL_AMOUNT,OO6PWyjuYk,MFX,56.47 
[96002] SET_SELL_TRIGGER,OO6PWyjuYk,MFX,20.94 
[96029] DISPLAY_SUMMARY,OO6PWyjuYk 
[96346] ADD,OO6PWyjuYk,52963.18 
[96541] QUOTE,OO6PWyjuYk,FVA 
[96731] ADD,OO6PWyjuYk,39993.01 
[96826] QUOTE,OO6PWyjuYk,YJK 
[96963] QUOTE,OO6PWyjuYk,HNO 
[97106] DISPLAY_SUMMARY,OO6PWyjuYk 
[97200] QUOTE,OO6PWyjuYk,NXF 
[97303] SELL,OO6PWyjuYk,BYA,594.23 
[97342] COMMIT_SELL,OO6PWyjuYk 
[97615] SELL,OO6PWyjuYk,AVX,693.90 
[97742] COMMIT_SELL,OO6PWyjuYk 
[97757] SET_BUY_AMOUNT,OO6PWyjuYk,YJK,504.41 
[97774] SET_BUY_TRIGGER,OO6PWyjuYk,KLY,107.29 
[97796] CANCEL_BUY,OO6PWyjuYk 
[97864] ADD,OO6PWyjuYk,92397.05 
[97943] QUOTE,OO6PWyjuYk,WKG 
[97972] SET_BUY_AMOUNT,OO6PWyjuYk,RGH,131.62 
[98005] SET_BUY_TRIGGER,OO6PWyjuYk,BFL,121.61 
[98091] SET_BUY_TRIGGER,OO6PWyjuYk,JNO,7.81 
[98118] SET_BUY_TRIGGER,OO6PWyjuYk,VND,92.72 
[98356] SET_BUY_AMOUNT,OO6PWyjuYk,SQI,313.96 
[98531] SET_BUY_TRIGGER,OO6PWyjuYk,BSZ,89.88 
[98687] BUY,OO6PWyjuYk,BPK,499.90 
[98821] COMMIT_BUY,OO6PWyjuYk 
[99013] DISPLAY_SUMMARY,OO6PWyjuYk 
[99046] BUY,OO6PWyjuYk,PPW,455.28 
[99164] COMMIT_BUY,OO6PWyjuYk 
[99244] ADD,OO6PWyjuYk,77092.86 
[99259] BUY,OO6PWyjuYk,WGP,107.63 
[99315] COMMIT_BUY,OO6PWyjuYk 
[99459] SET_SELL_AMOUNT,OO6PWyjuYk,QVK,559.43 
[99542] QUOTE,OO6PWyjuYk,PFN 
[99734] ADD,OO6PWyjuYk,62906.75 
[99806] BUY,OO6PWyjuYk,MQX,175.97 
