[69] ADD,BOvGL2MRxg,83682.38 
[93376] SET_BUY_AMOUNT,BOvGL2MRxg,SUS,154.74 
[93412] SET_BUY_TRIGGER,BOvGL2MRxg,YQC,26.13 
[93454] SELL,BOvGL2MRxg,OPN,585.61 
[93458] COMMIT_SELL,BOvGL2MRxg 
[93543] BUY,BOvGL2MRxg,PVZ,672.73 
[93651] COMMIT_BUY,BOvGL2MRxg 
[93733] SET_BUY_AMOUNT,BOvGL2MRxg,CSZ,477.05 
[93902] BUY,BOvGL2MRxg,EVR,97.87 
[94012] COMMIT_BUY,BOvGL2MRxg 
[94097] DISPLAY_SUMMARY,BOvGL2MRxg 
[94123] SET_SELL_TRIGGER,BOvGL2MRxg,MHI,82.74 
[94124] DISPLAY_SUMMARY,BOvGL2MRxg 
[94215] SET_SELL_AMOUNT,BOvGL2MRxg,JUN,1.97 
[94295] QUOTE,BOvGL2MRxg,GHL 
[94358] ADD,BOvGL2MRxg,62173.70 
[94481] QUOTE,BOvGL2MRxg,AUX 
[94568] SET_BUY_AMOUNT,BOvGL2MRxg,XLK,229.39 
[94830] SET_BUY_TRIGGER,BOvGL2MRxg,PPW,39.92 
[94938] ADD,BOvGL2MRxg,76347.17 
[95025] BUY,BOvGL2MRxg,VVO,556.50 
[95111] COMMIT_BUY,BOvGL2MRxg 
[95120] ADD,BOvGL2MRxg,68506.26 
[95249] BUY,BOvGL2MRxg,OYS,389.24 
[95429] COMMIT_BUY,BOvGL2MRxg 
[95455] SET_BUY_TRIGGER,BOvGL2MRxg,CBK,197.61 
[95469] ADD,BOvGL2MRxg,70662.70 
[95925] BUY,BOvGL2MRxg,PVZ,740.99 
[95926] COMMIT_BUY,BOvGL2MRxg 
[95950] BUY,BOvGL2MRxg,RUN,280.60 
[96008] CANCEL_BUY,BOvGL2MRxg 
[96062] SET_BUY_AMOUNT,BOvGL2MRxg,IQJ,275.54 
[96074] SET_BUY_TRIGGER,BOvGL2MRxg,VIK,261.02 
[96114] SET_BUY_AMOUNT,BOvGL2MRxg,EBS,616.68 
[96193] SET_BUY_TRIGGER,BOvGL2MRxg,ZWB,432.19 
[96212] DISPLAY_SUMMARY,BOvGL2MRxg 
[96243] BUY,BOvGL2MRxg,DWF,559.27 
[96276] SET_SELL_AMOUNT,BOvGL2MRxg,FDI,330.71 
[96351] SET_SELL_TRIGGER,BOvGL2MRxg,FDI,268.57 
[96376] QUOTE,BOvGL2MRxg,VYQ 
[96406] QUOTE,BOvGL2MRxg,FWW 
[96516] QUOTE,BOvGL2MRxg,NGZ 
[96961] ADD,BOvGL2MRxg,70066.67 
[96984] QUOTE,BOvGL2MRxg,PUC 
[97058] DISPLAY_SUMMARY,BOvGL2MRxg 
[97099] BUY,BOvGL2MRxg,VGW,16.99 
[97298] COMMIT_BUY,BOvGL2MRxg 
[97422] COMMIT_BUY,BOvGL2MRxg 
[97538] SELL,BOvGL2MRxg,VDP,336.82 
[97750] COMMIT_SELL,BOvGL2MRxg 
[97841] SELL,BOvGL2MRxg,AJR,110.18 
[97878] CANCEL_SELL,BOvGL2MRxg 
[97883] SELL,BOvGL2MRxg,OZO,559.69 
[97941] ADD,BOvGL2MRxg,42754.99 
[97942] BUY,BOvGL2MRxg,HEK,72.67 
[98074] CANCEL_BUY,BOvGL2MRxg 
[98097] DISPLAY_SUMMARY,BOvGL2MRxg 
[98122] SET_BUY_TRIGGER,BOvGL2MRxg,GYT,35.51 
[98214] SET_SELL_AMOUNT,BOvGL2MRxg,BYA,405.82 
[98285] SET_SELL_TRIGGER,BOvGL2MRxg,BYA,190.96 
[98377] SET_BUY_AMOUNT,BOvGL2MRxg,KES,149.33 
[98499] SET_BUY_TRIGGER,BOvGL2MRxg,GNY,147.90 
[98613] QUOTE,BOvGL2MRxg,LLF 
[98814] QUOTE,BOvGL2MRxg,DJD 
[98855] SET_BUY_AMOUNT,BOvGL2MRxg,JCQ,132.77 
[98875] SET_BUY_TRIGGER,BOvGL2MRxg,VGW,119.17 
[98880] SET_BUY_AMOUNT,BOvGL2MRxg,GRM,386.33 
[99049] SET_BUY_TRIGGER,BOvGL2MRxg,JXW,360.15 
[99069] DISPLAY_SUMMARY,BOvGL2MRxg 
[99430] QUOTE,BOvGL2MRxg,HIW 
[99477] SET_SELL_TRIGGER,BOvGL2MRxg,JVE,165.37 
[99530] SELL,BOvGL2MRxg,MWJ,181.91 
[99621] COMMIT_SELL,BOvGL2MRxg 
[99664] SET_BUY_AMOUNT,BOvGL2MRxg,JRJ,620.34 
[99678] SET_BUY_TRIGGER,BOvGL2MRxg,TUO,8.23 
[99801] SELL,BOvGL2MRxg,LFU,314.96 
