[265] ADD,v2iT5RAbiA,57923.86 
[91140] SET_BUY_TRIGGER,v2iT5RAbiA,ECL,198.04 
[91145] BUY,v2iT5RAbiA,KJD,260.32 
[91469] COMMIT_BUY,v2iT5RAbiA 
[91490] SELL,v2iT5RAbiA,SZI,746.45 
[91546] QUOTE,v2iT5RAbiA,BVN 
[91554] BUY,v2iT5RAbiA,VEN,290.23 
[91787] COMMIT_BUY,v2iT5RAbiA 
[92165] SELL,v2iT5RAbiA,CBO,20.46 
[92513] CANCEL_BUY,v2iT5RAbiA 
[92637] ADD,v2iT5RAbiA,53612.35 
[92658] QUOTE,v2iT5RAbiA,GCL 
[92694] QUOTE,v2iT5RAbiA,POI 
[92954] ADD,v2iT5RAbiA,77698.29 
[93049] BUY,v2iT5RAbiA,WFR,661.88 
[93078] CANCEL_BUY,v2iT5RAbiA 
[93094] BUY,v2iT5RAbiA,IWL,690.72 
[93110] COMMIT_BUY,v2iT5RAbiA 
[93178] SET_BUY_TRIGGER,v2iT5RAbiA,QQW,106.37 
[93184] SET_BUY_AMOUNT,v2iT5RAbiA,FQP,481.04 
[93371] SET_BUY_TRIGGER,v2iT5RAbiA,KKI,333.13 
[93622] BUY,v2iT5RAbiA,DNJ,681.33 
[93766] SET_SELL_TRIGGER,v2iT5RAbiA,XUY,3.98 
[93861] BUY,v2iT5RAbiA,ETB,105.07 
[94228] SET_SELL_TRIGGER,v2iT5RAbiA,KPE,108.64 
[94342] ADD,v2iT5RAbiA,71838.69 
[94417] QUOTE,v2iT5RAbiA,DVU 
[94448] SET_BUY_AMOUNT,v2iT5RAbiA,MFX,166.09 
[94557] SET_BUY_TRIGGER,v2iT5RAbiA,SNU,45.30 
[94597] ADD,v2iT5RAbiA,50749.06 
[94616] QUOTE,v2iT5RAbiA,PPW 
[94966] ADD,v2iT5RAbiA,68778.39 
[94972] BUY,v2iT5RAbiA,LSG,468.71 
[94983] COMMIT_BUY,v2iT5RAbiA 
[95010] SELL,v2iT5RAbiA,CBO,504.69 
[95087] COMMIT_SELL,v2iT5RAbiA 
[95132] DISPLAY_SUMMARY,v2iT5RAbiA 
[95167] DISPLAY_SUMMARY,v2iT5RAbiA 
[95176] DISPLAY_SUMMARY,v2iT5RAbiA 
[95493] SET_BUY_AMOUNT,v2iT5RAbiA,KDA,595.48 
[95851] SET_BUY_TRIGGER,v2iT5RAbiA,JGG,436.53 
[95863] SELL,v2iT5RAbiA,RNK,139.88 
[96088] SET_BUY_AMOUNT,v2iT5RAbiA,ZTI,287.51 
[96149] SET_BUY_TRIGGER,v2iT5RAbiA,NHB,120.70 
[96171] ADD,v2iT5RAbiA,51255.54 
[96520] SET_BUY_TRIGGER,v2iT5RAbiA,GUB,185.14 
[96897] SELL,v2iT5RAbiA,FDI,684.57 
[96951] COMMIT_SELL,v2iT5RAbiA 
[97108] SET_BUY_TRIGGER,v2iT5RAbiA,IIX,97.64 
[97139] SET_SELL_AMOUNT,v2iT5RAbiA,KBN,485.64 
[97203] SET_SELL_TRIGGER,v2iT5RAbiA,KBN,186.84 
[97366] SET_BUY_TRIGGER,v2iT5RAbiA,OEN,80.06 
[97662] ADD,v2iT5RAbiA,66712.09 
[97681] BUY,v2iT5RAbiA,JMG,619.16 
[97755] COMMIT_BUY,v2iT5RAbiA 
[97791] QUOTE,v2iT5RAbiA,EJW 
[97797] BUY,v2iT5RAbiA,SCK,157.95 
[97975] COMMIT_BUY,v2iT5RAbiA 
[97980] QUOTE,v2iT5RAbiA,UTD 
[98008] BUY,v2iT5RAbiA,QAX,288.30 
[98143] COMMIT_BUY,v2iT5RAbiA 
[98162] ADD,v2iT5RAbiA,67620.02 
[98243] BUY,v2iT5RAbiA,JPP,320.39 
[98277] COMMIT_BUY,v2iT5RAbiA 
[98278] DISPLAY_SUMMARY,v2iT5RAbiA 
[98325] BUY,v2iT5RAbiA,URY,14.78 
[98568] SET_SELL_TRIGGER,v2iT5RAbiA,JIO,116.12 
[98675] SET_BUY_AMOUNT,v2iT5RAbiA,KYX,454.89 
[98698] SET_BUY_TRIGGER,v2iT5RAbiA,WZM,52.64 
[98710] SET_SELL_AMOUNT,v2iT5RAbiA,SZI,240.55 
[98820] SET_SELL_TRIGGER,v2iT5RAbiA,SZI,186.09 
[98933] BUY,v2iT5RAbiA,QUT,537.42 
[99204] COMMIT_BUY,v2iT5RAbiA 
[99235] SET_SELL_TRIGGER,v2iT5RAbiA,XVK,141.01 
[99411] SET_SELL_AMOUNT,v2iT5RAbiA,QGE,348.64 
[99505] SET_SELL_TRIGGER,v2iT5RAbiA,QGE,5.63 
[99594] DISPLAY_SUMMARY,v2iT5RAbiA 
[99675] DISPLAY_SUMMARY,v2iT5RAbiA 
[99739] ADD,v2iT5RAbiA,85942.25 
[99994] BUY,v2iT5RAbiA,OQZ,12.96 
