[9] ADD,xKgBJKhIlx,79140.22 
[92795] DISPLAY_SUMMARY,xKgBJKhIlx 
[92809] SET_SELL_AMOUNT,xKgBJKhIlx,VTY,577.18 
[92860] SET_SELL_TRIGGER,xKgBJKhIlx,VTY,574.21 
[92936] ADD,xKgBJKhIlx,87160.05 
[93231] QUOTE,xKgBJKhIlx,PYM 
[93357] BUY,xKgBJKhIlx,WCR,30.30 
[93363] COMMIT_BUY,xKgBJKhIlx 
[93378] SET_BUY_AMOUNT,xKgBJKhIlx,CUZ,488.77 
[93559] CANCEL_SET_BUY,xKgBJKhIlx,WXV 
[93671] ADD,xKgBJKhIlx,83100.64 
[93707] COMMIT_BUY,xKgBJKhIlx 
[93713] ADD,xKgBJKhIlx,89595.86 
[93745] BUY,xKgBJKhIlx,KEO,602.92 
[93825] COMMIT_BUY,xKgBJKhIlx 
[93911] ADD,xKgBJKhIlx,93337.46 
[93912] BUY,xKgBJKhIlx,HGG,671.40 
[93958] CANCEL_SET_SELL,xKgBJKhIlx,MVD 
[94000] DISPLAY_SUMMARY,xKgBJKhIlx 
[94156] CANCEL_BUY,xKgBJKhIlx 
[94173] QUOTE,xKgBJKhIlx,NXU 
[94256] BUY,xKgBJKhIlx,MVQ,696.88 
[94395] CANCEL_SET_BUY,xKgBJKhIlx,WTL 
[94485] ADD,xKgBJKhIlx,59829.47 
[94512] SET_BUY_AMOUNT,xKgBJKhIlx,UIE,188.74 
[94522] SET_BUY_TRIGGER,xKgBJKhIlx,QZN,12.08 
[94587] SET_SELL_TRIGGER,xKgBJKhIlx,ZSV,32.50 
[94730] SET_BUY_AMOUNT,xKgBJKhIlx,RNK,40.78 
[94733] SET_BUY_TRIGGER,xKgBJKhIlx,SBT,25.81 
[94837] ADD,xKgBJKhIlx,96520.56 
[94895] QUOTE,xKgBJKhIlx,AHO 
[94933] QUOTE,xKgBJKhIlx,RLS 
[95003] BUY,xKgBJKhIlx,DRP,114.80 
[95034] COMMIT_BUY,xKgBJKhIlx 
[95064] SET_SELL_AMOUNT,xKgBJKhIlx,UBJ,103.31 
[95074] SET_SELL_TRIGGER,xKgBJKhIlx,UBJ,48.01 
[95091] DISPLAY_SUMMARY,xKgBJKhIlx 
[95178] ADD,xKgBJKhIlx,95384.52 
[95386] QUOTE,xKgBJKhIlx,XTH 
[95415] SET_BUY_AMOUNT,xKgBJKhIlx,GYF,635.22 
[95488] SET_BUY_TRIGGER,xKgBJKhIlx,PXS,537.31 
[95662] SELL,xKgBJKhIlx,KBN,371.71 
[95829] COMMIT_SELL,xKgBJKhIlx 
[96081] ADD,xKgBJKhIlx,77212.43 
[96143] BUY,xKgBJKhIlx,DGA,223.76 
[96233] CANCEL_BUY,xKgBJKhIlx 
[96273] SET_BUY_AMOUNT,xKgBJKhIlx,XXQ,393.43 
[96578] SET_BUY_TRIGGER,xKgBJKhIlx,ZNW,136.09 
[96612] COMMIT_SELL,xKgBJKhIlx 
[96665] DISPLAY_SUMMARY,xKgBJKhIlx 
[96842] DISPLAY_SUMMARY,xKgBJKhIlx 
[97072] ADD,xKgBJKhIlx,65465.08 
[97114] BUY,xKgBJKhIlx,UUJ,523.43 
[97147] CANCEL_SET_BUY,xKgBJKhIlx,PUN 
[97340] SET_BUY_AMOUNT,xKgBJKhIlx,CUZ,732.15 
[97474] SELL,xKgBJKhIlx,QGE,638.81 
[97494] COMMIT_SELL,xKgBJKhIlx 
[97579] QUOTE,xKgBJKhIlx,RVU 
[97733] BUY,xKgBJKhIlx,SSL,139.95 
[97851] COMMIT_BUY,xKgBJKhIlx 
[98204] QUOTE,xKgBJKhIlx,GDF 
[98358] DISPLAY_SUMMARY,xKgBJKhIlx 
[98569] BUY,xKgBJKhIlx,SSW,511.39 
[98646] DISPLAY_SUMMARY,xKgBJKhIlx 
[98681] ADD,xKgBJKhIlx,81610.35 
[98718] QUOTE,xKgBJKhIlx,QVA 
[98822] QUOTE,xKgBJKhIlx,LPR 
[98873] QUOTE,xKgBJKhIlx,NEV 
[98979] QUOTE,xKgBJKhIlx,RXO 
[99005] SELL,xKgBJKhIlx,VTY,541.29 
[99015] COMMIT_SELL,xKgBJKhIlx 
[99031] ADD,xKgBJKhIlx,58891.79 
[99154] BUY,xKgBJKhIlx,YTO,710.36 
[99218] COMMIT_BUY,xKgBJKhIlx 
[99251] SELL,xKgBJKhIlx,ZAN,558.96 
[99290] COMMIT_SELL,xKgBJKhIlx 
[99320] QUOTE,xKgBJKhIlx,LAW 
[99431] BUY,xKgBJKhIlx,XLI,481.10 
[99444] SET_SELL_AMOUNT,xKgBJKhIlx,MFX,569.74 
[99609] SET_SELL_TRIGGER,xKgBJKhIlx,MFX,12.80 
[99687] BUY,xKgBJKhIlx,EYY,116.36 
[99936] QUOTE,xKgBJKhIlx,XOL 
[99942] SET_BUY_AMOUNT,xKgBJKhIlx,ZAN,431.13 
