[25] ADD,9Z89FNPK7B,50356.08 
[93263] BUY,9Z89FNPK7B,RYU,346.03 
[93264] CANCEL_SET_BUY,9Z89FNPK7B,TFZ 
[93442] ADD,9Z89FNPK7B,58360.72 
[93508] BUY,9Z89FNPK7B,HZA,625.36 
[93516] QUOTE,9Z89FNPK7B,VVV 
[93531] BUY,9Z89FNPK7B,OYW,594.49 
[93538] QUOTE,9Z89FNPK7B,FRB 
[93644] CANCEL_SET_SELL,9Z89FNPK7B,EIK 
[93675] BUY,9Z89FNPK7B,LAW,451.63 
[93784] COMMIT_BUY,9Z89FNPK7B 
[93862] SELL,9Z89FNPK7B,MXD,675.31 
[93866] COMMIT_SELL,9Z89FNPK7B 
[93876] DISPLAY_SUMMARY,9Z89FNPK7B 
[94262] QUOTE,9Z89FNPK7B,PSJ 
[94318] ADD,9Z89FNPK7B,69795.76 
[94357] BUY,9Z89FNPK7B,SMS,304.85 
[94469] QUOTE,9Z89FNPK7B,UDQ 
[94744] QUOTE,9Z89FNPK7B,LJZ 
[94879] SET_SELL_AMOUNT,9Z89FNPK7B,GYF,683.59 
[94922] SET_SELL_TRIGGER,9Z89FNPK7B,GYF,26.78 
[94939] DISPLAY_SUMMARY,9Z89FNPK7B 
[95153] ADD,9Z89FNPK7B,54960.51 
[95290] BUY,9Z89FNPK7B,SCW,440.06 
[95306] COMMIT_BUY,9Z89FNPK7B 
[95374] SET_SELL_TRIGGER,9Z89FNPK7B,YVX,111.80 
[95417] SELL,9Z89FNPK7B,YJK,359.12 
[95445] COMMIT_SELL,9Z89FNPK7B 
[95448] SELL,9Z89FNPK7B,MXD,641.69 
[95556] COMMIT_SELL,9Z89FNPK7B 
[95583] SET_SELL_AMOUNT,9Z89FNPK7B,TVI,745.00 
[95611] QUOTE,9Z89FNPK7B,MXN 
[95763] BUY,9Z89FNPK7B,LPR,245.51 
[95809] SET_SELL_TRIGGER,9Z89FNPK7B,TVI,351.85 
[95881] SET_BUY_AMOUNT,9Z89FNPK7B,NHG,479.66 
[96079] CANCEL_SET_BUY,9Z89FNPK7B,WKT 
[96129] SET_BUY_TRIGGER,9Z89FNPK7B,SJG,99.82 
[96194] SET_BUY_AMOUNT,9Z89FNPK7B,AJR,733.39 
[96236] SET_BUY_TRIGGER,9Z89FNPK7B,MHQ,625.21 
[96242] BUY,9Z89FNPK7B,MGO,277.15 
[96301] COMMIT_BUY,9Z89FNPK7B 
[96322] SET_BUY_AMOUNT,9Z89FNPK7B,RNK,677.85 
[96434] SELL,9Z89FNPK7B,YJK,427.49 
[96501] COMMIT_SELL,9Z89FNPK7B 
[96503] ADD,9Z89FNPK7B,81439.98 
[96522] QUOTE,9Z89FNPK7B,PXS 
[96564] BUY,9Z89FNPK7B,MOS,731.28 
[96751] COMMIT_BUY,9Z89FNPK7B 
[96933] ADD,9Z89FNPK7B,78489.49 
[97162] QUOTE,9Z89FNPK7B,BRT 
[97179] SET_SELL_TRIGGER,9Z89FNPK7B,MQH,181.64 
[97228] SET_BUY_TRIGGER,9Z89FNPK7B,RWM,303.57 
[97269] SET_SELL_TRIGGER,9Z89FNPK7B,BOS,172.82 
[97277] ADD,9Z89FNPK7B,68844.44 
[97364] BUY,9Z89FNPK7B,PMX,452.33 
[97386] COMMIT_BUY,9Z89FNPK7B 
[97387] QUOTE,9Z89FNPK7B,AUT 
[97407] ADD,9Z89FNPK7B,43595.42 
[97477] SET_SELL_AMOUNT,9Z89FNPK7B,CBO,403.37 
[97653] SET_SELL_TRIGGER,9Z89FNPK7B,CBO,208.75 
[97670] DISPLAY_SUMMARY,9Z89FNPK7B 
[97725] ADD,9Z89FNPK7B,77347.80 
[97857] QUOTE,9Z89FNPK7B,LJM 
[98067] BUY,9Z89FNPK7B,QAX,452.06 
[98071] SET_BUY_TRIGGER,9Z89FNPK7B,RLS,41.59 
[98101] SET_BUY_TRIGGER,9Z89FNPK7B,EGX,36.78 
[98212] SET_BUY_AMOUNT,9Z89FNPK7B,RGH,499.88 
[98312] SET_BUY_TRIGGER,9Z89FNPK7B,VOY,437.05 
[98387] ADD,9Z89FNPK7B,83804.67 
[98522] CANCEL_BUY,9Z89FNPK7B 
[98605] ADD,9Z89FNPK7B,63345.45 
[98626] QUOTE,9Z89FNPK7B,IFU 
[98689] BUY,9Z89FNPK7B,EWP,650.09 
[98828] COMMIT_BUY,9Z89FNPK7B 
[98867] DISPLAY_SUMMARY,9Z89FNPK7B 
[98888] SET_BUY_TRIGGER,9Z89FNPK7B,KWP,174.92 
[99000] ADD,9Z89FNPK7B,64397.65 
[99115] SET_BUY_TRIGGER,9Z89FNPK7B,KDA,60.34 
[99151] ADD,9Z89FNPK7B,80783.44 
[99186] BUY,9Z89FNPK7B,SEI,391.58 
[99216] ADD,9Z89FNPK7B,60645.26 
[99434] SET_SELL_AMOUNT,9Z89FNPK7B,QAX,355.36 
[99554] SET_SELL_TRIGGER,9Z89FNPK7B,QAX,265.40 
[99610] SELL,9Z89FNPK7B,MXD,372.17 
[99620] COMMIT_SELL,9Z89FNPK7B 
[99736] SET_SELL_TRIGGER,9Z89FNPK7B,OAS,107.10 
[99764] SELL,9Z89FNPK7B,RGH,1.51 
[99845] CANCEL_SELL,9Z89FNPK7B 
[99900] SET_SELL_TRIGGER,9Z89FNPK7B,NLP,60.63 
