[152] ADD,cehNQrvm7R,82398.33 
[96652] SET_SELL_TRIGGER,cehNQrvm7R,TSF,72.23 
[96810] CANCEL_SET_SELL,cehNQrvm7R,VSE 
[96824] SET_SELL_TRIGGER,cehNQrvm7R,TWJ,151.03 
[96825] BUY,cehNQrvm7R,LPR,577.77 
[96836] CANCEL_BUY,cehNQrvm7R 
[96890] SELL,cehNQrvm7R,ZTI,16.90 
[96930] COMMIT_SELL,cehNQrvm7R 
[97030] BUY,cehNQrvm7R,KQZ,589.28 
[97109] BUY,cehNQrvm7R,SYE,360.00 
[97125] COMMIT_BUY,cehNQrvm7R 
[97164] ADD,cehNQrvm7R,42873.10 
[97563] QUOTE,cehNQrvm7R,ESN 
[97848] QUOTE,cehNQrvm7R,WKG 
[97861] DISPLAY_SUMMARY,cehNQrvm7R 
[97908] SELL,cehNQrvm7R,XLK,274.12 
[97926] COMMIT_SELL,cehNQrvm7R 
[98084] BUY,cehNQrvm7R,NVN,611.96 
[98137] COMMIT_BUY,cehNQrvm7R 
[98159] DISPLAY_SUMMARY,cehNQrvm7R 
[98639] QUOTE,cehNQrvm7R,YWK 
[98701] SET_BUY_TRIGGER,cehNQrvm7R,QXE,102.80 
[98906] SET_BUY_AMOUNT,cehNQrvm7R,QVK,178.24 
[98912] SET_BUY_TRIGGER,cehNQrvm7R,VUS,81.90 
[99256] BUY,cehNQrvm7R,WYR,395.60 
[99295] QUOTE,cehNQrvm7R,QAA 
[99335] BUY,cehNQrvm7R,XOA,664.62 
[99374] COMMIT_BUY,cehNQrvm7R 
[99485] DISPLAY_SUMMARY,cehNQrvm7R 
[99508] SET_BUY_TRIGGER,cehNQrvm7R,FDI,199.53 
[99586] ADD,cehNQrvm7R,74569.92 
[99606] BUY,cehNQrvm7R,UEC,365.94 
[99607] CANCEL_SELL,cehNQrvm7R 
[99808] DISPLAY_SUMMARY,cehNQrvm7R 
[99809] QUOTE,cehNQrvm7R,SXB 
[99878] SET_SELL_AMOUNT,cehNQrvm7R,ZER,566.17 
[99880] SET_SELL_TRIGGER,cehNQrvm7R,ZER,391.90 
[99887] BUY,cehNQrvm7R,CWA,436.73 
