[113] ADD,NcGvD9d4mj,88082.66 
[90043] QUOTE,NcGvD9d4mj,WQE 
[90260] QUOTE,NcGvD9d4mj,PUN 
[90271] BUY,NcGvD9d4mj,SYN,52.27 
[90341] SELL,NcGvD9d4mj,KBN,2.89 
[90526] COMMIT_SELL,NcGvD9d4mj 
[90545] SET_SELL_TRIGGER,NcGvD9d4mj,DVA,87.93 
[90573] BUY,NcGvD9d4mj,FQG,279.79 
[90574] COMMIT_BUY,NcGvD9d4mj 
[90762] CANCEL_SET_SELL,NcGvD9d4mj,CVV 
[90832] SET_SELL_AMOUNT,NcGvD9d4mj,JUN,362.92 
[90846] SET_SELL_TRIGGER,NcGvD9d4mj,JUN,318.16 
[90980] CANCEL_SET_SELL,NcGvD9d4mj,NVX 
[91033] SET_BUY_TRIGGER,NcGvD9d4mj,BOS,111.46 
[91106] SET_BUY_AMOUNT,NcGvD9d4mj,HTD,407.44 
[91626] DISPLAY_SUMMARY,NcGvD9d4mj 
[91664] SET_SELL_TRIGGER,NcGvD9d4mj,MIR,102.65 
[92007] ADD,NcGvD9d4mj,86060.01 
[92027] QUOTE,NcGvD9d4mj,FMJ 
[92117] DISPLAY_SUMMARY,NcGvD9d4mj 
[92151] SET_SELL_AMOUNT,NcGvD9d4mj,QAX,606.57 
[92457] SET_SELL_TRIGGER,NcGvD9d4mj,QAX,482.75 
[92612] QUOTE,NcGvD9d4mj,LUT 
[92721] QUOTE,NcGvD9d4mj,LRS 
[92876] QUOTE,NcGvD9d4mj,OYS 
[93008] QUOTE,NcGvD9d4mj,CWA 
[93330] ADD,NcGvD9d4mj,88596.03 
[93360] SET_BUY_TRIGGER,NcGvD9d4mj,ZJG,189.02 
[93542] CANCEL_SELL,NcGvD9d4mj 
[93555] SELL,NcGvD9d4mj,VTY,277.44 
[93666] COMMIT_SELL,NcGvD9d4mj 
[93773] ADD,NcGvD9d4mj,47032.31 
[94235] CANCEL_SET_SELL,NcGvD9d4mj,AEM 
[94237] SET_BUY_AMOUNT,NcGvD9d4mj,HFS,487.97 
[94397] SET_BUY_TRIGGER,NcGvD9d4mj,UGG,175.02 
[94449] CANCEL_SET_SELL,NcGvD9d4mj,NSN 
[94460] ADD,NcGvD9d4mj,65403.12 
[94680] CANCEL_SET_SELL,NcGvD9d4mj,SPL 
[94689] CANCEL_BUY,NcGvD9d4mj 
[94715] ADD,NcGvD9d4mj,63829.40 
[95253] BUY,NcGvD9d4mj,XAB,571.52 
[95295] COMMIT_BUY,NcGvD9d4mj 
[95334] ADD,NcGvD9d4mj,74877.33 
[95502] QUOTE,NcGvD9d4mj,ZEU 
[95527] SET_SELL_TRIGGER,NcGvD9d4mj,OQW,86.14 
[95835] DISPLAY_SUMMARY,NcGvD9d4mj 
[95877] ADD,NcGvD9d4mj,48809.87 
[95924] BUY,NcGvD9d4mj,IQZ,365.83 
[96078] COMMIT_BUY,NcGvD9d4mj 
[96590] QUOTE,NcGvD9d4mj,XBE 
[96605] SELL,NcGvD9d4mj,HFS,541.34 
[96678] CANCEL_SELL,NcGvD9d4mj 
[96748] BUY,NcGvD9d4mj,LPW,319.47 
[96883] SET_SELL_TRIGGER,NcGvD9d4mj,VOY,161.88 
[96940] COMMIT_SELL,NcGvD9d4mj 
[96986] BUY,NcGvD9d4mj,SWD,330.58 
[97145] COMMIT_BUY,NcGvD9d4mj 
[97219] DISPLAY_SUMMARY,NcGvD9d4mj 
[97224] SET_BUY_TRIGGER,NcGvD9d4mj,DES,19.84 
[97372] DISPLAY_SUMMARY,NcGvD9d4mj 
[97608] DISPLAY_SUMMARY,NcGvD9d4mj 
[97618] COMMIT_SELL,NcGvD9d4mj 
[97780] SELL,NcGvD9d4mj,BCQ,747.04 
[97852] DISPLAY_SUMMARY,NcGvD9d4mj 
[98207] BUY,NcGvD9d4mj,NLT,659.81 
[98296] COMMIT_BUY,NcGvD9d4mj 
[98616] ADD,NcGvD9d4mj,88385.24 
[98655] QUOTE,NcGvD9d4mj,JQO 
[98661] SET_BUY_AMOUNT,NcGvD9d4mj,KBN,720.13 
[98712] SET_BUY_TRIGGER,NcGvD9d4mj,IGT,649.14 
[98752] ADD,NcGvD9d4mj,58851.74 
[98804] BUY,NcGvD9d4mj,NXU,186.49 
[99009] COMMIT_BUY,NcGvD9d4mj 
[99142] ADD,NcGvD9d4mj,71147.77 
[99303] BUY,NcGvD9d4mj,URI,192.88 
[99305] SET_BUY_TRIGGER,NcGvD9d4mj,TWJ,113.18 
[99327] SELL,NcGvD9d4mj,DFE,200.49 
[99366] SET_BUY_TRIGGER,NcGvD9d4mj,LSM,172.29 
[99394] SELL,NcGvD9d4mj,SZI,258.96 
[99523] DISPLAY_SUMMARY,NcGvD9d4mj 
[99718] CANCEL_SELL,NcGvD9d4mj 
[99898] SET_SELL_AMOUNT,NcGvD9d4mj,OPN,672.63 
[99975] SET_SELL_TRIGGER,NcGvD9d4mj,OPN,264.94 
[99986] QUOTE,NcGvD9d4mj,LLZ 
