[70] ADD,HBbyhPrKJi,83795.16 
[89111] SET_BUY_TRIGGER,HBbyhPrKJi,DRP,167.32 
[89281] QUOTE,HBbyhPrKJi,BFB 
[89570] BUY,HBbyhPrKJi,PIC,92.09 
[89619] COMMIT_BUY,HBbyhPrKJi 
[89665] COMMIT_BUY,HBbyhPrKJi 
[89738] COMMIT_SELL,HBbyhPrKJi 
[89769] QUOTE,HBbyhPrKJi,SXB 
[89868] SELL,HBbyhPrKJi,CUZ,206.22 
[89884] COMMIT_SELL,HBbyhPrKJi 
[89987] DISPLAY_SUMMARY,HBbyhPrKJi 
[90076] BUY,HBbyhPrKJi,IZJ,529.03 
[90111] COMMIT_BUY,HBbyhPrKJi 
[90175] BUY,HBbyhPrKJi,IDX,190.45 
[90333] COMMIT_BUY,HBbyhPrKJi 
[90471] SET_BUY_AMOUNT,HBbyhPrKJi,SSF,182.49 
[90564] QUOTE,HBbyhPrKJi,SYL 
[90582] BUY,HBbyhPrKJi,EBS,526.17 
[90803] COMMIT_BUY,HBbyhPrKJi 
[90872] SELL,HBbyhPrKJi,RUN,451.10 
[90874] COMMIT_SELL,HBbyhPrKJi 
[91125] SET_BUY_TRIGGER,HBbyhPrKJi,PFN,42.48 
[91395] ADD,HBbyhPrKJi,93162.14 
[91412] BUY,HBbyhPrKJi,KEV,605.88 
[91500] SET_BUY_AMOUNT,HBbyhPrKJi,JUN,435.22 
[91579] SET_BUY_TRIGGER,HBbyhPrKJi,CCH,212.18 
[91605] SELL,HBbyhPrKJi,AJR,465.15 
[91699] SET_BUY_TRIGGER,HBbyhPrKJi,ZRJ,19.60 
[91877] SET_SELL_AMOUNT,HBbyhPrKJi,XQC,321.13 
[92016] SET_SELL_TRIGGER,HBbyhPrKJi,XQC,265.93 
[92119] SELL,HBbyhPrKJi,ZAN,178.58 
[92159] COMMIT_SELL,HBbyhPrKJi 
[92201] BUY,HBbyhPrKJi,RNE,364.70 
[92241] QUOTE,HBbyhPrKJi,KZZ 
[92249] QUOTE,HBbyhPrKJi,NLP 
[92409] BUY,HBbyhPrKJi,QBD,625.78 
[92461] CANCEL_BUY,HBbyhPrKJi 
[92767] SET_SELL_TRIGGER,HBbyhPrKJi,DDH,2.09 
[93034] ADD,HBbyhPrKJi,59875.75 
[93056] QUOTE,HBbyhPrKJi,EOY 
[93108] ADD,HBbyhPrKJi,51690.28 
[93224] QUOTE,HBbyhPrKJi,MIU 
[93233] DISPLAY_SUMMARY,HBbyhPrKJi 
[93653] ADD,HBbyhPrKJi,106317.81 
[93668] QUOTE,HBbyhPrKJi,ZQW 
[93705] QUOTE,HBbyhPrKJi,PUN 
[93780] CANCEL_SET_SELL,HBbyhPrKJi,WKL 
[93804] ADD,HBbyhPrKJi,76986.83 
[93893] BUY,HBbyhPrKJi,HRJ,385.69 
[94155] QUOTE,HBbyhPrKJi,JZJ 
[94169] SET_BUY_TRIGGER,HBbyhPrKJi,OEM,137.36 
[94207] DISPLAY_SUMMARY,HBbyhPrKJi 
[94281] SET_SELL_AMOUNT,HBbyhPrKJi,QGE,395.96 
[94649] SET_SELL_TRIGGER,HBbyhPrKJi,QGE,304.06 
[94777] BUY,HBbyhPrKJi,JPP,193.13 
[94958] SET_BUY_TRIGGER,HBbyhPrKJi,NJT,115.80 
[94976] BUY,HBbyhPrKJi,JUV,644.83 
[95096] COMMIT_SELL,HBbyhPrKJi 
[95169] DISPLAY_SUMMARY,HBbyhPrKJi 
[95391] DISPLAY_SUMMARY,HBbyhPrKJi 
[95478] SET_BUY_TRIGGER,HBbyhPrKJi,OLH,142.18 
[95530] DISPLAY_SUMMARY,HBbyhPrKJi 
[95547] ADD,HBbyhPrKJi,55782.34 
[95573] QUOTE,HBbyhPrKJi,NAR 
[95658] BUY,HBbyhPrKJi,OYX,690.53 
[95691] SET_SELL_TRIGGER,HBbyhPrKJi,LMO,199.54 
[95745] ADD,HBbyhPrKJi,82691.01 
[95758] BUY,HBbyhPrKJi,LAW,240.21 
[95884] COMMIT_BUY,HBbyhPrKJi 
[95909] SET_SELL_TRIGGER,HBbyhPrKJi,VZB,192.21 
[96026] SET_SELL_TRIGGER,HBbyhPrKJi,OYS,197.71 
[96094] ADD,HBbyhPrKJi,70398.77 
[96102] QUOTE,HBbyhPrKJi,QXE 
[96147] BUY,HBbyhPrKJi,LGL,281.09 
[96290] COMMIT_BUY,HBbyhPrKJi 
[96342] SET_BUY_AMOUNT,HBbyhPrKJi,SSF,647.72 
[96365] SET_BUY_TRIGGER,HBbyhPrKJi,JYV,596.26 
[96368] BUY,HBbyhPrKJi,HZP,262.90 
[96411] QUOTE,HBbyhPrKJi,WGV 
[96425] ADD,HBbyhPrKJi,63365.77 
[96783] BUY,HBbyhPrKJi,TKV,325.49 
[96819] CANCEL_SET_SELL,HBbyhPrKJi,ZZD 
[97049] SET_SELL_TRIGGER,HBbyhPrKJi,QQW,47.98 
[97115] ADD,HBbyhPrKJi,59641.51 
[97118] QUOTE,HBbyhPrKJi,DPG 
[97143] SET_BUY_AMOUNT,HBbyhPrKJi,CSZ,523.53 
[97599] SET_BUY_TRIGGER,HBbyhPrKJi,UGG,238.90 
[97654] QUOTE,HBbyhPrKJi,EDM 
[97656] BUY,HBbyhPrKJi,PTC,318.99 
[97701] COMMIT_BUY,HBbyhPrKJi 
[97813] DISPLAY_SUMMARY,HBbyhPrKJi 
[97827] SET_SELL_AMOUNT,HBbyhPrKJi,MWJ,672.41 
[97963] QUOTE,HBbyhPrKJi,DXQ 
[98156] CANCEL_BUY,HBbyhPrKJi 
[98408] SET_SELL_TRIGGER,HBbyhPrKJi,MWJ,17.41 
[98429] SELL,HBbyhPrKJi,FQP,566.81 
[98455] COMMIT_SELL,HBbyhPrKJi 
[98598] CANCEL_SET_SELL,HBbyhPrKJi,BVN 
[98604] ADD,HBbyhPrKJi,60828.29 
[98772] QUOTE,HBbyhPrKJi,GGI 
[99068] QUOTE,HBbyhPrKJi,WPG 
[99147] BUY,HBbyhPrKJi,LAW,96.53 
[99153] COMMIT_BUY,HBbyhPrKJi 
[99289] SELL,HBbyhPrKJi,CUZ,346.83 
[99336] CANCEL_SET_BUY,HBbyhPrKJi,OTQ 
[99349] SET_BUY_AMOUNT,HBbyhPrKJi,LFU,225.82 
[99519] SET_BUY_TRIGGER,HBbyhPrKJi,TYV,145.98 
[99686] SET_BUY_AMOUNT,HBbyhPrKJi,FQP,101.35 
[99728] BUY,HBbyhPrKJi,TTY,54.31 
[99740] SET_BUY_TRIGGER,HBbyhPrKJi,QTH,44.85 
[99779] SELL,HBbyhPrKJi,GRM,50.17 
