[62] ADD,p876fU7BEx,69684.38 
[98473] SET_SELL_TRIGGER,p876fU7BEx,CSZ,135.97 
[98711] ADD,p876fU7BEx,60063.65 
[98726] CANCEL_SET_BUY,p876fU7BEx,AZN 
[98955] SET_BUY_AMOUNT,p876fU7BEx,UIE,475.61 
[99040] BUY,p876fU7BEx,OOI,49.35 
[99085] COMMIT_BUY,p876fU7BEx 
[99197] QUOTE,p876fU7BEx,RGM 
[99224] ADD,p876fU7BEx,76987.84 
[99307] QUOTE,p876fU7BEx,LUD 
[99395] BUY,p876fU7BEx,JTX,284.96 
[99552] COMMIT_BUY,p876fU7BEx 
[99674] SET_SELL_TRIGGER,p876fU7BEx,TZJ,59.45 
[99730] ADD,p876fU7BEx,67043.72 
[99869] BUY,p876fU7BEx,BVN,527.70 
[99958] COMMIT_BUY,p876fU7BEx 
