[32] ADD,VEusTtq5S7,52553.43 
[93712] ADD,VEusTtq5S7,43763.85 
[94018] QUOTE,VEusTtq5S7,JQO 
[94115] ADD,VEusTtq5S7,56524.04 
[94333] QUOTE,VEusTtq5S7,WNX 
[94401] QUOTE,VEusTtq5S7,KPE 
[94558] BUY,VEusTtq5S7,AIN,395.50 
[94756] COMMIT_SELL,VEusTtq5S7 
[94893] SET_SELL_AMOUNT,VEusTtq5S7,XXQ,403.47 
[94951] SET_SELL_TRIGGER,VEusTtq5S7,XXQ,29.17 
[95135] DISPLAY_SUMMARY,VEusTtq5S7 
[95269] ADD,VEusTtq5S7,72535.10 
[95346] BUY,VEusTtq5S7,ZNL,195.28 
[95366] COMMIT_BUY,VEusTtq5S7 
[95422] BUY,VEusTtq5S7,AJR,495.22 
[95539] SET_SELL_TRIGGER,VEusTtq5S7,HGG,176.22 
[95689] ADD,VEusTtq5S7,76325.55 
[95696] COMMIT_BUY,VEusTtq5S7 
[95726] ADD,VEusTtq5S7,38274.39 
[95818] BUY,VEusTtq5S7,OFP,76.73 
[95838] COMMIT_BUY,VEusTtq5S7 
[96188] QUOTE,VEusTtq5S7,LFU 
[96259] QUOTE,VEusTtq5S7,ASJ 
[96272] QUOTE,VEusTtq5S7,URD 
[96353] BUY,VEusTtq5S7,SQI,155.64 
[96421] CANCEL_BUY,VEusTtq5S7 
[96435] ADD,VEusTtq5S7,66722.46 
[96639] QUOTE,VEusTtq5S7,LEA 
[96650] ADD,VEusTtq5S7,61532.54 
[96787] BUY,VEusTtq5S7,KAS,96.79 
[96861] COMMIT_BUY,VEusTtq5S7 
[97029] ADD,VEusTtq5S7,68548.49 
[97094] QUOTE,VEusTtq5S7,KWP 
[97152] SELL,VEusTtq5S7,QPR,657.81 
[97244] ADD,VEusTtq5S7,61695.46 
[97295] BUY,VEusTtq5S7,YKB,685.22 
[97362] QUOTE,VEusTtq5S7,YOG 
[97467] QUOTE,VEusTtq5S7,KJM 
[97479] QUOTE,VEusTtq5S7,MIR 
[97523] BUY,VEusTtq5S7,OYS,709.58 
[97539] COMMIT_BUY,VEusTtq5S7 
[97627] ADD,VEusTtq5S7,44522.16 
[97650] BUY,VEusTtq5S7,YMG,62.38 
[97747] COMMIT_BUY,VEusTtq5S7 
[97764] BUY,VEusTtq5S7,DDH,390.77 
[97855] CANCEL_SET_SELL,VEusTtq5S7,BFL 
[97996] SET_BUY_AMOUNT,VEusTtq5S7,IQJ,66.74 
[98158] CANCEL_SET_BUY,VEusTtq5S7,EGB 
[98178] SET_SELL_AMOUNT,VEusTtq5S7,UBJ,680.36 
[98208] SET_SELL_TRIGGER,VEusTtq5S7,UBJ,599.69 
[98216] SET_BUY_AMOUNT,VEusTtq5S7,KBN,33.38 
[98669] SET_BUY_TRIGGER,VEusTtq5S7,QVA,24.66 
[98782] SET_BUY_AMOUNT,VEusTtq5S7,BYA,426.22 
[98791] CANCEL_SET_BUY,VEusTtq5S7,BBC 
[98793] SET_BUY_TRIGGER,VEusTtq5S7,SBT,141.65 
[98818] SET_BUY_TRIGGER,VEusTtq5S7,JRY,193.18 
[99035] SET_SELL_AMOUNT,VEusTtq5S7,VTY,221.46 
[99099] BUY,VEusTtq5S7,LGL,242.81 
[99132] SET_SELL_AMOUNT,VEusTtq5S7,FDI,716.79 
[99404] SET_SELL_TRIGGER,VEusTtq5S7,FDI,505.79 
[99407] SELL,VEusTtq5S7,SUS,747.21 
[99568] COMMIT_SELL,VEusTtq5S7 
[99924] SET_SELL_TRIGGER,VEusTtq5S7,GXT,156.56 
[99989] SET_BUY_AMOUNT,VEusTtq5S7,CSZ,594.31 
