[50] ADD,qE6dGnwk51,50924.98 
[96024] QUOTE,qE6dGnwk51,FXT 
[96047] DISPLAY_SUMMARY,qE6dGnwk51 
[96101] ADD,qE6dGnwk51,85725.95 
[96255] BUY,qE6dGnwk51,XME,690.51 
[96561] COMMIT_BUY,qE6dGnwk51 
[96606] SET_BUY_AMOUNT,qE6dGnwk51,UTV,83.57 
[96619] SET_BUY_TRIGGER,qE6dGnwk51,SAJ,7.62 
[96722] SET_BUY_AMOUNT,qE6dGnwk51,XLK,459.31 
[96972] SET_BUY_TRIGGER,qE6dGnwk51,GLO,54.09 
[96992] ADD,qE6dGnwk51,66590.07 
[97243] BUY,qE6dGnwk51,SYE,291.73 
[97262] SELL,qE6dGnwk51,SQI,336.58 
[97271] COMMIT_SELL,qE6dGnwk51 
[97300] SET_SELL_TRIGGER,qE6dGnwk51,UGG,126.58 
[97326] ADD,qE6dGnwk51,36727.10 
[97344] SET_BUY_AMOUNT,qE6dGnwk51,VTY,358.48 
[97376] SET_BUY_TRIGGER,qE6dGnwk51,VEN,180.78 
[97424] ADD,qE6dGnwk51,64982.46 
[97435] DISPLAY_SUMMARY,qE6dGnwk51 
[97540] ADD,qE6dGnwk51,80826.77 
[97598] QUOTE,qE6dGnwk51,FTP 
[97869] QUOTE,qE6dGnwk51,QPZ 
[98066] QUOTE,qE6dGnwk51,FDI 
[98100] BUY,qE6dGnwk51,FVD,588.27 
[98315] COMMIT_BUY,qE6dGnwk51 
[98320] SELL,qE6dGnwk51,XLK,21.38 
[98386] CANCEL_BUY,qE6dGnwk51 
[98394] BUY,qE6dGnwk51,EDW,669.20 
[98448] COMMIT_BUY,qE6dGnwk51 
[98452] SET_SELL_AMOUNT,qE6dGnwk51,LZV,125.73 
[98491] SET_SELL_TRIGGER,qE6dGnwk51,LZV,89.58 
[98736] DISPLAY_SUMMARY,qE6dGnwk51 
[98764] QUOTE,qE6dGnwk51,BFU 
[98803] BUY,qE6dGnwk51,GDO,704.27 
[99050] COMMIT_BUY,qE6dGnwk51 
[99061] ADD,qE6dGnwk51,76392.61 
[99104] BUY,qE6dGnwk51,KCS,691.42 
[99145] CANCEL_BUY,qE6dGnwk51 
[99288] QUOTE,qE6dGnwk51,OGR 
[99350] SELL,qE6dGnwk51,UTV,76.07 
[99458] COMMIT_SELL,qE6dGnwk51 
[99489] ADD,qE6dGnwk51,81223.14 
[99645] QUOTE,qE6dGnwk51,BFU 
[99792] QUOTE,qE6dGnwk51,XZN 
