[160] ADD,xka9Jdr7ac,85039.82 
[93756] CANCEL_SET_SELL,xka9Jdr7ac,KMZ 
[93785] BUY,xka9Jdr7ac,BHQ,680.09 
[93883] CANCEL_SELL,xka9Jdr7ac 
[93984] ADD,xka9Jdr7ac,76123.96 
[94077] QUOTE,xka9Jdr7ac,EED 
[94082] SET_BUY_AMOUNT,xka9Jdr7ac,XXQ,708.38 
[94190] SELL,xka9Jdr7ac,CSZ,218.13 
[94240] SET_BUY_TRIGGER,xka9Jdr7ac,SXB,650.74 
[94363] DISPLAY_SUMMARY,xka9Jdr7ac 
[94563] ADD,xka9Jdr7ac,84504.99 
[94598] QUOTE,xka9Jdr7ac,PXX 
[94602] BUY,xka9Jdr7ac,EVR,277.17 
[94660] CANCEL_BUY,xka9Jdr7ac 
[94678] BUY,xka9Jdr7ac,PFN,159.63 
[94749] QUOTE,xka9Jdr7ac,VBO 
[94776] BUY,xka9Jdr7ac,WNU,298.92 
[94793] BUY,xka9Jdr7ac,HSJ,159.29 
[95026] DISPLAY_SUMMARY,xka9Jdr7ac 
[95217] QUOTE,xka9Jdr7ac,SPT 
[95356] QUOTE,xka9Jdr7ac,LVV 
[95414] SELL,xka9Jdr7ac,JVT,24.54 
[95424] COMMIT_SELL,xka9Jdr7ac 
[95518] SET_BUY_TRIGGER,xka9Jdr7ac,RUN,26.31 
[95577] QUOTE,xka9Jdr7ac,FQP 
[95620] CANCEL_SET_BUY,xka9Jdr7ac,NSW 
[95949] SELL,xka9Jdr7ac,RNK,740.80 
[96107] QUOTE,xka9Jdr7ac,NLT 
[96108] SET_BUY_AMOUNT,xka9Jdr7ac,CBO,68.43 
[96281] SET_BUY_TRIGGER,xka9Jdr7ac,QAX,65.43 
[96349] SET_SELL_AMOUNT,xka9Jdr7ac,JQO,122.99 
[96359] SET_SELL_TRIGGER,xka9Jdr7ac,JQO,56.46 
[96588] BUY,xka9Jdr7ac,QHF,199.56 
[96733] COMMIT_BUY,xka9Jdr7ac 
[97490] ADD,xka9Jdr7ac,71162.92 
[97517] COMMIT_BUY,xka9Jdr7ac 
[97610] QUOTE,xka9Jdr7ac,SAN 
[97825] QUOTE,xka9Jdr7ac,XCL 
[97840] BUY,xka9Jdr7ac,FZB,10.09 
[97881] COMMIT_BUY,xka9Jdr7ac 
[97951] QUOTE,xka9Jdr7ac,DWU 
[97977] BUY,xka9Jdr7ac,EED,549.63 
[98049] BUY,xka9Jdr7ac,GIK,708.05 
[98110] COMMIT_BUY,xka9Jdr7ac 
[98247] DISPLAY_SUMMARY,xka9Jdr7ac 
[98502] SET_BUY_AMOUNT,xka9Jdr7ac,OZO,147.02 
[98642] CANCEL_SET_BUY,xka9Jdr7ac,OAV 
[98658] SELL,xka9Jdr7ac,GSW,656.51 
[98816] COMMIT_SELL,xka9Jdr7ac 
[98900] COMMIT_SELL,xka9Jdr7ac 
[98960] SET_BUY_TRIGGER,xka9Jdr7ac,VTY,185.52 
[99052] SET_SELL_AMOUNT,xka9Jdr7ac,RUN,266.33 
[99108] CANCEL_SET_SELL,xka9Jdr7ac,RUN 
[99248] ADD,xka9Jdr7ac,94728.05 
[99293] BUY,xka9Jdr7ac,NQU,542.73 
[99399] COMMIT_BUY,xka9Jdr7ac 
[99418] SET_SELL_AMOUNT,xka9Jdr7ac,DFE,356.27 
[99436] SET_SELL_TRIGGER,xka9Jdr7ac,DFE,134.01 
[99681] SELL,xka9Jdr7ac,QPR,717.47 
[99738] COMMIT_SELL,xka9Jdr7ac 
[99840] SELL,xka9Jdr7ac,SQI,35.30 
[99927] BUY,xka9Jdr7ac,GDO,379.64 
[99993] QUOTE,xka9Jdr7ac,XME 
[99999] ADD,xka9Jdr7ac,78668.84 
