[30] ADD,QXEQWDUSMg,76386.84 
[88426] QUOTE,QXEQWDUSMg,KCS 
[88524] BUY,QXEQWDUSMg,SAN,357.24 
[88557] COMMIT_BUY,QXEQWDUSMg 
[88746] BUY,QXEQWDUSMg,XRK,721.11 
[88771] COMMIT_BUY,QXEQWDUSMg 
[88795] SET_BUY_AMOUNT,QXEQWDUSMg,RGH,37.88 
[88820] SET_BUY_TRIGGER,QXEQWDUSMg,OYX,3.13 
[88948] DISPLAY_SUMMARY,QXEQWDUSMg 
[89026] ADD,QXEQWDUSMg,87565.13 
[89140] QUOTE,QXEQWDUSMg,OLH 
[89432] SET_BUY_AMOUNT,QXEQWDUSMg,XLK,279.11 
[89865] SET_BUY_TRIGGER,QXEQWDUSMg,FVS,184.24 
[89895] SET_SELL_AMOUNT,QXEQWDUSMg,ZTI,369.27 
[90001] SET_SELL_TRIGGER,QXEQWDUSMg,ZTI,159.20 
[90118] SET_SELL_AMOUNT,QXEQWDUSMg,SZI,584.75 
[90120] SET_SELL_TRIGGER,QXEQWDUSMg,SZI,252.36 
[90168] SET_SELL_AMOUNT,QXEQWDUSMg,QJZ,379.78 
[90187] SET_SELL_TRIGGER,QXEQWDUSMg,QJZ,325.72 
[90320] ADD,QXEQWDUSMg,90589.59 
[90339] QUOTE,QXEQWDUSMg,OOT 
[90447] BUY,QXEQWDUSMg,XQG,118.63 
[90589] COMMIT_BUY,QXEQWDUSMg 
[90654] ADD,QXEQWDUSMg,75350.22 
[90667] BUY,QXEQWDUSMg,KPP,4.41 
[90710] SET_BUY_TRIGGER,QXEQWDUSMg,OHG,174.58 
[90765] QUOTE,QXEQWDUSMg,KDG 
[90772] SET_BUY_AMOUNT,QXEQWDUSMg,JRJ,507.67 
[90821] QUOTE,QXEQWDUSMg,CXN 
[90926] BUY,QXEQWDUSMg,QPX,480.09 
[90984] DISPLAY_SUMMARY,QXEQWDUSMg 
[91104] DISPLAY_SUMMARY,QXEQWDUSMg 
[91171] SET_SELL_TRIGGER,QXEQWDUSMg,BLC,105.76 
[91585] ADD,QXEQWDUSMg,66251.50 
[91658] BUY,QXEQWDUSMg,YUL,286.06 
[91724] CANCEL_BUY,QXEQWDUSMg 
[91736] QUOTE,QXEQWDUSMg,MOM 
[91777] CANCEL_SET_BUY,QXEQWDUSMg,ZMK 
[91798] ADD,QXEQWDUSMg,69131.27 
[91868] QUOTE,QXEQWDUSMg,KAS 
[91924] QUOTE,QXEQWDUSMg,JPD 
[92150] BUY,QXEQWDUSMg,JDW,457.50 
[92180] COMMIT_BUY,QXEQWDUSMg 
[92340] SET_SELL_TRIGGER,QXEQWDUSMg,DXQ,111.08 
[92377] DISPLAY_SUMMARY,QXEQWDUSMg 
[92709] BUY,QXEQWDUSMg,SQS,320.56 
[92844] ADD,QXEQWDUSMg,88394.49 
[92989] QUOTE,QXEQWDUSMg,UMN 
[93159] QUOTE,QXEQWDUSMg,ETJ 
[93160] BUY,QXEQWDUSMg,NAR,588.60 
[93399] COMMIT_BUY,QXEQWDUSMg 
[93444] DISPLAY_SUMMARY,QXEQWDUSMg 
[93455] QUOTE,QXEQWDUSMg,SSW 
[93564] BUY,QXEQWDUSMg,LLO,118.54 
[93646] COMMIT_BUY,QXEQWDUSMg 
[93744] SET_SELL_AMOUNT,QXEQWDUSMg,OEY,175.02 
[93747] SET_SELL_TRIGGER,QXEQWDUSMg,OEY,112.42 
[93793] SELL,QXEQWDUSMg,RNK,384.61 
[93809] COMMIT_SELL,QXEQWDUSMg 
[93812] QUOTE,QXEQWDUSMg,PVZ 
[94216] DISPLAY_SUMMARY,QXEQWDUSMg 
[94257] CANCEL_SET_SELL,QXEQWDUSMg,GDO 
[94292] DISPLAY_SUMMARY,QXEQWDUSMg 
[94440] DISPLAY_SUMMARY,QXEQWDUSMg 
[94450] DISPLAY_SUMMARY,QXEQWDUSMg 
[94474] SELL,QXEQWDUSMg,NHG,421.12 
[94495] COMMIT_SELL,QXEQWDUSMg 
[94520] SELL,QXEQWDUSMg,SZI,473.07 
[94523] ADD,QXEQWDUSMg,54629.52 
[94674] BUY,QXEQWDUSMg,RQL,721.05 
[94679] COMMIT_BUY,QXEQWDUSMg 
[94778] SET_BUY_AMOUNT,QXEQWDUSMg,IQJ,580.50 
[94804] SET_BUY_TRIGGER,QXEQWDUSMg,XFW,124.94 
[94850] DISPLAY_SUMMARY,QXEQWDUSMg 
[94902] ADD,QXEQWDUSMg,105039.50 
[94914] QUOTE,QXEQWDUSMg,OHS 
[95083] QUOTE,QXEQWDUSMg,XNZ 
[95104] QUOTE,QXEQWDUSMg,QOQ 
[95207] QUOTE,QXEQWDUSMg,VIG 
[95461] BUY,QXEQWDUSMg,KAF,97.20 
[95462] COMMIT_BUY,QXEQWDUSMg 
[95635] SET_BUY_TRIGGER,QXEQWDUSMg,SNU,98.64 
[95854] QUOTE,QXEQWDUSMg,QZN 
[95942] ADD,QXEQWDUSMg,78412.41 
[96096] QUOTE,QXEQWDUSMg,TXB 
[96196] CANCEL_BUY,QXEQWDUSMg 
[96252] DISPLAY_SUMMARY,QXEQWDUSMg 
[96327] DISPLAY_SUMMARY,QXEQWDUSMg 
[96330] SET_BUY_TRIGGER,QXEQWDUSMg,YOQ,158.54 
[96331] SELL,QXEQWDUSMg,CSZ,396.49 
[96341] COMMIT_SELL,QXEQWDUSMg 
[96393] BUY,QXEQWDUSMg,PFN,538.32 
[96723] COMMIT_BUY,QXEQWDUSMg 
[96880] BUY,QXEQWDUSMg,FTP,231.31 
[96916] CANCEL_BUY,QXEQWDUSMg 
[97005] SET_BUY_TRIGGER,QXEQWDUSMg,YIU,33.11 
[97054] SET_SELL_TRIGGER,QXEQWDUSMg,XNZ,170.80 
[97174] SET_SELL_TRIGGER,QXEQWDUSMg,NXU,173.47 
[97191] QUOTE,QXEQWDUSMg,ZFJ 
[97602] COMMIT_SELL,QXEQWDUSMg 
[97607] SET_SELL_TRIGGER,QXEQWDUSMg,CVP,142.26 
[97740] SET_BUY_AMOUNT,QXEQWDUSMg,CSZ,706.27 
[97745] SET_BUY_TRIGGER,QXEQWDUSMg,WHR,177.82 
[98238] SET_BUY_TRIGGER,QXEQWDUSMg,JII,67.74 
[98279] DISPLAY_SUMMARY,QXEQWDUSMg 
[98355] DISPLAY_SUMMARY,QXEQWDUSMg 
[98462] SET_SELL_TRIGGER,QXEQWDUSMg,PLB,33.23 
[98576] SET_SELL_TRIGGER,QXEQWDUSMg,ZJQ,111.27 
[98579] QUOTE,QXEQWDUSMg,KIP 
[98704] ADD,QXEQWDUSMg,61088.78 
[98709] QUOTE,QXEQWDUSMg,IHA 
[98835] BUY,QXEQWDUSMg,SOA,71.74 
[99198] BUY,QXEQWDUSMg,LLE,424.44 
[99275] QUOTE,QXEQWDUSMg,JNO 
[99326] BUY,QXEQWDUSMg,JHY,431.07 
[99537] COMMIT_BUY,QXEQWDUSMg 
[99655] BUY,QXEQWDUSMg,VBO,19.12 
[99713] COMMIT_BUY,QXEQWDUSMg 
[99765] DISPLAY_SUMMARY,QXEQWDUSMg 
[99785] ADD,QXEQWDUSMg,73648.00 
[99962] SET_BUY_AMOUNT,QXEQWDUSMg,OZO,519.18 
