[79] ADD,Z5Z6RJO7ho,85370.45 
[88331] SET_SELL_TRIGGER,Z5Z6RJO7ho,SUS,103.40 
[88604] ADD,Z5Z6RJO7ho,56967.17 
[88712] BUY,Z5Z6RJO7ho,GIK,323.33 
[88792] COMMIT_BUY,Z5Z6RJO7ho 
[88915] BUY,Z5Z6RJO7ho,CBK,554.16 
[89032] COMMIT_BUY,Z5Z6RJO7ho 
[89218] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[89282] ADD,Z5Z6RJO7ho,61139.78 
[89339] ADD,Z5Z6RJO7ho,80644.20 
[89363] BUY,Z5Z6RJO7ho,KXF,629.12 
[89393] COMMIT_BUY,Z5Z6RJO7ho 
[89557] SET_SELL_AMOUNT,Z5Z6RJO7ho,HFS,425.68 
[89676] SET_SELL_TRIGGER,Z5Z6RJO7ho,HFS,190.16 
[89713] SET_BUY_AMOUNT,Z5Z6RJO7ho,XLK,157.87 
[89726] CANCEL_SET_BUY,Z5Z6RJO7ho,OIY 
[89754] SET_BUY_AMOUNT,Z5Z6RJO7ho,XQC,162.57 
[89904] SET_BUY_TRIGGER,Z5Z6RJO7ho,KCA,60.88 
[89906] ADD,Z5Z6RJO7ho,63454.01 
[89907] QUOTE,Z5Z6RJO7ho,KIP 
[89986] BUY,Z5Z6RJO7ho,BYA,597.76 
[90010] COMMIT_BUY,Z5Z6RJO7ho 
[90123] SET_BUY_AMOUNT,Z5Z6RJO7ho,GRM,625.52 
[90491] BUY,Z5Z6RJO7ho,BBC,328.71 
[90585] COMMIT_BUY,Z5Z6RJO7ho 
[90686] BUY,Z5Z6RJO7ho,ILT,313.82 
[90726] SET_SELL_AMOUNT,Z5Z6RJO7ho,JVT,640.78 
[90749] SET_SELL_TRIGGER,Z5Z6RJO7ho,JVT,211.05 
[90972] SET_BUY_AMOUNT,Z5Z6RJO7ho,ZYR,579.09 
[91067] SET_BUY_TRIGGER,Z5Z6RJO7ho,SEW,276.28 
[91375] QUOTE,Z5Z6RJO7ho,MLU 
[91943] CANCEL_SET_BUY,Z5Z6RJO7ho,QPR 
[92163] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[92226] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[92348] QUOTE,Z5Z6RJO7ho,DFE 
[92356] QUOTE,Z5Z6RJO7ho,ZFV 
[92422] BUY,Z5Z6RJO7ho,YCH,545.44 
[92493] COMMIT_BUY,Z5Z6RJO7ho 
[92510] SET_BUY_AMOUNT,Z5Z6RJO7ho,JZJ,262.21 
[92618] SET_BUY_TRIGGER,Z5Z6RJO7ho,DQW,227.25 
[92663] QUOTE,Z5Z6RJO7ho,ULL 
[92755] QUOTE,Z5Z6RJO7ho,RRZ 
[92802] BUY,Z5Z6RJO7ho,WSR,508.36 
[92867] CANCEL_SET_BUY,Z5Z6RJO7ho,KZC 
[92914] ADD,Z5Z6RJO7ho,70614.77 
[92955] QUOTE,Z5Z6RJO7ho,DXL 
[93012] ADD,Z5Z6RJO7ho,92818.48 
[93114] BUY,Z5Z6RJO7ho,ZYF,565.45 
[93354] SET_SELL_AMOUNT,Z5Z6RJO7ho,AVX,682.69 
[93407] SET_SELL_TRIGGER,Z5Z6RJO7ho,AVX,289.36 
[93547] SET_SELL_AMOUNT,Z5Z6RJO7ho,KYX,536.21 
[93562] SET_SELL_TRIGGER,Z5Z6RJO7ho,KYX,318.13 
[93575] SET_BUY_TRIGGER,Z5Z6RJO7ho,UCG,188.54 
[93792] SET_BUY_AMOUNT,Z5Z6RJO7ho,CEC,497.22 
[93800] SET_BUY_TRIGGER,Z5Z6RJO7ho,EIK,102.43 
[93855] QUOTE,Z5Z6RJO7ho,JFJ 
[93916] ADD,Z5Z6RJO7ho,52979.24 
[94016] QUOTE,Z5Z6RJO7ho,UTL 
[94047] ADD,Z5Z6RJO7ho,66811.70 
[94254] CANCEL_SET_BUY,Z5Z6RJO7ho,GCW 
[94394] BUY,Z5Z6RJO7ho,PXY,525.50 
[94423] COMMIT_BUY,Z5Z6RJO7ho 
[94691] ADD,Z5Z6RJO7ho,52767.09 
[94869] BUY,Z5Z6RJO7ho,WOJ,285.02 
[95085] COMMIT_SELL,Z5Z6RJO7ho 
[95434] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[95535] SELL,Z5Z6RJO7ho,CUZ,346.94 
[95541] COMMIT_SELL,Z5Z6RJO7ho 
[95589] QUOTE,Z5Z6RJO7ho,YDD 
[95648] SET_BUY_TRIGGER,Z5Z6RJO7ho,EHF,105.85 
[95686] SET_SELL_TRIGGER,Z5Z6RJO7ho,XQC,173.62 
[95751] SET_SELL_TRIGGER,Z5Z6RJO7ho,POI,2.40 
[95826] SET_BUY_TRIGGER,Z5Z6RJO7ho,FQG,5.06 
[95891] SET_BUY_AMOUNT,Z5Z6RJO7ho,OPN,585.54 
[95900] SET_BUY_TRIGGER,Z5Z6RJO7ho,NJT,299.47 
[95928] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[96058] ADD,Z5Z6RJO7ho,73851.78 
[96063] QUOTE,Z5Z6RJO7ho,NRY 
[96166] QUOTE,Z5Z6RJO7ho,COE 
[96385] SET_BUY_TRIGGER,Z5Z6RJO7ho,SMS,93.52 
[96419] SET_BUY_TRIGGER,Z5Z6RJO7ho,YVS,179.47 
[96492] SELL,Z5Z6RJO7ho,CBO,513.24 
[96557] SET_BUY_TRIGGER,Z5Z6RJO7ho,ZWC,160.03 
[96580] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[96583] SET_SELL_TRIGGER,Z5Z6RJO7ho,AUX,3.65 
[96618] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[96623] QUOTE,Z5Z6RJO7ho,FFI 
[96645] BUY,Z5Z6RJO7ho,ZQC,438.84 
[96759] COMMIT_BUY,Z5Z6RJO7ho 
[96869] ADD,Z5Z6RJO7ho,64890.85 
[96896] BUY,Z5Z6RJO7ho,YDD,454.95 
[96899] COMMIT_BUY,Z5Z6RJO7ho 
[96962] CANCEL_SET_SELL,Z5Z6RJO7ho,HHC 
[97201] ADD,Z5Z6RJO7ho,61953.44 
[97284] QUOTE,Z5Z6RJO7ho,XXP 
[97328] ADD,Z5Z6RJO7ho,62599.52 
[97329] BUY,Z5Z6RJO7ho,GIK,291.49 
[97331] COMMIT_BUY,Z5Z6RJO7ho 
[97457] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[97544] SET_BUY_AMOUNT,Z5Z6RJO7ho,YDS,168.53 
[97572] SET_BUY_TRIGGER,Z5Z6RJO7ho,VMD,118.27 
[97647] QUOTE,Z5Z6RJO7ho,YPW 
[97649] CANCEL_SET_BUY,Z5Z6RJO7ho,IFI 
[97751] SET_BUY_TRIGGER,Z5Z6RJO7ho,DBT,4.32 
[97882] SET_BUY_AMOUNT,Z5Z6RJO7ho,SSF,233.91 
[98034] SET_BUY_TRIGGER,Z5Z6RJO7ho,WDJ,110.03 
[98064] SELL,Z5Z6RJO7ho,AJR,431.77 
[98116] CANCEL_SET_SELL,Z5Z6RJO7ho,IFI 
[98252] SET_BUY_AMOUNT,Z5Z6RJO7ho,DFE,428.75 
[98259] SET_BUY_TRIGGER,Z5Z6RJO7ho,QPE,91.63 
[98527] DISPLAY_SUMMARY,Z5Z6RJO7ho 
[98617] SELL,Z5Z6RJO7ho,RUN,570.85 
[98799] COMMIT_SELL,Z5Z6RJO7ho 
[98973] QUOTE,Z5Z6RJO7ho,DPG 
[99101] BUY,Z5Z6RJO7ho,BRT,155.09 
[99207] COMMIT_BUY,Z5Z6RJO7ho 
[99228] QUOTE,Z5Z6RJO7ho,YBP 
[99233] CANCEL_SET_BUY,Z5Z6RJO7ho,INB 
[99278] SET_SELL_AMOUNT,Z5Z6RJO7ho,MXD,287.97 
[99324] SET_SELL_TRIGGER,Z5Z6RJO7ho,MXD,182.93 
[99345] BUY,Z5Z6RJO7ho,JLO,642.62 
[99415] COMMIT_BUY,Z5Z6RJO7ho 
[99604] ADD,Z5Z6RJO7ho,73303.16 
[99632] QUOTE,Z5Z6RJO7ho,NRY 
[99669] BUY,Z5Z6RJO7ho,GZQ,504.27 
[99756] QUOTE,Z5Z6RJO7ho,LBC 
[99969] SET_BUY_AMOUNT,Z5Z6RJO7ho,MFX,151.87 
