[26] ADD,NmnabmB6tO,67303.69 
[95066] CANCEL_BUY,NmnabmB6tO 
[95263] QUOTE,NmnabmB6tO,GJQ 
[95378] SET_SELL_TRIGGER,NmnabmB6tO,DQW,185.65 
[95692] SET_SELL_TRIGGER,NmnabmB6tO,LPB,127.41 
[95936] SET_BUY_TRIGGER,NmnabmB6tO,CTS,37.86 
[95938] DISPLAY_SUMMARY,NmnabmB6tO 
[96137] CANCEL_BUY,NmnabmB6tO 
[96363] SET_BUY_AMOUNT,NmnabmB6tO,CSZ,680.74 
[96507] SET_BUY_TRIGGER,NmnabmB6tO,KKI,638.05 
[96822] QUOTE,NmnabmB6tO,KNM 
[96852] BUY,NmnabmB6tO,TQE,749.68 
[96882] CANCEL_SELL,NmnabmB6tO 
[96919] SET_BUY_TRIGGER,NmnabmB6tO,EUM,10.30 
[97009] SET_BUY_TRIGGER,NmnabmB6tO,JJW,70.31 
[97062] BUY,NmnabmB6tO,PCR,667.37 
[97604] CANCEL_SELL,NmnabmB6tO 
[97794] ADD,NmnabmB6tO,85688.82 
[97843] BUY,NmnabmB6tO,SWJ,250.24 
[97961] COMMIT_BUY,NmnabmB6tO 
[97984] ADD,NmnabmB6tO,77487.83 
[98126] QUOTE,NmnabmB6tO,FCM 
[98152] BUY,NmnabmB6tO,YBP,465.88 
[98240] COMMIT_BUY,NmnabmB6tO 
[98343] BUY,NmnabmB6tO,LGL,7.77 
[98370] CANCEL_SELL,NmnabmB6tO 
[98444] BUY,NmnabmB6tO,KGA,100.72 
[98466] SET_SELL_AMOUNT,NmnabmB6tO,AJR,684.22 
[98536] DISPLAY_SUMMARY,NmnabmB6tO 
[98600] DISPLAY_SUMMARY,NmnabmB6tO 
[98714] ADD,NmnabmB6tO,71978.35 
[98757] SET_SELL_AMOUNT,NmnabmB6tO,NHG,189.42 
[98862] SET_SELL_TRIGGER,NmnabmB6tO,NHG,9.72 
[98890] SET_SELL_AMOUNT,NmnabmB6tO,RNK,128.02 
[98976] BUY,NmnabmB6tO,GLO,278.49 
[99090] CANCEL_SET_BUY,NmnabmB6tO,LJM 
[99406] SET_SELL_AMOUNT,NmnabmB6tO,ZYR,383.74 
[99487] DISPLAY_SUMMARY,NmnabmB6tO 
[99499] SELL,NmnabmB6tO,LFU,133.83 
[99584] COMMIT_SELL,NmnabmB6tO 
[99598] SET_SELL_AMOUNT,NmnabmB6tO,KYX,156.48 
[99656] SET_SELL_TRIGGER,NmnabmB6tO,KYX,132.77 
