[33] ADD,69DAEr1YIe,73268.56 
[96614] SET_BUY_AMOUNT,69DAEr1YIe,ZAN,186.86 
[96714] SET_BUY_TRIGGER,69DAEr1YIe,ZFK,24.76 
[96739] ADD,69DAEr1YIe,74182.40 
[96760] QUOTE,69DAEr1YIe,XXT 
[96782] ADD,69DAEr1YIe,84260.52 
[96786] DISPLAY_SUMMARY,69DAEr1YIe 
[97000] DISPLAY_SUMMARY,69DAEr1YIe 
[97026] SET_BUY_TRIGGER,69DAEr1YIe,SPL,29.36 
[97168] SET_SELL_TRIGGER,69DAEr1YIe,NHG,179.86 
[97238] SET_BUY_AMOUNT,69DAEr1YIe,SUS,230.57 
[97251] SET_BUY_TRIGGER,69DAEr1YIe,SYU,219.90 
[97619] QUOTE,69DAEr1YIe,OZO 
[97664] BUY,69DAEr1YIe,CWA,23.68 
[97887] CANCEL_BUY,69DAEr1YIe 
[98096] CANCEL_SET_BUY,69DAEr1YIe,PLB 
[98289] SET_BUY_AMOUNT,69DAEr1YIe,JZJ,125.35 
[98400] BUY,69DAEr1YIe,VVW,569.70 
[98421] COMMIT_BUY,69DAEr1YIe 
[98428] ADD,69DAEr1YIe,61349.02 
[98532] QUOTE,69DAEr1YIe,CVK 
[98543] BUY,69DAEr1YIe,UXP,139.08 
[98634] CANCEL_BUY,69DAEr1YIe 
[98694] QUOTE,69DAEr1YIe,RVU 
[98784] BUY,69DAEr1YIe,LLO,226.97 
[99208] COMMIT_BUY,69DAEr1YIe 
[99277] SET_SELL_AMOUNT,69DAEr1YIe,HFS,475.54 
[99325] DISPLAY_SUMMARY,69DAEr1YIe 
[99488] SET_SELL_AMOUNT,69DAEr1YIe,KDA,339.40 
[99541] DISPLAY_SUMMARY,69DAEr1YIe 
[99705] ADD,69DAEr1YIe,60280.02 
[99871] COMMIT_BUY,69DAEr1YIe 
[99872] CANCEL_BUY,69DAEr1YIe 
[99976] DISPLAY_SUMMARY,69DAEr1YIe 
