[13] ADD,y5IWeezXEN,74831.27 
[94328] SET_SELL_TRIGGER,y5IWeezXEN,ZDB,184.13 
[94883] SET_BUY_TRIGGER,y5IWeezXEN,TVI,96.26 
[94997] QUOTE,y5IWeezXEN,XSS 
[95129] SET_BUY_AMOUNT,y5IWeezXEN,OEY,497.28 
[95310] SET_BUY_TRIGGER,y5IWeezXEN,ECX,150.39 
[95403] CANCEL_SELL,y5IWeezXEN 
[95671] SET_SELL_TRIGGER,y5IWeezXEN,NOP,128.30 
[95738] DISPLAY_SUMMARY,y5IWeezXEN 
[95774] CANCEL_SET_SELL,y5IWeezXEN,JUV 
[95903] ADD,y5IWeezXEN,65610.40 
[96184] QUOTE,y5IWeezXEN,PXF 
[96432] QUOTE,y5IWeezXEN,JVT 
[96450] BUY,y5IWeezXEN,MJU,305.09 
[96477] DISPLAY_SUMMARY,y5IWeezXEN 
[96506] BUY,y5IWeezXEN,NGG,254.23 
[96521] COMMIT_BUY,y5IWeezXEN 
[96535] ADD,y5IWeezXEN,79671.08 
[96653] BUY,y5IWeezXEN,FZB,697.23 
[96707] SET_BUY_AMOUNT,y5IWeezXEN,GYF,223.49 
[96715] QUOTE,y5IWeezXEN,MQP 
[97199] QUOTE,y5IWeezXEN,RLS 
[97208] SET_BUY_AMOUNT,y5IWeezXEN,LZB,169.22 
[97272] SELL,y5IWeezXEN,XLK,331.22 
[97429] CANCEL_SELL,y5IWeezXEN 
[97439] SET_BUY_TRIGGER,y5IWeezXEN,XZO,10.25 
[97603] DISPLAY_SUMMARY,y5IWeezXEN 
[97632] DISPLAY_SUMMARY,y5IWeezXEN 
[97679] SET_SELL_TRIGGER,y5IWeezXEN,TKG,120.27 
[97687] DISPLAY_SUMMARY,y5IWeezXEN 
[97752] QUOTE,y5IWeezXEN,ZGN 
[97789] SET_BUY_AMOUNT,y5IWeezXEN,HTD,634.07 
[97920] SET_BUY_TRIGGER,y5IWeezXEN,JZJ,540.93 
[98002] SET_SELL_AMOUNT,y5IWeezXEN,UIE,741.94 
[98009] SELL,y5IWeezXEN,CSZ,636.27 
[98141] COMMIT_SELL,y5IWeezXEN 
[98314] SET_SELL_TRIGGER,y5IWeezXEN,UIE,5.21 
[98402] ADD,y5IWeezXEN,71902.43 
[98608] BUY,y5IWeezXEN,OAS,331.35 
[98684] CANCEL_BUY,y5IWeezXEN 
[98743] QUOTE,y5IWeezXEN,KWP 
[99057] SET_BUY_AMOUNT,y5IWeezXEN,LZV,612.27 
[99212] SET_BUY_TRIGGER,y5IWeezXEN,ZYF,575.59 
[99241] ADD,y5IWeezXEN,71305.27 
[99312] QUOTE,y5IWeezXEN,AHE 
[99449] BUY,y5IWeezXEN,NSW,95.61 
[99546] COMMIT_BUY,y5IWeezXEN 
[99563] ADD,y5IWeezXEN,77955.19 
[99658] QUOTE,y5IWeezXEN,TKV 
[99821] SET_SELL_AMOUNT,y5IWeezXEN,BYA,301.04 
[99897] SET_SELL_TRIGGER,y5IWeezXEN,BYA,271.74 
