[7] ADD,HBb0dWvkmH,81650.18 
[89110] CANCEL_SET_SELL,HBb0dWvkmH,SKY 
[89160] QUOTE,HBb0dWvkmH,JIO 
[89265] COMMIT_BUY,HBb0dWvkmH 
[89498] SELL,HBb0dWvkmH,GSW,591.68 
[89517] COMMIT_SELL,HBb0dWvkmH 
[89717] DISPLAY_SUMMARY,HBb0dWvkmH 
[89752] ADD,HBb0dWvkmH,77098.25 
[89827] CANCEL_SELL,HBb0dWvkmH 
[90080] SET_SELL_TRIGGER,HBb0dWvkmH,KGA,28.10 
[90142] COMMIT_SELL,HBb0dWvkmH 
[90161] QUOTE,HBb0dWvkmH,HSJ 
[90186] DISPLAY_SUMMARY,HBb0dWvkmH 
[90406] BUY,HBb0dWvkmH,LCP,146.30 
[90421] CANCEL_SET_BUY,HBb0dWvkmH,YEH 
[90675] SET_SELL_AMOUNT,HBb0dWvkmH,CZQ,627.53 
[90712] DISPLAY_SUMMARY,HBb0dWvkmH 
[90766] DISPLAY_SUMMARY,HBb0dWvkmH 
[90794] SET_SELL_AMOUNT,HBb0dWvkmH,RGH,385.93 
[90795] BUY,HBb0dWvkmH,DNJ,278.49 
[90877] COMMIT_BUY,HBb0dWvkmH 
[90889] QUOTE,HBb0dWvkmH,LEA 
[91078] SELL,HBb0dWvkmH,MFX,539.67 
[91154] COMMIT_SELL,HBb0dWvkmH 
[91272] SET_BUY_AMOUNT,HBb0dWvkmH,HTD,322.90 
[91459] CANCEL_SET_BUY,HBb0dWvkmH,CMA 
[91498] SET_SELL_AMOUNT,HBb0dWvkmH,JQO,722.18 
[91518] SELL,HBb0dWvkmH,SQI,168.28 
[91537] SET_SELL_TRIGGER,HBb0dWvkmH,JQO,253.56 
[91538] COMMIT_SELL,HBb0dWvkmH 
[91603] ADD,HBb0dWvkmH,60620.83 
[91661] BUY,HBb0dWvkmH,WCY,698.14 
[91684] COMMIT_BUY,HBb0dWvkmH 
[91746] QUOTE,HBb0dWvkmH,OOT 
[91786] BUY,HBb0dWvkmH,MQF,34.55 
[91933] BUY,HBb0dWvkmH,CXN,421.91 
[91989] DISPLAY_SUMMARY,HBb0dWvkmH 
[92221] SET_SELL_AMOUNT,HBb0dWvkmH,VTY,680.48 
[92389] SET_SELL_TRIGGER,HBb0dWvkmH,VTY,646.38 
[92622] SET_BUY_TRIGGER,HBb0dWvkmH,IZJ,120.63 
[92747] BUY,HBb0dWvkmH,WRN,96.24 
[92942] CANCEL_BUY,HBb0dWvkmH 
[93343] SELL,HBb0dWvkmH,CZQ,334.08 
[93757] CANCEL_BUY,HBb0dWvkmH 
[93783] CANCEL_SET_SELL,HBb0dWvkmH,PWK 
[94191] ADD,HBb0dWvkmH,76963.22 
[94222] QUOTE,HBb0dWvkmH,OYX 
[94263] DISPLAY_SUMMARY,HBb0dWvkmH 
[94385] BUY,HBb0dWvkmH,CEC,303.09 
[94475] BUY,HBb0dWvkmH,SSF,727.32 
[94487] SET_BUY_AMOUNT,HBb0dWvkmH,RGH,666.41 
[94575] SET_BUY_TRIGGER,HBb0dWvkmH,QNK,25.17 
[94646] SET_SELL_AMOUNT,HBb0dWvkmH,QPR,321.13 
[94706] SET_SELL_TRIGGER,HBb0dWvkmH,QPR,254.73 
[94923] SET_SELL_AMOUNT,HBb0dWvkmH,BYA,85.80 
[95184] CANCEL_SET_SELL,HBb0dWvkmH,BYA 
[95390] SET_BUY_TRIGGER,HBb0dWvkmH,LVT,135.71 
[95463] DISPLAY_SUMMARY,HBb0dWvkmH 
[95526] QUOTE,HBb0dWvkmH,DOI 
[95543] QUOTE,HBb0dWvkmH,XQG 
[95550] SET_BUY_TRIGGER,HBb0dWvkmH,RRE,91.06 
[95661] DISPLAY_SUMMARY,HBb0dWvkmH 
[95706] SELL,HBb0dWvkmH,MXD,241.10 
[95939] SET_SELL_TRIGGER,HBb0dWvkmH,LFU,189.10 
[96060] QUOTE,HBb0dWvkmH,YWK 
[96066] BUY,HBb0dWvkmH,XOA,597.10 
[96112] SET_SELL_TRIGGER,HBb0dWvkmH,EGB,120.47 
[96128] SET_SELL_TRIGGER,HBb0dWvkmH,GZQ,22.56 
[96268] DISPLAY_SUMMARY,HBb0dWvkmH 
[96309] DISPLAY_SUMMARY,HBb0dWvkmH 
[96404] SET_BUY_TRIGGER,HBb0dWvkmH,THH,151.54 
[96479] SET_SELL_AMOUNT,HBb0dWvkmH,GSW,493.60 
[96596] QUOTE,HBb0dWvkmH,HGG 
[96599] QUOTE,HBb0dWvkmH,FKX 
[96616] SET_BUY_AMOUNT,HBb0dWvkmH,CBO,556.28 
[96833] DISPLAY_SUMMARY,HBb0dWvkmH 
[96939] ADD,HBb0dWvkmH,80570.54 
[97177] QUOTE,HBb0dWvkmH,WBX 
[97310] BUY,HBb0dWvkmH,CLH,510.00 
[97370] CANCEL_BUY,HBb0dWvkmH 
[97417] ADD,HBb0dWvkmH,75708.03 
[97530] BUY,HBb0dWvkmH,DWU,54.72 
[97938] SET_SELL_AMOUNT,HBb0dWvkmH,BJL,99.26 
[98033] CANCEL_SET_SELL,HBb0dWvkmH,BJL 
[98065] SET_BUY_AMOUNT,HBb0dWvkmH,OEY,572.97 
[98094] SET_BUY_TRIGGER,HBb0dWvkmH,CBV,520.87 
[98106] DISPLAY_SUMMARY,HBb0dWvkmH 
[98233] SET_BUY_AMOUNT,HBb0dWvkmH,QJZ,473.71 
[98367] QUOTE,HBb0dWvkmH,ZQW 
[98618] ADD,HBb0dWvkmH,67496.07 
[98746] QUOTE,HBb0dWvkmH,ERF 
[98766] BUY,HBb0dWvkmH,IWL,728.79 
[99034] COMMIT_BUY,HBb0dWvkmH 
[99080] SELL,HBb0dWvkmH,AVX,2.17 
[99134] COMMIT_SELL,HBb0dWvkmH 
[99376] DISPLAY_SUMMARY,HBb0dWvkmH 
[99381] BUY,HBb0dWvkmH,UCG,706.62 
[99414] SET_BUY_AMOUNT,HBb0dWvkmH,FDI,617.27 
[99524] SET_BUY_TRIGGER,HBb0dWvkmH,XAB,34.03 
[99746] SET_SELL_TRIGGER,HBb0dWvkmH,JXR,197.44 
