[3] ADD,WUsol6wtDm,87738.46 
[95848] DISPLAY_SUMMARY,WUsol6wtDm 
[95948] ADD,WUsol6wtDm,65878.04 
[95970] BUY,WUsol6wtDm,MWJ,17.36 
[96071] CANCEL_SELL,WUsol6wtDm 
[96083] SET_BUY_TRIGGER,WUsol6wtDm,OSA,143.66 
[96156] DISPLAY_SUMMARY,WUsol6wtDm 
[96180] ADD,WUsol6wtDm,62862.06 
[96235] QUOTE,WUsol6wtDm,OEN 
[96291] SET_BUY_AMOUNT,WUsol6wtDm,XQC,277.79 
[96310] SET_BUY_TRIGGER,WUsol6wtDm,FZB,127.83 
[96325] ADD,WUsol6wtDm,54935.90 
[96498] CANCEL_SET_SELL,WUsol6wtDm,ZAN 
[96537] SELL,WUsol6wtDm,PTP,430.48 
[96545] COMMIT_SELL,WUsol6wtDm 
[96594] SET_SELL_TRIGGER,WUsol6wtDm,VMK,93.91 
[96646] SET_SELL_AMOUNT,WUsol6wtDm,AJR,449.97 
[96768] BUY,WUsol6wtDm,TTY,298.37 
[96907] BUY,WUsol6wtDm,FNY,491.35 
[97019] SET_SELL_TRIGGER,WUsol6wtDm,AJR,171.45 
[97022] ADD,WUsol6wtDm,76329.33 
[97068] BUY,WUsol6wtDm,NDD,267.09 
[97156] QUOTE,WUsol6wtDm,YBB 
[97235] CANCEL_BUY,WUsol6wtDm 
[97291] DISPLAY_SUMMARY,WUsol6wtDm 
[97397] SET_SELL_TRIGGER,WUsol6wtDm,KPE,133.50 
[97503] SET_BUY_TRIGGER,WUsol6wtDm,BHH,180.53 
[97511] QUOTE,WUsol6wtDm,DBR 
[97553] BUY,WUsol6wtDm,NOP,166.78 
[97680] COMMIT_BUY,WUsol6wtDm 
[97706] SELL,WUsol6wtDm,XLK,92.68 
[97884] COMMIT_SELL,WUsol6wtDm 
[97962] DISPLAY_SUMMARY,WUsol6wtDm 
[98104] QUOTE,WUsol6wtDm,KHD 
[98172] BUY,WUsol6wtDm,YPL,338.16 
[98525] COMMIT_BUY,WUsol6wtDm 
[98574] SET_BUY_TRIGGER,WUsol6wtDm,AED,78.94 
[98650] SELL,WUsol6wtDm,AJR,403.00 
[98824] CANCEL_SELL,WUsol6wtDm 
[99018] SET_SELL_AMOUNT,WUsol6wtDm,CUZ,332.04 
[99045] SET_SELL_TRIGGER,WUsol6wtDm,CUZ,317.73 
[99137] ADD,WUsol6wtDm,57199.06 
[99254] QUOTE,WUsol6wtDm,HEJ 
[99284] BUY,WUsol6wtDm,LLO,274.69 
[99300] COMMIT_BUY,WUsol6wtDm 
[99352] CANCEL_SELL,WUsol6wtDm 
[99515] SELL,WUsol6wtDm,JUN,332.11 
[99712] COMMIT_SELL,WUsol6wtDm 
[99789] QUOTE,WUsol6wtDm,XZO 
[99899] SET_SELL_TRIGGER,WUsol6wtDm,IZS,64.42 
[99918] SET_BUY_TRIGGER,WUsol6wtDm,QEO,15.39 
