[35] ADD,aMMzTGXVGg,43383.22 
[93071] SET_SELL_TRIGGER,aMMzTGXVGg,VQA,117.35 
[93181] SET_SELL_AMOUNT,aMMzTGXVGg,CBO,326.84 
[93351] SET_SELL_TRIGGER,aMMzTGXVGg,CBO,259.29 
[93377] QUOTE,aMMzTGXVGg,QID 
[93393] BUY,aMMzTGXVGg,TVP,513.65 
[93526] COMMIT_BUY,aMMzTGXVGg 
[93761] SET_BUY_AMOUNT,aMMzTGXVGg,TVI,737.89 
[93854] SET_BUY_TRIGGER,aMMzTGXVGg,YNH,181.35 
[93857] BUY,aMMzTGXVGg,LBC,123.00 
[93917] CANCEL_BUY,aMMzTGXVGg 
[93928] ADD,aMMzTGXVGg,75368.22 
[93929] BUY,aMMzTGXVGg,UTD,319.66 
[94187] COMMIT_BUY,aMMzTGXVGg 
[94261] SELL,aMMzTGXVGg,ZAN,596.06 
[94451] COMMIT_BUY,aMMzTGXVGg 
[94839] SET_BUY_AMOUNT,aMMzTGXVGg,EBS,662.68 
[94880] DISPLAY_SUMMARY,aMMzTGXVGg 
[95032] CANCEL_SET_SELL,aMMzTGXVGg,XSS 
[95139] QUOTE,aMMzTGXVGg,PJJ 
[95320] BUY,aMMzTGXVGg,YDD,484.40 
[95323] COMMIT_BUY,aMMzTGXVGg 
[95489] SELL,aMMzTGXVGg,IQJ,427.40 
[95496] COMMIT_SELL,aMMzTGXVGg 
[95507] ADD,aMMzTGXVGg,71207.49 
[95587] BUY,aMMzTGXVGg,CTI,92.41 
[95673] SET_SELL_AMOUNT,aMMzTGXVGg,MXD,26.22 
[95802] SET_SELL_TRIGGER,aMMzTGXVGg,MXD,7.19 
[96006] DISPLAY_SUMMARY,aMMzTGXVGg 
[96111] DISPLAY_SUMMARY,aMMzTGXVGg 
[96205] CANCEL_BUY,aMMzTGXVGg 
[96266] BUY,aMMzTGXVGg,NOP,310.76 
[96437] CANCEL_BUY,aMMzTGXVGg 
[96502] SET_SELL_TRIGGER,aMMzTGXVGg,MSV,183.23 
[96814] SELL,aMMzTGXVGg,SSF,128.77 
[96845] COMMIT_SELL,aMMzTGXVGg 
[96888] ADD,aMMzTGXVGg,67648.08 
[96950] SELL,aMMzTGXVGg,LZV,503.38 
[97129] QUOTE,aMMzTGXVGg,LRS 
[97146] SET_BUY_TRIGGER,aMMzTGXVGg,ZCQ,63.41 
[97160] BUY,aMMzTGXVGg,YLZ,700.51 
[97259] ADD,aMMzTGXVGg,84831.40 
[97461] DISPLAY_SUMMARY,aMMzTGXVGg 
[97469] BUY,aMMzTGXVGg,QUT,420.06 
[97520] SELL,aMMzTGXVGg,QPR,103.10 
[97543] COMMIT_SELL,aMMzTGXVGg 
[97783] QUOTE,aMMzTGXVGg,CTT 
[97932] DISPLAY_SUMMARY,aMMzTGXVGg 
[97987] CANCEL_SET_SELL,aMMzTGXVGg,KYX 
[98147] CANCEL_SET_BUY,aMMzTGXVGg,HFS 
[98372] SET_BUY_TRIGGER,aMMzTGXVGg,XVK,23.52 
[98422] SET_BUY_TRIGGER,aMMzTGXVGg,MWM,197.76 
[98441] ADD,aMMzTGXVGg,63032.41 
[98542] BUY,aMMzTGXVGg,XXT,3.73 
[98585] SET_SELL_AMOUNT,aMMzTGXVGg,UIE,654.19 
[98725] SET_SELL_TRIGGER,aMMzTGXVGg,UIE,589.86 
[98729] BUY,aMMzTGXVGg,JXR,0.82 
[98735] COMMIT_BUY,aMMzTGXVGg 
[98744] DISPLAY_SUMMARY,aMMzTGXVGg 
[98801] SET_SELL_TRIGGER,aMMzTGXVGg,SYE,66.34 
[98939] ADD,aMMzTGXVGg,49523.00 
[99193] CANCEL_SET_SELL,aMMzTGXVGg,OEM 
[99258] DISPLAY_SUMMARY,aMMzTGXVGg 
[99540] DISPLAY_SUMMARY,aMMzTGXVGg 
[99702] BUY,aMMzTGXVGg,SAR,431.16 
[99931] COMMIT_SELL,aMMzTGXVGg 
[99939] ADD,aMMzTGXVGg,74720.53 
[99945] QUOTE,aMMzTGXVGg,ZHB 
