[4] ADD,KnTBc3qwcr,73952.03 
[86061] SET_BUY_TRIGGER,KnTBc3qwcr,CZQ,50.21 
[86079] ADD,KnTBc3qwcr,62151.79 
[86143] DISPLAY_SUMMARY,KnTBc3qwcr 
[86198] BUY,KnTBc3qwcr,ZCO,52.44 
[86583] SET_SELL_TRIGGER,KnTBc3qwcr,JUE,40.86 
[86710] SET_SELL_AMOUNT,KnTBc3qwcr,DFE,110.48 
[86715] QUOTE,KnTBc3qwcr,KLE 
[86797] QUOTE,KnTBc3qwcr,GZU 
[86845] QUOTE,KnTBc3qwcr,GIX 
[86913] BUY,KnTBc3qwcr,QUT,445.03 
[87005] COMMIT_SELL,KnTBc3qwcr 
[87161] BUY,KnTBc3qwcr,GWS,712.76 
[87219] CANCEL_SELL,KnTBc3qwcr 
[87295] SET_SELL_TRIGGER,KnTBc3qwcr,DFE,57.89 
[87573] QUOTE,KnTBc3qwcr,WZM 
[87741] SET_BUY_AMOUNT,KnTBc3qwcr,OEY,698.79 
[87751] CANCEL_SET_BUY,KnTBc3qwcr,WDJ 
[87872] DISPLAY_SUMMARY,KnTBc3qwcr 
[87912] BUY,KnTBc3qwcr,PMX,676.04 
[87922] CANCEL_SET_SELL,KnTBc3qwcr,WSG 
[87971] SET_SELL_TRIGGER,KnTBc3qwcr,SWJ,81.42 
[88058] SET_SELL_AMOUNT,KnTBc3qwcr,LFU,552.21 
[88081] CANCEL_SET_SELL,KnTBc3qwcr,LFU 
[88472] SELL,KnTBc3qwcr,OEY,22.79 
[88519] COMMIT_SELL,KnTBc3qwcr 
[88571] SELL,KnTBc3qwcr,BYA,598.78 
[88634] COMMIT_BUY,KnTBc3qwcr 
[88787] SET_BUY_TRIGGER,KnTBc3qwcr,PSJ,198.46 
[88816] SELL,KnTBc3qwcr,CEC,248.04 
[88839] COMMIT_SELL,KnTBc3qwcr 
[88865] SET_SELL_AMOUNT,KnTBc3qwcr,CSZ,661.76 
[89036] SET_SELL_TRIGGER,KnTBc3qwcr,CSZ,559.27 
[89056] SET_SELL_TRIGGER,KnTBc3qwcr,VKB,83.97 
[89069] SELL,KnTBc3qwcr,LFU,146.34 
[89078] COMMIT_SELL,KnTBc3qwcr 
[89167] SELL,KnTBc3qwcr,CUZ,531.86 
[89205] COMMIT_SELL,KnTBc3qwcr 
[89300] SET_BUY_AMOUNT,KnTBc3qwcr,PRJ,304.61 
[89387] SET_BUY_TRIGGER,KnTBc3qwcr,MIU,48.44 
[89870] BUY,KnTBc3qwcr,OBO,164.24 
[89925] CANCEL_SET_BUY,KnTBc3qwcr,HCN 
[89933] QUOTE,KnTBc3qwcr,YRO 
[90204] BUY,KnTBc3qwcr,MQF,62.18 
[90211] CANCEL_BUY,KnTBc3qwcr 
[90274] ADD,KnTBc3qwcr,85968.25 
[90673] QUOTE,KnTBc3qwcr,RRZ 
[90695] BUY,KnTBc3qwcr,YJK,45.84 
[91158] COMMIT_BUY,KnTBc3qwcr 
[91199] DISPLAY_SUMMARY,KnTBc3qwcr 
[91303] DISPLAY_SUMMARY,KnTBc3qwcr 
[91508] SET_BUY_TRIGGER,KnTBc3qwcr,KYX,185.82 
[91682] SET_SELL_AMOUNT,KnTBc3qwcr,SUS,733.46 
[91687] DISPLAY_SUMMARY,KnTBc3qwcr 
[91818] SELL,KnTBc3qwcr,QVK,417.42 
[91867] CANCEL_BUY,KnTBc3qwcr 
[91944] BUY,KnTBc3qwcr,URA,682.34 
[92154] CANCEL_BUY,KnTBc3qwcr 
[92222] ADD,KnTBc3qwcr,72357.51 
[92259] BUY,KnTBc3qwcr,SQO,319.29 
[92263] DISPLAY_SUMMARY,KnTBc3qwcr 
[92447] ADD,KnTBc3qwcr,90593.56 
[92796] SET_SELL_AMOUNT,KnTBc3qwcr,CUZ,25.86 
[92838] SET_SELL_TRIGGER,KnTBc3qwcr,CUZ,0.09 
[92886] SELL,KnTBc3qwcr,SSF,725.92 
[93047] CANCEL_SELL,KnTBc3qwcr 
[93198] DISPLAY_SUMMARY,KnTBc3qwcr 
[93362] ADD,KnTBc3qwcr,82290.50 
[93494] QUOTE,KnTBc3qwcr,KAR 
[93499] QUOTE,KnTBc3qwcr,LUT 
[93514] QUOTE,KnTBc3qwcr,ZAN 
[93635] SET_BUY_AMOUNT,KnTBc3qwcr,MWJ,730.03 
[93965] SET_BUY_TRIGGER,KnTBc3qwcr,VMT,623.96 
[93986] CANCEL_SET_SELL,KnTBc3qwcr,LMB 
[94085] DISPLAY_SUMMARY,KnTBc3qwcr 
[94185] QUOTE,KnTBc3qwcr,ETB 
[94382] QUOTE,KnTBc3qwcr,FIC 
[94560] SET_BUY_TRIGGER,KnTBc3qwcr,NFQ,125.78 
[94565] ADD,KnTBc3qwcr,82467.38 
[94633] QUOTE,KnTBc3qwcr,UGG 
[94695] QUOTE,KnTBc3qwcr,LJY 
[94765] ADD,KnTBc3qwcr,75236.78 
[94935] QUOTE,KnTBc3qwcr,IZS 
[95047] SELL,KnTBc3qwcr,QVA,742.07 
[95161] COMMIT_SELL,KnTBc3qwcr 
[95177] QUOTE,KnTBc3qwcr,POI 
[95183] COMMIT_SELL,KnTBc3qwcr 
[95292] SET_BUY_TRIGGER,KnTBc3qwcr,HZE,135.50 
[95333] DISPLAY_SUMMARY,KnTBc3qwcr 
[95440] SET_SELL_AMOUNT,KnTBc3qwcr,PTP,112.43 
[95450] SET_SELL_TRIGGER,KnTBc3qwcr,PTP,10.47 
[95511] SET_BUY_TRIGGER,KnTBc3qwcr,GIK,13.36 
[95825] BUY,KnTBc3qwcr,TQE,383.27 
[95896] COMMIT_SELL,KnTBc3qwcr 
[95997] DISPLAY_SUMMARY,KnTBc3qwcr 
[96003] DISPLAY_SUMMARY,KnTBc3qwcr 
[96293] ADD,KnTBc3qwcr,69466.57 
[96510] COMMIT_SELL,KnTBc3qwcr 
[96543] DISPLAY_SUMMARY,KnTBc3qwcr 
[96622] DISPLAY_SUMMARY,KnTBc3qwcr 
[96781] DISPLAY_SUMMARY,KnTBc3qwcr 
[96911] SET_SELL_AMOUNT,KnTBc3qwcr,PTP,55.95 
[97158] CANCEL_SET_SELL,KnTBc3qwcr,PTP 
[97311] DISPLAY_SUMMARY,KnTBc3qwcr 
[97430] SET_SELL_TRIGGER,KnTBc3qwcr,WGV,153.50 
[97556] SET_BUY_TRIGGER,KnTBc3qwcr,JVT,41.99 
[97576] SET_BUY_AMOUNT,KnTBc3qwcr,VDP,284.46 
[97713] CANCEL_SET_BUY,KnTBc3qwcr,SZI 
[97937] BUY,KnTBc3qwcr,YVX,655.54 
[98024] COMMIT_BUY,KnTBc3qwcr 
[98042] SET_SELL_AMOUNT,KnTBc3qwcr,ZYR,55.58 
[98167] DISPLAY_SUMMARY,KnTBc3qwcr 
[98191] DISPLAY_SUMMARY,KnTBc3qwcr 
[98305] ADD,KnTBc3qwcr,69582.56 
[98351] SELL,KnTBc3qwcr,XXQ,680.55 
[98423] QUOTE,KnTBc3qwcr,NOP 
[98435] BUY,KnTBc3qwcr,GDO,699.29 
[98459] COMMIT_BUY,KnTBc3qwcr 
[98465] ADD,KnTBc3qwcr,48117.06 
[98575] QUOTE,KnTBc3qwcr,GGI 
[98589] SET_BUY_TRIGGER,KnTBc3qwcr,OFP,199.72 
[98601] BUY,KnTBc3qwcr,DWF,403.44 
[98671] COMMIT_BUY,KnTBc3qwcr 
[98871] SELL,KnTBc3qwcr,AJR,163.34 
[99178] QUOTE,KnTBc3qwcr,GAL 
[99257] SET_SELL_TRIGGER,KnTBc3qwcr,ZYR,34.88 
[99298] BUY,KnTBc3qwcr,WJB,282.56 
[99467] COMMIT_BUY,KnTBc3qwcr 
[99497] SET_SELL_AMOUNT,KnTBc3qwcr,XXQ,117.85 
[99504] SET_SELL_TRIGGER,KnTBc3qwcr,XXQ,3.02 
[99532] DISPLAY_SUMMARY,KnTBc3qwcr 
[99574] QUOTE,KnTBc3qwcr,FOW 
[99874] QUOTE,KnTBc3qwcr,JQO 
[99916] SET_SELL_TRIGGER,KnTBc3qwcr,GSW,51.00 
