[339] ADD,6bw5h7oAdg,66382.14 
[95699] ADD,6bw5h7oAdg,54774.86 
[95999] BUY,6bw5h7oAdg,FGF,269.99 
[96135] ADD,6bw5h7oAdg,30126.75 
[96162] SELL,6bw5h7oAdg,QGE,422.55 
[96216] COMMIT_SELL,6bw5h7oAdg 
[96277] ADD,6bw5h7oAdg,70132.76 
[96374] DISPLAY_SUMMARY,6bw5h7oAdg 
[96380] DISPLAY_SUMMARY,6bw5h7oAdg 
[96672] SET_SELL_AMOUNT,6bw5h7oAdg,FQP,68.94 
[96704] SET_SELL_TRIGGER,6bw5h7oAdg,FQP,42.18 
[96709] ADD,6bw5h7oAdg,64136.16 
[96798] QUOTE,6bw5h7oAdg,SXB 
[96889] CANCEL_SET_SELL,6bw5h7oAdg,KBN 
[96974] DISPLAY_SUMMARY,6bw5h7oAdg 
[97434] SET_SELL_TRIGGER,6bw5h7oAdg,SYT,101.37 
[97549] SET_SELL_TRIGGER,6bw5h7oAdg,HNW,73.49 
[97803] CANCEL_SET_SELL,6bw5h7oAdg,NQU 
[97828] SET_SELL_TRIGGER,6bw5h7oAdg,OAV,64.04 
[97894] ADD,6bw5h7oAdg,72811.74 
[97936] SET_BUY_TRIGGER,6bw5h7oAdg,VGW,8.75 
[97965] ADD,6bw5h7oAdg,54386.32 
[98144] CANCEL_SELL,6bw5h7oAdg 
[98170] SET_SELL_TRIGGER,6bw5h7oAdg,ZOZ,150.26 
[98198] SET_BUY_AMOUNT,6bw5h7oAdg,QPR,424.18 
[98357] SET_BUY_TRIGGER,6bw5h7oAdg,PXX,191.12 
[98492] BUY,6bw5h7oAdg,ZZN,406.27 
[98497] SELL,6bw5h7oAdg,CSZ,395.64 
[98533] SET_SELL_TRIGGER,6bw5h7oAdg,VQA,108.14 
[98562] ADD,6bw5h7oAdg,71773.88 
[98603] BUY,6bw5h7oAdg,OBR,326.28 
[98606] BUY,6bw5h7oAdg,TKV,372.09 
[98625] COMMIT_BUY,6bw5h7oAdg 
[98731] QUOTE,6bw5h7oAdg,BHQ 
[98995] DISPLAY_SUMMARY,6bw5h7oAdg 
[99006] SELL,6bw5h7oAdg,VTY,116.16 
[99102] COMMIT_SELL,6bw5h7oAdg 
[99167] QUOTE,6bw5h7oAdg,PBV 
[99173] QUOTE,6bw5h7oAdg,DGA 
[99227] QUOTE,6bw5h7oAdg,PDX 
[99356] QUOTE,6bw5h7oAdg,UCG 
[99377] SET_SELL_TRIGGER,6bw5h7oAdg,TKG,156.82 
[99382] DISPLAY_SUMMARY,6bw5h7oAdg 
[99416] ADD,6bw5h7oAdg,56855.56 
[99450] QUOTE,6bw5h7oAdg,YOQ 
[99469] SET_BUY_TRIGGER,6bw5h7oAdg,BHQ,61.39 
[99700] BUY,6bw5h7oAdg,LTB,413.00 
[99772] COMMIT_BUY,6bw5h7oAdg 
[99831] ADD,6bw5h7oAdg,68518.08 
