[55] ADD,oAd3QaqYgz,97860.18 
[87521] BUY,oAd3QaqYgz,HFI,398.53 
[87530] COMMIT_BUY,oAd3QaqYgz 
[87875] DISPLAY_SUMMARY,oAd3QaqYgz 
[87919] QUOTE,oAd3QaqYgz,YDS 
[87987] SET_SELL_AMOUNT,oAd3QaqYgz,TKM,7.82 
[87993] SET_SELL_TRIGGER,oAd3QaqYgz,TKM,3.60 
[88000] SELL,oAd3QaqYgz,MFX,56.68 
[88006] COMMIT_SELL,oAd3QaqYgz 
[88046] ADD,oAd3QaqYgz,66277.23 
[88154] QUOTE,oAd3QaqYgz,EUC 
[88214] QUOTE,oAd3QaqYgz,VTY 
[88247] SET_BUY_AMOUNT,oAd3QaqYgz,PTP,554.32 
[88312] DISPLAY_SUMMARY,oAd3QaqYgz 
[88679] SET_BUY_TRIGGER,oAd3QaqYgz,QAX,432.78 
[88738] DISPLAY_SUMMARY,oAd3QaqYgz 
[88786] DISPLAY_SUMMARY,oAd3QaqYgz 
[88821] SELL,oAd3QaqYgz,KDA,51.68 
[88822] COMMIT_SELL,oAd3QaqYgz 
[88842] BUY,oAd3QaqYgz,DRP,349.72 
[88857] CANCEL_SET_BUY,oAd3QaqYgz,GYT 
[88924] ADD,oAd3QaqYgz,48872.65 
[89118] DISPLAY_SUMMARY,oAd3QaqYgz 
[89148] SET_BUY_TRIGGER,oAd3QaqYgz,DGA,126.98 
[89157] ADD,oAd3QaqYgz,85370.27 
[89171] QUOTE,oAd3QaqYgz,SQI 
[89249] BUY,oAd3QaqYgz,BBC,654.40 
[89326] CANCEL_BUY,oAd3QaqYgz 
[89456] SET_BUY_AMOUNT,oAd3QaqYgz,RGH,726.64 
[89522] SET_BUY_TRIGGER,oAd3QaqYgz,QVK,299.60 
[89573] BUY,oAd3QaqYgz,GPW,308.33 
[89608] COMMIT_BUY,oAd3QaqYgz 
[89707] BUY,oAd3QaqYgz,SPT,704.15 
[89721] SET_SELL_AMOUNT,oAd3QaqYgz,JUN,738.94 
[90074] SET_SELL_TRIGGER,oAd3QaqYgz,JUN,629.88 
[90257] SELL,oAd3QaqYgz,HFS,528.29 
[90366] CANCEL_SELL,oAd3QaqYgz 
[90479] SET_BUY_TRIGGER,oAd3QaqYgz,QBD,157.93 
[90759] SET_SELL_TRIGGER,oAd3QaqYgz,UJC,83.53 
[90771] CANCEL_SET_BUY,oAd3QaqYgz,JOJ 
[90778] BUY,oAd3QaqYgz,LUD,701.55 
[90791] COMMIT_BUY,oAd3QaqYgz 
[90862] SELL,oAd3QaqYgz,TVI,472.94 
[90883] CANCEL_SELL,oAd3QaqYgz 
[90895] SET_BUY_AMOUNT,oAd3QaqYgz,OPN,354.65 
[90903] SET_BUY_TRIGGER,oAd3QaqYgz,ASJ,350.63 
[90951] QUOTE,oAd3QaqYgz,YUL 
[91041] QUOTE,oAd3QaqYgz,LSW 
[91075] QUOTE,oAd3QaqYgz,SWD 
[91248] SET_BUY_TRIGGER,oAd3QaqYgz,ZJG,18.65 
[91343] DISPLAY_SUMMARY,oAd3QaqYgz 
[91369] DISPLAY_SUMMARY,oAd3QaqYgz 
[91532] BUY,oAd3QaqYgz,MOM,176.39 
[91547] COMMIT_BUY,oAd3QaqYgz 
[91613] SELL,oAd3QaqYgz,KYX,215.36 
[91718] COMMIT_SELL,oAd3QaqYgz 
[91723] SET_BUY_TRIGGER,oAd3QaqYgz,BUL,116.43 
[91873] ADD,oAd3QaqYgz,77973.53 
[91930] BUY,oAd3QaqYgz,HGG,352.25 
[92123] SET_SELL_TRIGGER,oAd3QaqYgz,WGP,110.59 
[92196] SELL,oAd3QaqYgz,YJK,557.07 
[92759] CANCEL_SELL,oAd3QaqYgz 
[92773] DISPLAY_SUMMARY,oAd3QaqYgz 
[92890] SET_BUY_AMOUNT,oAd3QaqYgz,JCQ,111.84 
[92911] SET_BUY_TRIGGER,oAd3QaqYgz,OXV,25.18 
[92960] DISPLAY_SUMMARY,oAd3QaqYgz 
[92969] SET_SELL_AMOUNT,oAd3QaqYgz,ZTI,526.02 
[92998] SET_SELL_TRIGGER,oAd3QaqYgz,ZTI,71.66 
[93182] SET_SELL_TRIGGER,oAd3QaqYgz,BYM,75.63 
[93279] ADD,oAd3QaqYgz,92792.62 
[93285] BUY,oAd3QaqYgz,BRT,95.60 
[93450] CANCEL_BUY,oAd3QaqYgz 
[93836] SELL,oAd3QaqYgz,QGE,748.42 
[93947] BUY,oAd3QaqYgz,NOP,482.36 
[94052] COMMIT_BUY,oAd3QaqYgz 
[94081] SELL,oAd3QaqYgz,NHG,718.62 
[94120] COMMIT_SELL,oAd3QaqYgz 
[94176] QUOTE,oAd3QaqYgz,NSN 
[94229] DISPLAY_SUMMARY,oAd3QaqYgz 
[94322] DISPLAY_SUMMARY,oAd3QaqYgz 
[94335] CANCEL_SELL,oAd3QaqYgz 
[94406] ADD,oAd3QaqYgz,59761.26 
[94757] QUOTE,oAd3QaqYgz,XXN 
[94802] BUY,oAd3QaqYgz,MMF,312.74 
[94874] SELL,oAd3QaqYgz,KBN,319.39 
[95052] COMMIT_SELL,oAd3QaqYgz 
[95058] ADD,oAd3QaqYgz,84420.16 
[95134] BUY,oAd3QaqYgz,YPW,197.17 
[95205] COMMIT_BUY,oAd3QaqYgz 
[95432] BUY,oAd3QaqYgz,OEN,402.13 
[95701] COMMIT_BUY,oAd3QaqYgz 
[95934] BUY,oAd3QaqYgz,MSV,155.25 
[95961] COMMIT_BUY,oAd3QaqYgz 
[96068] SET_BUY_TRIGGER,oAd3QaqYgz,CBY,78.43 
[96427] SET_BUY_TRIGGER,oAd3QaqYgz,CEC,166.83 
[97040] BUY,oAd3QaqYgz,VEX,304.90 
[97123] BUY,oAd3QaqYgz,MLU,435.16 
[97166] DISPLAY_SUMMARY,oAd3QaqYgz 
[97181] SET_SELL_TRIGGER,oAd3QaqYgz,JLO,197.09 
[97341] QUOTE,oAd3QaqYgz,OOI 
[97406] BUY,oAd3QaqYgz,YBB,265.51 
[97516] CANCEL_BUY,oAd3QaqYgz 
[97519] COMMIT_SELL,oAd3QaqYgz 
[97532] QUOTE,oAd3QaqYgz,YBP 
[97601] CANCEL_SET_BUY,oAd3QaqYgz,IDN 
[97707] SET_SELL_TRIGGER,oAd3QaqYgz,QPX,106.84 
[97913] SET_BUY_TRIGGER,oAd3QaqYgz,JPP,34.37 
[98080] SELL,oAd3QaqYgz,JVT,629.15 
[98140] COMMIT_SELL,oAd3QaqYgz 
[98236] DISPLAY_SUMMARY,oAd3QaqYgz 
[98302] QUOTE,oAd3QaqYgz,EGB 
[98318] BUY,oAd3QaqYgz,OFP,328.28 
[98328] CANCEL_SET_BUY,oAd3QaqYgz,NDD 
[98359] SELL,oAd3QaqYgz,SZI,228.02 
[98390] COMMIT_SELL,oAd3QaqYgz 
[98416] DISPLAY_SUMMARY,oAd3QaqYgz 
[98651] SELL,oAd3QaqYgz,KBN,66.56 
[98656] QUOTE,oAd3QaqYgz,UEC 
[98659] DISPLAY_SUMMARY,oAd3QaqYgz 
[98706] SELL,oAd3QaqYgz,JCQ,75.14 
[98734] COMMIT_SELL,oAd3QaqYgz 
[98839] SELL,oAd3QaqYgz,FQP,465.53 
[98847] QUOTE,oAd3QaqYgz,LAM 
[98854] ADD,oAd3QaqYgz,93199.54 
[98869] BUY,oAd3QaqYgz,JDW,605.40 
[98899] COMMIT_BUY,oAd3QaqYgz 
[99033] DISPLAY_SUMMARY,oAd3QaqYgz 
[99067] QUOTE,oAd3QaqYgz,FKZ 
[99387] BUY,oAd3QaqYgz,JXR,708.15 
[99611] CANCEL_BUY,oAd3QaqYgz 
[99657] SET_BUY_AMOUNT,oAd3QaqYgz,CUZ,543.63 
[99720] BUY,oAd3QaqYgz,GMS,427.05 
[99755] COMMIT_BUY,oAd3QaqYgz 
[99838] CANCEL_SELL,oAd3QaqYgz 
